"Classification","Business_Name","Title","Address","Suburb","Postcode","State","Country","Distance","Centre Size","Number of GP's","Phone Number"
"Clinical Services","All Medical Centres","Amoonguna Health Service","Lot 60 Whitegum Road, Alice Springs NT 0870","Amoonguna","0873","Northern Territory","Australia","224.98","Small","1","(08) 8952 9327"
"Clinical Services","All Medical Centres","Congress Gap Road Clinic","25 Gap Road, Alice Springs NT 0870","The Gap","0870","Northern Territory","Australia","230.36","Small","4","(08) 8951 4444"
"Clinical Services","All Medical Centres","Mall Medical Centre","Unit 1, 73 Hartley Street, Alice Springs NT 0870","Stuart","0870","Northern Territory","Australia","231.37","Small","4","(08) 8952 2744"
"Clinical Services","All Medical Centres","Bath Street Family Medical Centre","69 Bath Street, Alice Springs NT 0870","Stuart","0870","Northern Territory","Australia","231.41","Midsized","5","(08) 8952 2000"
"Clinical Services","All Medical Centres","ReproMed","Bath Street Family Medical Centre, 69 Bath Street, Alice Springs NT 0870","Stuart","0870","Northern Territory","Australia","231.41","Small","1","(08) 8945 4211"
"Clinical Services","All Medical Centres","Nganampa Health Services","3 Wilkinson St, Ciccone NT 0870","Ciccone","0870","Northern Territory","Australia","231.45","Small","1","(08) 8952 5300"
"Clinical Services","All Medical Centres","Central Clinic Alice Springs","Shop 7, 8 Gregory Terrace, Alice Springs NT 0870","Stuart","0870","Northern Territory","Australia","231.59","Small","2","(08) 8952 1088"
"Clinical Services","All Medical Centres","Alice Specialised Medicine","17 Stuart Highway, Alice Springs NT 0870","Braitling","0870","Northern Territory","Australia","233.1","Small","1","(08) 8952 7774"
"Clinical Services","All Medical Centres","Northside Clinic","Northside Shopping Complex, 1 Hearne Place, Alice Springs NT 0870","Braitling","0870","Northern Territory","Australia","233.21","Small","2","(08) 7999 6444"
"Clinical Services","All Medical Centres","Coober Pedy","McDougal Road, Coober Pedy SA 5723","Coober Pedy","5723","South Australia","Australia","376.58","Small","1","(08) 8672 5102"
"Clinical Services","All Medical Centres","Pintubi Homelands Health Service","Lot 194, Kintore Road, Kintore NT 0872","Kintore","4702","Northern Territory","Australia","511.19","Small","1","(08) 8956 8577"
"Clinical Services","All Medical Centres","Roxby Downs Doctors Surgery","16-28 Burgoyne St, Roxby Downs SA 5725","Roxby Downs","2448","South Australia","Australia","621.33","Midsized","5","(08) 8671 1900"
"Clinical Services","All Medical Centres","Roxby Downs Family Practice","24 Gregory Street, Roxby Downs SA 5725","Roxby Downs","5725","South Australia","Australia","621.44","Small","1","(08) 8671 3231"
"Clinical Services","All Medical Centres","Anyinginyi Health Aboriginal Corporation","71 Smith Street, Tennant Creek NT 0860","Tennant Creek","0860","Northern Territory","Australia","683.62","Small","1","(08) 8962 2633"
"Clinical Services","All Medical Centres","Ceduna GP Plus Health Care Centre","3 Eyre Highway, Ceduna SA 5690","Ceduna","6111","South Australia","Australia","705.91","Small","1","(08) 8626 2160"
