name,latitude,longitude,openDate,closeDate,private,active,bpl_uuid,uuid,location_type_id
Ramsay Pharmacy North Bundaberg,-24.855470999999998,152.344131,644198400000,,0,1,h9fbI/zgEeyMOAYn5Vmh+A==,h9fbI/zgEeyMOAYn5Vmh+A==,
1/1-3 Old Eimeo Road Rural View Mackat Qld 4740,-21.060802,149.15947,644198400000,,0,1,I4xDrn2PEfCuUALpWEZeRw==,I4xDrn2PEfCuUALpWEZeRw==,
"1019-1021 howitt st, wendouree, vic 3355",-37.541534,143.83767699999999,644198400000,,0,1,I4xm9H2PEfCuUALpWEZeRw==,I4xm9H2PEfCuUALpWEZeRw==,
"123 Great Ocean Road, Apollo Bay VIC 3233",-38.756096,143.669083,644198400000,,0,1,I4x1FH2PEfCuUALpWEZeRw==,I4x1FH2PEfCuUALpWEZeRw==,
168 Pharmacy Warehouse,-38.098403999999995,145.284225,644198400000,,0,1,I4yAvH2PEfCuUALpWEZeRw==,I4yAvH2PEfCuUALpWEZeRw==,
"200 High St, Lower Templestowe 3107 VIC",-37.773586,145.115387,644198400000,,0,1,I4yMIX2PEfCuUALpWEZeRw==,I4yMIX2PEfCuUALpWEZeRw==,
23rd Avenue Chempro Pharmacy,-28.106026,153.464539,644198400000,,0,1,I4yYKH2PEfCuUALpWEZeRw==,I4yYKH2PEfCuUALpWEZeRw==,
3 Beaches Chemist,-32.068798,152.538208,644198400000,,0,1,I4yjJn2PEfCuUALpWEZeRw==,I4yjJn2PEfCuUALpWEZeRw==,
32 Gill Street,-20.076335999999998,146.25801099999998,644198400000,,0,1,I4ytwn2PEfCuUALpWEZeRw==,I4ytwn2PEfCuUALpWEZeRw==,
393 Pharmacy,-33.825396999999995,151.233871,644198400000,,0,1,I4y4iH2PEfCuUALpWEZeRw==,I4y4iH2PEfCuUALpWEZeRw==,
A.C.K. Pharmacy,-33.784988,151.17718499999998,644198400000,,0,1,I4zOP32PEfCuUALpWEZeRw==,I4zOP32PEfCuUALpWEZeRw==,
A1 Discount Chemist,-33.893948,151.114609,644198400000,,0,1,I4zY9H2PEfCuUALpWEZeRw==,I4zY9H2PEfCuUALpWEZeRw==,
