Classification,Business_Name,Title,Address,Suburb,Postcode,State,Country,Phone Number,Store Type,Year Opened,Organisation,GLA
Pharmacy,Advantage Pharmacy,Narrabundah Pharmacy,"18 Iluka St, Narrabundah, ACT 2604, Australia",Narrabundah,2604,Australian Capital Territory,Australia,,,,,
Pharmacy,Advantage Pharmacy,Weston Pharmacy,"7/11 Brierly St, Weston ACT 2611, Australia",Weston,2611,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Priceline Pharmacy Canberra Centre,City Walk City ACT 2601,City,2570,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,The Pharmacy on Northbourne,65 Northbourne Avenue City ACT 2601,City,2603,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,The Pharmacy on Bunda,126 Bunda Street City ACT 2601,City,2601,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Allure Pharmacy,"Canberra Centre, Shop EGO1A, 148 Bunda Street, CITY, ACT,",City,2601,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,The Pharmacy on Petrie,148 Bunda Street City ACT 2601,City,2603,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,BEYOND PHARMACY,"Elouera Court, Unit 4, 18 Lonsdale Street, BRADDON, ACT,",Braddon,2612,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,University Pharmacy,156-B2 Joplin Lane Acton ACT 2601,Canberra,5522,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist - O'Connor,9 Sargood Street O'connor ACT 2602,O'Connor,2575,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Campbell Pharmacy,32 Blamey Place Campbell ACT 2612,Campbell,2612,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,TerryWhite Chemmart Compounding Ainslie,17 Edgar Street Ainslie ACT 2602,Ainslie,5168,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist - Lyneham,76 Wattle Street Lyneham ACT 2602,Lyneham,2663,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist - Dickson,6 Dickson Place Dickson ACT 2602,Dickson,2602,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Barton Pharmacy,2-3 Sydney Avenue Barton ACT 2600,Forrest,4650,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Cincotta Discount Chemist Dickson,42 Dickson Place Dickson ACT 2602,Dickson,2602,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist - Kingston,62 Jardine Street Kingston ACT 2604,Kingston,2663,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Yarralumla Pharmacy,17 Bentham Street Yarralumla ACT 2600,Yarralumla,2600,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Deakin Pharmacy,Duff Place Deakin ACT 2600,Deakin,2217,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,The Pharmacy on Franklin - Manuka,18-20 Franklin Street Griffith ACT 2603,Griffith,2603,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Watson Pharmacy,Watson Place Watson ACT 2602,Watson,2017,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Epic Pharmacy John James,173 Strickland Crescent Deakin ACT 2600,Deakin,6009,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Your Discount Chemist - Griffith,12 Barker Street Griffith ACT 2603,Griffith,2190,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Kaleen Max Value Chemist,Gwydir Square Kaleen ACT 2617,Kaleen,6536,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Chemist Warehouse - Majura Park,18-26 Spitfire Avenue Canberra Airport ACT 2609,Canberra,3810,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Fyshwick Pharmacy,8-15 Gladstone Street Fyshwick ACT 2609,Symonston,2609,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Optimal Pharmacy Plus Jamison,Bowman Street Macquarie ACT 2614,Macquarie,6069,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Narrabundah Pharmacy,18 Iluka Street Narrabundah ACT 2604,Narrabundah,2101,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist - University of Canberra,Corner Allawoona St & Ginninderra Drive Bruce ACT 2617,Bruce,2539,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist Curtin,38 Curtin Place Curtin ACT 2605,Curtin,2911,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Red Hill Pharmacy ACT,4 Duyfken Place Red Hill ACT 2603,Red Hill,3937,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist Hughes,22 Hughes Place Hughes ACT 2605,Hughes,2605,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Chemist Warehouse Belconnen Markets,2 Ibbott Lane Belconnen ACT 2617,Belconnen,2617,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Mitchell Discount Pharmacy,141 Flemington Road Mitchell ACT 2911,Mitchell,2911,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist - Garran,2 Garran Place Garran ACT 2605,Garran,2605,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Kaleen Plaza Pharmacy,Georgina Crescent Kaleen ACT 2617,Kaleen,2617,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Priceline Pharmacy Macquarie,"2 Lachlan Street, MACQUARIE, ACT,",Macquarie,2614,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Macquarie Discount Pharmacy,Lachlan Street Macquarie ACT 2614,Macquarie,3085,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Belconnen Discount Pharmacy,1-5 Chandler Street Belconnen ACT 2617,Belconnen,2617,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Guardian Pharmacy Belconnen,20 Benjamin Way Belconnen ACT 2617,Belconnen,4850,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Amcal Pharmacy Belconnen,20 Benjamin Way Belconnen ACT 2617,Belconnen,3757,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Chemist Warehouse - Fyshwick,17 Iron Knob Street Fyshwick ACT 2609,Symonston,2609,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Terry White Chemmart - Garran,Yamba Drive Garran ACT 2605,O'Malley,2606,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Canberra Hospital - Pharmacy Department,Yamba Drive Garran ACT 2605,Garran,2390,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Ginninderra After Hour Pharmacy Belconnen,33 Egan Court Belconnen ACT 2617,Belconnen,6503,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,My Pharmacy Woden,"Westfield Woden, Shop 67, 2 Keltie Street, PHILLIP, ACT,",Phillip,2606,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,PharmaSave Woden Compounding Pharmacy,2 Keltie Street Woden ACT 2606,Phillip,2145,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Chemist Warehouse - Woden,24 Corinna Street Phillip ACT 2606,Phillip,3128,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Priceline Pharmacy Woden,Corrina Street Woden ACT 2606,Phillip,2176,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Colbee Court Late Night Chemist,33 Colbee Court Phillip ACT 2606,Phillip,3250,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Hawker Pharmacy,72-74 Hawker Place Hawker ACT 2614,Hawker,2614,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist Crace,56 Albena Avenue Crace ACT 2911,Crace,2911,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Discount Drug Store Franklin,51 Nullarbor Avenue Franklin ACT 2913,Franklin,4007,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Florey Pharmacy,2 Kesteven Street Florey ACT 2615,Florey,2529,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist Coombs,110 Woodberry Avenue Coombs ACT 2611,Canberra,2615,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist - Palmerston,2 Tiptree Crescent Palmerston ACT 2913,Palmerston,2575,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Evatt Pharmacy,26 Heydon Place Evatt ACT 2617,Evatt,2617,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Cooleman Court Pharmacy,24 Brierly Street Weston ACT 2611,Weston,4225,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Weston Pharmacy,7-11 Brierly Street Weston ACT 2611,Weston,2326,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist Denman Prospect,3 Felstead Vista Denman Prospect ACT 2611,Dapto,2530,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist Southlands - Pharmacy,93 Mawson Place Mawson ACT 2607,Mawson,2324,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist - Waramanga,Corner Damala Street And Waramanga Place Waramanga ACT 2611,Waramanga,2611,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Chemist Warehouse Marketplace Gungahlin,"The Marketplace, 30 & 33 Hibberson StreetGUNGAHLIN, ACT,",Gungahlin,,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Pharmacy Select Gungahlin,46 Hibberson Street Gungahlin ACT 2912,Gungahlin,2912,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Priceline Pharmacy Gungahlin Square,43 Hibberson Street Gungahlin ACT 2912,Gungahlin,2680,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Priceline Pharmacy Marketplace Gungahlin,33 Hibberson Street Gungahlin ACT 2912,Gungahlin,5290,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Chemist Warehouse Marketplace Gungahlin,33 Hibberson Street Gungahlin ACT 2912,Gungahlin,4564,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,TerryWhite Chemmart,5 Higgins Place Higgins ACT 2615,Higgins,2615,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Discount Drug Stores - Gold Creek,46 O'hanlon Place Nicholls ACT 2913,Nicholls,2913,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Spence Pharmacy,14 16 Glassey Place Spence ACT 2615,Spence,2284,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Chapman Pharmacy,58 Perry Drive Chapman ACT 2611,Canberra,2429,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Caremore Pharmacy - Holt,24 Hardwick Crescent Holt ACT 2615,Holt,2829,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Amcal Max - Queanbeyan,23 Antill Street Queanbeyan NSW 2620,Queanbeyan,2620,New South Wales,Australia,,,,,
Pharmacy,All Pharmacy,Ngunnawal Pharmacy,5 Wanganeen Avenue Ngunnawal ACT 2913,Ngunnawal,2913,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist Charnwood,39 Charnwood Place Charnwood ACT 2615,Charnwood,2615,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Blooms The Chemist - Queanbeyan,183 Crawford Street Queanbeyan NSW 2620,Queanbeyan,2750,New South Wales,Australia,,,,,
Pharmacy,All Pharmacy,Priceline Pharmacy Casey,"Casey Market Town, Shop 24, 15 Kingsland Parade, CASEY, ACT,",Casey,2913,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Priceline Pharmacy Queanbeyan,131 Monaro Street Queanbeyan NSW 2620,Queanbeyan,3181,New South Wales,Australia,,,,,
Pharmacy,All Pharmacy,Capital Chemist - Kambah,Corner Marconi Crescent And Primmer Court Kambah ACT 2902,Canberra,2663,Australian Capital Territory,Australia,,,,,
Pharmacy,All Pharmacy,Soul Pattinson Chemist Jerrabomberra,2 Limestone Drive Jerrabomberra NSW 2619,Jerrabomberra,2710,New South Wales,Australia,,,,,
