"Classification","Business_Name","Title","Address","Suburb","Postcode","State","Country","Distance","GLA"
"Supermarket and Grocery Stores","ALDI","ALDI Whyalla","10 - 14 Ekblom Street","Whyalla Norrie","5608","South Australia","Australia","891.0","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Port Pirie","8 Wandearah Road","Port Pirie","5540","South Australia","Australia","926.86","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Kadina","10 Frances Terrace","Kadina","5554","South Australia","Australia","992.06","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Nuriootpa","Cnr Murray Street, Gawler Street","Nuriootpa","5355","South Australia","Australia","1096.09","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Gawler","5 Tod Street, Gawler, SA, Australia","Gawler","5118","South Australia","Australia","1097.46",""
"Supermarket and Grocery Stores","ALDI","ALDI Evanston","1 Tulloch Road","Evanston","5116","South Australia","Australia","1099.21","1700"
"Supermarket and Grocery Stores","ALDI","ALDI Munno Para West","LOT 35 Andrews Road, Munno Para West, SA, Australia","Munno Para West","5115","South Australia","Australia","1100.19",""
"Supermarket and Grocery Stores","ALDI","ALDI Smithfield","12 George McCallum Road","Smithfield","5114","South Australia","Australia","1103.42","1700"
"Supermarket and Grocery Stores","ALDI","ALDI Blakeview","15 Main Terrace","Blakeview","5114","South Australia","Australia","1103.59","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Parafield Gardens","88 - 94 Lavender Drive","Parafield Gardens","5107","South Australia","Australia","1109.38","1600"
"Supermarket and Grocery Stores","ALDI","ALDI Salisbury","41 - 49 Park Terrace","Salisbury","5108","South Australia","Australia","1109.45","1300"
"Supermarket and Grocery Stores","ALDI","ALDI Port Adelaide","200 - 220 Commercial Road","Port Adelaide","5015","South Australia","Australia","1112.1","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Mawson Lakes","1 - 7 Main Street","Mawson Lakes","5095","South Australia","Australia","1112.79","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Golden Grove","Cnr Helicon Drive, The Golden Way","Golden Grove","5125","South Australia","Australia","1114.14","1500"
"Supermarket and Grocery Stores","ALDI","ALDI West Lakes","44 Frederick Road","West Lakes","5021","South Australia","Australia","1115.24","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Ingle Farm","237 Montague Road","Ingle Farm","5098","South Australia","Australia","1116.13","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Kilkenny","470 Torrens Road","Kilkenny","5009","South Australia","Australia","1116.67","1900"
"Supermarket and Grocery Stores","ALDI","ALDI Kilburn","400 Churchill Road","Kilburn","5084","South Australia","Australia","1116.92","1500"
"Supermarket and Grocery Stores","ALDI","ALDI Modbury","972 - 976 North East Road","Modbury","5092","South Australia","Australia","1117.94","1500"
"Supermarket and Grocery Stores","ALDI","ALDI St Agnes","1244 North East Road","St Agnes","5097","South Australia","Australia","1118.1","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Findon","263 - 271 Grange Road","Findon","5023","South Australia","Australia","1118.89","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Gilles Plains","Cnr Sudholz Road, North East Road","Gilles Plains","5086","South Australia","Australia","1118.94","1800"
"Supermarket and Grocery Stores","ALDI","ALDI Prospect","106 Main North Road","Prospect","5082","South Australia","Australia","1120.21","2000"
"Supermarket and Grocery Stores","ALDI","ALDI Adelaide","2 Butler Boulevard","Adelaide Airport","5950","South Australia","Australia","1121.43","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Newton","174 - 178 Gorge Road","Newton","5074","South Australia","Australia","1122.17","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Glynde","19 Glynburn Road, Glynde, SA, Australia","Glynde","5070","South Australia","Australia","1122.56","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Norwood","76 Magill Road","Norwood","5067","South Australia","Australia","1123.79","1400"
"Supermarket and Grocery Stores","ALDI","ALDI Kensington Park","398 Magill Road","Kensington Park","5068","South Australia","Australia","1124.84","1400"
