"Classification","Business_Name","Title","Address","Suburb","Postcode","State","Country","Distance","Description","Organisation","GLA","Centre Size","Number of GP's","Phone Number"
"Clinical Services","All Medical Centres","Deloraine Medical Centre","22 Tower Hill Street, Deloraine TAS 7304","Deloraine","7304","Tasmania","Australia","56.48","","","","Small","3","(03) 6362 2266"
"Clinical Services","All Medical Centres","Longford Medical Centre","28 George Street, Longford TAS 7301","Longford","7301","Tasmania","Australia","58.71","","","","Midsized","9","(03) 6391 1170"
"Clinical Services","All Medical Centres","Oatlands Surgery","13 Church Street, Oatlands TAS 7120","Oatlands","7120","Tasmania","Australia","61.82","","","","Small","1","(03) 6135 0520"
"Clinical Services","All Medical Centres","Longford Medical Centre","180 Fairtlough Street, Perth TAS 7300","Perth","7300","Tasmania","Australia","63.16","","","","Midsized","10","(03) 6398 2295"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Campbell Town","70 High Street, Campbell Town TAS 7210","Campbell Town","7467","Tasmania","Australia","65.24","","","","Small","1","(03) 6716 4110"
"Clinical Services","All Medical Centres","Campbell Town Surgery","70 High Street, Campbell Town TAS 7210","Campbell Town","7210","Tasmania","Australia","65.28","","","","Small","2","(03) 6381 1133"
"Clinical Services","All Medical Centres","Evandale General Practice","8a High Street, Evandale TAS 7212","Evandale","7212","Tasmania","Australia","67.33","","","","Small","1","(03) 6710 3000"
"Clinical Services","All Medical Centres","PMC - Prospect Medical Centre","4 Trotters Lane, Prospect TAS 7250","Prospect","7250","Tasmania","Australia","71.11","","","","Midsized","8","(03) 6344 7991"
"Clinical Services","All Medical Centres","Summerdale Medical Centre","Stanley Street & Peel Street, Summerhill TAS 7250","Summerhill","7250","Tasmania","Australia","71.23","","","","Midsized","8","(03) 6344 7177"
"Clinical Services","All Medical Centres","Family Doctor Service","137 Hobart Road, Kings Meadows TAS 7249","Kings Meadows","7249","Tasmania","Australia","72.45","","","","Small","4","(03) 6343 5556"
"Clinical Services","All Medical Centres","Kings Meadows Medical Centre","86c Hobart Road, Kings Meadows TAS 7249","Kings Meadows","7249","Tasmania","Australia","72.54","","","","Midsized","6","(03) 6344 5722"
"Clinical Services","All Medical Centres","Launceston Health Hub","247 Wellington Street, Launceston TAS 7250","Launceston","7250","Tasmania","Australia","73.41","","","","Large","17","(03) 6388 8111"
"Clinical Services","All Medical Centres","Launceston","83 Frankland Street, Launceston TAS 7250","Launceston","7250","Tasmania","Australia","73.56","","","","Small","1","(03) 6331 3060"
"Clinical Services","All Medical Centres","Tasmania Aboriginal Centre","182 Charles Street, Launceston TAS 7250","Launceston","7250","Tasmania","Australia","74.09","","","","Small","1","(03) 6332 3800"
"Clinical Services","All Medical Centres","Headspace Launceston","Cnr Brisbane & Wellington Street, Launceston TAS 7250","Launceston","7250","Tasmania","Australia","74.1","","","","Small","2","(03) 6335 3100"
"Clinical Services","All Medical Centres","Norwood Medical Centre","212 Penquite Road, Norwood TAS 7250","Norwood","7250","Tasmania","Australia","74.22","","","","Midsized","7","(03) 6344 8344"
"Clinical Services","All Medical Centres","Civic Square Surgery","77 Cameron Street, Launceston TAS 7250","Launceston","7250","Tasmania","Australia","74.48","","","","Small","2","(03) 6331 5510"
"Clinical Services","All Medical Centres","Work Fit Tas","14 Elizabeth Street, Launceston TAS 7250","Launceston","7250","Tasmania","Australia","74.51","","","","Small","2","(03) 6331 7711"
"Clinical Services","All Medical Centres","The Esk Family Health Care Centre","33 Brisbane Street, Launceston TAS 7250","Launceston","7250","Tasmania","Australia","74.84","","","","Small","4","(03) 6331 2355"
"Clinical Services","All Medical Centres","The Bubble Launceston","Unit 4, 23 Brisbane Street, Launceston TAS 7250","East Launceston","7250","Tasmania","Australia","74.92","","","","Small","3","(03) 6724 3063"
"Clinical Services","All Medical Centres","Newstead Medical","165 Elphin Road, Newstead TAS 7250","Newstead","7250","Tasmania","Australia","74.96","","","","Large","11","(03) 6331 1088"
"Clinical Services","All Medical Centres","Urgent Care Centre","165 Elphin Road, Newstead TAS 7250","Newstead","7250","Tasmania","Australia","74.96","","","","Small","1","(03) 6338 9898"
"Clinical Services","All Medical Centres","Newstead","134 Elphin Road, Newstead TAS 7250","Newstead","7250","Tasmania","Australia","75.03","","","","Small","1","(03) 6331 1131"
"Clinical Services","All Medical Centres","Windmill Hill Medical","13 High Street, Launceston TAS 7250","East Launceston","7250","Tasmania","Australia","75.16","","","","Small","4","(03) 6776 0080"
"Clinical Services","All Medical Centres","High Street Family Practice","QV Centre, Suite 7, 7 High Street, East Launceston TAS 7250","East Launceston","7250","Tasmania","Australia","75.2","","","","Small","4","(03) 6334 5500"
"Clinical Services","All Medical Centres","Vein Remedies Clinic","Suite 3, 7 High Street, East Launceston TAS 7250","East Launceston","7250","Tasmania","Australia","75.23","","","","Small","1","(03) 6331 3999"
"Clinical Services","All Medical Centres","First Point Health Care","22 Pine Avenue, Newstead TAS 7250","Newstead","7250","Tasmania","Australia","75.3","","","","Small","4","(03) 6331 1166"
"Clinical Services","All Medical Centres","Tremaur Medical Centre","67 Elphin Road, East Launceston TAS 7250","Launceston","7250","Tasmania","Australia","75.4","","","","Midsized","6","(03) 6331 1055"
"Clinical Services","All Medical Centres","Tamar Skin Clinic","Shop 2, 22 Gorge Road, Invermay TAS 7248","Invermay","7248","Tasmania","Australia","75.96","","","","Small","1","(03) 6311 1520"
"Clinical Services","All Medical Centres","Tamar Skin Clinic","54-58 Invermay Road, Invermay TAS 7248","Invermay","7248","Tasmania","Australia","75.96","","","","Small","1","(03) 6311 1520"
"Clinical Services","All Medical Centres","West Tamar Health","1 Windsor Drive, Riverside TAS 7250","Mowbray","7250","Tasmania","Australia","76.08","","","","Midsized","10","(03) 6327 2947"
