rank,total_score,site_id,site_name,site_address,site_state,site_commercial_score,site_primary_rule,listing_url,address,latitude,longitude,rent_annual,rent_per_sqm,floor_area_sqm,lease_type,property_type,distance_to_site_m,agent_name,agent_phone,distance_score,rent_score,size_score,type_score,site_score,discovered_date,last_checked,status
1,551.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/5-11-edwardes-street-south-burnie-tas-7320-17827693,5/11 Edwardes Street South Burnie TAS 7320,,,,,,medical,medical,,,,200,100,100,100,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
2,551.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/7-bourke-street-burnie-tas-7320-17849217,7 Bourke Street Burnie TAS 7320,,,,,,medical,medical,,,,200,100,100,100,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
3,531.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/1-8-12-cattley-street-burnie-tas-7320-17226382,1/8-12 Cattley Street Burnie TAS 7320,,,18500.0,,,retail,retail,,,,200,100,100,80,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
4,531.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/14-wilson-street-burnie-tas-7320-17804692,14 Wilson Street Burnie TAS 7320,,,,,,retail,retail,,,,200,100,100,80,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
5,531.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/25-wilmot-street-burnie-tas-7320-16994027,25 Wilmot Street Burnie TAS 7320,,,,,,retail,retail,,,,200,100,100,80,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
6,531.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/29-mount-street-burnie-tas-7320-17988542,29 Mount Street Burnie TAS 7320,,,,,,retail,retail,,,,200,100,100,80,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
7,531.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/34-marine-terrace-burnie-tas-7320-17817681,34 Marine Terrace Burnie TAS 7320,,,,,,retail,retail,,,,200,100,100,80,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
8,531.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/35-wilson-street-burnie-tas-7320-17700322,35 Wilson Street Burnie TAS 7320,,,28000.0,,,retail,retail,,,,200,100,100,80,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
9,531.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/47-marine-terrace-south-burnie-tas-7320-17992131,47 Marine Terrace South Burnie TAS 7320,,,,,,retail,retail,,,,200,100,100,80,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
10,531.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/49-marine-terrace-south-burnie-tas-7320-17504337,49 Marine Terrace South Burnie TAS 7320,,,,,,retail,retail,,,,200,100,100,80,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
11,531.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/60-cattley-street-burnie-tas-7320-18009527,60 Cattley Street Burnie TAS 7320,,,36000.0,,,retail,retail,,,,200,100,100,80,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
12,531.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/shop-2-city-square-arcade-burnie-tas-7320-17205590,Shop 2/City Square Arcade Burnie TAS 7320,,,,,,retail,retail,,,,200,100,100,80,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
13,531.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/shop-60-54-62-wilson-street-burnie-tas-7320-17966963,Shop 60/54-62 Wilson Street Burnie TAS 7320,,,,,,retail,retail,,,,200,100,100,80,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
14,531.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/various-spaces-234-236-mount-street-upper-burnie-tas-7320-16892074,Various Spaces/234-236 Mount Street Upper Burnie TAS 7320,,,,,,retail,retail,,,,200,100,100,80,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
15,531.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/various-spaces-plaza-arcade-burnie-tas-7320-15409680,Various Spaces/Plaza Arcade Burnie TAS 7320,,,5200.0,,,retail,retail,,,,200,100,100,80,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
16,531.13,medical_centre_1,TAS Family Medical Centre,"1-3 Reeves Street, South Burnie TAS 7320",TAS,0.5113,Item 136,https://www.commercialrealestate.com.au/property/whole-property-10-wellington-street-south-burnie-tas-7320-17932331,Whole Property/10 Wellington Street South Burnie TAS 7320,,,,,,retail,retail,,,,200,100,100,80,51.129999999999995,2026-03-21T22:33:48.005385,2026-03-21T22:33:48.005385,active
