latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,pharmacy_count_10km,market_share,est_annual_scripts,gp_fte,is_remote,growth_indicator,growth_details,est_annual_revenue,est_annual_costs,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_revenue,worst_profit,worst_roi,worst_npv,best_revenue,best_profit,best_roi,best_npv
-35.37527,149.1015424,"Farrer IGA, Farrer Place, Farrer, District of Woden Valley, Australian Capital Territory, 2607, Australia",Farrer IGA,supermarket,ACT,Item 133,65%,1.32,Capital Chemist Southlands,398493,50000,20,47,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.3886071,149.0518569,"IGA Kambah, 2, Castley Circuit, Kambah, District of Tuggeranong, Australian Capital Territory, 2902, Australia",IGA Kambah,supermarket,ACT,Item 133,65%,1.05,Capital Chemist Kambah,268114,50000,12,37,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.3626035,149.0815726,"Pearce Foodworks, Symons Street, Pearce, District of Woden Valley, Australian Capital Territory, 2607, Australia",Pearce Foodworks,supermarket,ACT,Item 133,55%,1.18,Capital Chemist Southlands,445106,50000,22,44,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.2083104,149.0485366,"IGA Melba, 4-6, Melba Court, Melba, District of Belconnen, Australian Capital Territory, 2615, Australia",IGA Melba,supermarket,ACT,Item 133,65%,1.42,Capital Chemist,141020,50000,23,44,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.2481506,149.1626862,"Hackett IGA, Hackett Place, Hackett, Canberra, District of Canberra Central, Australian Capital Territory, 2602, Australia",Hackett IGA,supermarket,ACT,Item 133,65%,1.32,Capital Chemist Watson,313336,50000,14,56,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.3392821,149.0767946,"IGA, Lyons Place, Lyons Shopping Village, Lyons, District of Woden Valley, Australian Capital Territory, 2606, Australia",IGA,supermarket,ACT,Item 133,65%,0.94,Chemist Warehouse,519019,50000,23,53,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.2341,149.0178,"Pegasus, Macnaughton Street, Holt, District of Belconnen, Australian Capital Territory, 2615, Australia",Kippax Medical Centre,medical_centre,ACT,Item 136,95%,0.89,TerryWhite Chemmart,176523,50000,19,35,0.2,130000,6.4,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.2133484,149.0956481,"Giralang IGA & Cellarbrations, 72, Canopus Crescent, Giralang, District of Belconnen, Australian Capital Territory, 2617, Australia",Giralang IGA & Cellarbrations,supermarket,ACT,Item 133,65%,0.98,Kaleen Plaza Pharmacy,229352,50000,32,54,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.3552417,149.0981765,"Friendly Grocer, 84, Ainsworth Street, Mawson, District of Woden Valley, Australian Capital Territory, 2607, Australia",Friendly Grocer,supermarket,ACT,Item 133,65%,0.75,Garran Pharmacy,485314,50000,20,54,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.183099,149.0985694,"Nicholls IGA, Paisley Street, Nicholls, District of Gungahlin, Australian Capital Territory, 2913, Australia",Nicholls IGA,supermarket,ACT,Item 133,65%,0.99,Priceline Pharmacy Casey,48361,48361,16,46,0.2,125738,0.0,False,,,3191826.0,2663278.2,528547.8,657500,0.8039,1.24,2844293.56,2234278.2,-57665.75,-0.0877,-1039553.54,4149373.8,1149168.31,1.7478,6956097.44
-35.1741837,149.1200845,"Ngunnawal IGA, Mirrabei Drive, Ngunnawal, District of Gungahlin, Australian Capital Territory, 2913, Australia",Ngunnawal IGA,supermarket,ACT,Item 133,65%,1.05,Mediadvice Pharmacy Ngunnawal,500,500,12,43,0.2,1300,0.0,False,,,33000.0,357100.0,-324100.0,657500,-0.4929,999.0,-2804763.3,23100.0,-379595.5,-0.5773,-3172438.25,42900.0,-284727.0,-0.433,-2543904.93
-35.3402,149.1031,"4, Gilmore Crescent, Garran, District of Woden Valley, Australian Capital Territory, 2605, Australia",Garran Medical Centre,medical_centre,ACT,Item 136,95%,0.48,Capital Chemist Garran,217690,50000,24,58,0.2,130000,6.4,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.4503864,149.083928,"IGA, 114, Lewis Luxton Avenue, Gordon, District of Tuggeranong, Australian Capital Territory, 2906, Australia",IGA,supermarket,ACT,Item 133,65%,1.01,Lanyon Pharmacy,86900,50000,10,16,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.29491495,149.18960420000002,"Mustang Avenue, Canberra, Australian Capital Territory, 2609, Australia",Harris Farm Markets,supermarket,ACT,"Item 133, Item 134",70%,0.35,Chemist Warehouse Majura Park SC,302918,50000,7,42,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.4178762,149.0689186,"Aldi, 0, Anketell Street, Greenway, District of Tuggeranong, Australian Capital Territory, 2900, Australia",Aldi,supermarket,ACT,Item 133,70%,0.20,Capital Chemist Tuggeranong Square,86900,50000,14,32,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.345,149.0865,"Bowes Street, Phillip, District of Woden Valley, Australian Capital Territory, 2606, Australia",Westfield Woden,shopping_centre,ACT,Item 132,85%,0.21,Priceline Pharmacy Woden,515288,50000,22,52,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.4147922,149.1291264,"Aldi, 36, Benham Street, Chisholm, District of Tuggeranong, Australian Capital Territory, 2905, Australia",Aldi,supermarket,ACT,Item 133,70%,0.12,Capital Chemist Chisholm,110228,50000,6,36,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.2212222,149.0194563,"Aldi, 50-60, Hardwick Crescent, Holt, District of Belconnen, Australian Capital Territory, 2615, Australia",Aldi,supermarket,ACT,Item 133,70%,0.14,Kippax Pharmacy,126427,50000,19,34,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.278697,149.1339388,"Petrie Street, City, North Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia",Coles,supermarket,ACT,Item 133,75%,0.11,The Pharmacy on Bunda,157079,50000,19,66,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
-35.4566612,149.0936926,"Aldi, 9, Sidney Nolan Street, Conder, District of Tuggeranong, Australian Capital Territory, 2906, Australia",Aldi,supermarket,ACT,Item 133,70%,0.13,Lanyon Pharmacy,86900,50000,6,15,0.2,130000,0.0,False,,,3300000.0,2739000.0,561000.0,657500,0.8532,1.17,3059299.48,2310000.0,-42900.0,-0.0652,-941725.84,4290000.0,1201200.0,1.8269,7300823.6
