latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,pharmacy_count_10km,market_share,est_annual_scripts,gp_fte,is_remote,growth_indicator,growth_details,est_annual_revenue,est_annual_costs,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_revenue,worst_profit,worst_roi,worst_npv,best_revenue,best_profit,best_roi,best_npv
-29.7040741,144.123962,,Wanaaring Community Health service,gp,NSW,"Item 131, Item 134A",90%,179.89,The Towers Drug Co Pharmacy,500,500,0,0,0.8,5200,0.0,True,,,132000.0,431400.0,-299400.0,657500,-0.4554,999.0,-2641118.12,92400.0,-371832.0,-0.5655,-3121002.65,171600.0,-241608.0,-0.3675,-2258228.14
-29.7049195,144.148759,,Wanaaring Health Clinic,gp,NSW,"Item 131, Item 134A",90%,177.55,The Towers Drug Co Pharmacy,500,500,0,0,0.8,5200,0.0,True,,,132000.0,431400.0,-299400.0,657500,-0.4554,999.0,-2641118.12,92400.0,-371832.0,-0.5655,-3121002.65,171600.0,-241608.0,-0.3675,-2258228.14
-32.3943078,142.4172709,,Darling River Supermarket,supermarket,NSW,"Item 131, Item 134A",90%,101.81,C P Peoples Chemist,380,380,0,0,0.8,3952,0.0,True,,,100320.0,409224.0,-308904.0,657500,-0.4698,999.0,-2704085.08,70224.0,-376156.32,-0.5721,-3149652.61,130416.0,-256846.08,-0.3906,-2359185.16
-32.390316,142.4150138,,Menindee Health Service,hospital,NSW,"Item 131, Item 134A",90%,101.42,C P Peoples Chemist,380,380,0,0,0.8,3952,0.0,True,,,100320.0,409224.0,-308904.0,657500,-0.4698,999.0,-2704085.08,70224.0,-376156.32,-0.5721,-3149652.61,130416.0,-256846.08,-0.3906,-2359185.16
-28.7245913,149.5785637,,Boomi Co-Op,supermarket,NSW,Item 131,70%,63.91,Mungindi Pharmacy,500,500,0,0,0.8,5200,0.0,True,,,132000.0,431400.0,-299400.0,657500,-0.4554,999.0,-2641118.12,92400.0,-371832.0,-0.5655,-3121002.65,171600.0,-241608.0,-0.3675,-2258228.14
-34.3548418,150.4937239,,Hilltop Surgery,gp,NSW,Item 131,85%,22.93,Caremore Bargo Pharmacy,7333,7333,0,0,0.8,76263,0.0,True,,,1935912.0,1789138.4,146773.6,657500,0.2232,4.48,314920.75,1355138.4,-125598.01,-0.191,-1489625.89,2516685.6,540573.67,0.8222,2923968.71
-29.4331613,142.0129124,,Tibooburra Health Service,hospital,NSW,"Item 131, Item 134A",90%,270.09,St Abram Wilcannia Pharmacy,100,100,0,0,0.8,1040,0.0,True,,,26400.0,357480.0,-331080.0,657500,-0.5035,999.0,-2851007.97,18480.0,-386246.4,-0.5874,-3216502.53,34320.0,-292401.6,-0.4447,-2594751.54
-29.435721399999995,142.0100184,,TJ's Roadhouse,supermarket,NSW,"Item 131, Item 134, Item 134A",90%,269.98,St Abram Wilcannia Pharmacy,100,100,0,0,0.8,1040,0.0,True,,,26400.0,357480.0,-331080.0,657500,-0.5035,999.0,-2851007.97,18480.0,-386246.4,-0.5874,-3216502.53,34320.0,-292401.6,-0.4447,-2594751.54
-32.0306936,147.9768545,,Trangie Multi Purpose Service,hospital,NSW,Item 131,70%,33.34,Narromine Pharmacy,768,768,0,0,0.8,7987,0.0,True,,,202752.0,480926.4,-278174.4,657500,-0.4231,999.0,-2500491.92,141926.4,-362174.35,-0.5508,-3057017.73,263577.6,-207576.29,-0.3157,-2032757.47
-33.4245577,148.3669433,,Eugowra Multi-Purpose Service,hospital,NSW,Item 131,70%,31.29,Canowindra Pharmacy,801,801,0,0,0.8,8330,0.0,True,,,211464.0,487024.8,-275560.8,657500,-0.4191,999.0,-2483176.0,148024.8,-360985.16,-0.549,-3049138.98,274903.2,-203385.82,-0.3093,-2004994.29
