latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,pharmacy_count_10km,market_share,est_annual_scripts,gp_fte,is_remote,growth_indicator,growth_details,est_annual_revenue,est_annual_costs,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_revenue,worst_profit,worst_roi,worst_npv,best_revenue,best_profit,best_roi,best_npv
-12.0520371,134.2215483,,Manangrida Health Centre,gp,NT,"Item 131, Item 134A",90%,279.27,Gove Pharmacy,2518,2518,0,0,0.8,26187,0.0,True,,,664752.0,779326.4,-114574.4,657500,-0.1743,999.0,-1416591.03,465326.4,-270361.35,-0.4112,-2448728.04,864177.6,37145.71,0.0565,-411398.1
-16.0566031,136.3067226,,Redimart,supermarket,NT,"Item 131, Item 134A",90%,433.71,Gove Pharmacy,955,955,0,0,0.8,9932,0.0,True,,,252120.0,490484.0,-238364.0,657500,-0.3625,999.0,-2236735.64,176484.0,-326685.62,-0.4969,-2821893.84,327756.0,-161330.28,-0.2454,-1726363.28
-16.0545005,136.305245,,Borroloola Health Centre,gp,NT,"Item 131, Item 134A",90%,433.50,Gove Pharmacy,955,955,0,0,0.8,9932,0.0,True,,,252120.0,490484.0,-238364.0,657500,-0.3625,999.0,-2236735.64,176484.0,-326685.62,-0.4969,-2821893.84,327756.0,-161330.28,-0.2454,-1726363.28
-12.0257691,135.5632743,,Ngalkanbuy Wellbeing Centre,gp,NT,"Item 131, Item 134A",90%,134.18,Gove Pharmacy,2199,2199,0,0,0.8,22869,0.0,True,,,580536.0,720375.2,-139839.2,657500,-0.2127,999.0,-1583978.19,406375.2,-281856.84,-0.4287,-2524889.2,754696.8,-3362.18,-0.0051,-679775.51
-12.0197596,135.5686928,,Galiwinku Health Centre,gp,NT,"Item 131, Item 134A",90%,133.69,Gove Pharmacy,2199,2199,0,0,0.8,22869,0.0,True,,,580536.0,720375.2,-139839.2,657500,-0.2127,999.0,-1583978.19,406375.2,-281856.84,-0.4287,-2524889.2,754696.8,-3362.18,-0.0051,-679775.51
-14.7295132,134.7335675,,Ngukurr Health Centre,gp,NT,"Item 131, Item 134A",90%,267.18,Pharmasave Katherine Pharmacy,1088,1088,0,0,0.8,11315,0.0,True,,,287232.0,515062.4,-227830.4,657500,-0.3465,999.0,-2166947.26,201062.4,-321892.83,-0.4896,-2790140.13,373401.6,-144441.41,-0.2197,-1614469.25
-25.2414256,130.9831989,"IGA, Yulara Drive, Yulara, Northern Territory, Australia",IGA,supermarket,NT,"Item 130, Item 131, Item 133, Item 134A",90%,336.28,Territory Pharmacy Alice Springs,853,853,0,0,0.8,8871,0.0,True,,,225192.0,471634.4,-246442.4,657500,-0.3748,999.0,-2290257.55,157634.4,-330361.29,-0.5025,-2846246.31,292749.6,-174282.65,-0.2651,-1812176.75
-25.2377063,130.98594,"Yulara Medical Centre, Yulara Drive, Yulara, Northern Territory, Australia",Yulara Medical Centre,gp,NT,"Item 130, Item 131, Item 134A",90%,335.85,Territory Pharmacy Alice Springs,853,853,0,0,0.8,8871,0.0,True,,,225192.0,471634.4,-246442.4,657500,-0.3748,999.0,-2290257.55,157634.4,-330361.29,-0.5025,-2846246.31,292749.6,-174282.65,-0.2651,-1812176.75
-12.3286593,134.9289942,,Ramingining Health Centre,gp,NT,"Item 131, Item 134A",90%,202.51,Gove Pharmacy,1314,1314,0,0,0.8,13665,0.0,True,,,346896.0,556827.2,-209931.2,657500,-0.3193,999.0,-2048359.49,242827.2,-313748.7,-0.4772,-2736182.69,450964.8,-115743.02,-0.176,-1424333.53
-12.3266273,133.0560544,"Adjumarllarl Store & Takeaway, Jabiru Oenpelli Road, Gunbalanya, West Arnhem Region, Northern Territory, Australia",Adjumarllarl Store & Takeaway,supermarket,NT,"Item 131, Item 134A",90%,214.03,TerryWhite Chemmart Humpty Doo,1153,1153,0,0,0.8,11991,0.0,True,,,304392.0,527074.4,-222682.4,657500,-0.3387,999.0,-2132840.16,213074.4,-319550.49,-0.486,-2774621.4,395709.6,-136187.45,-0.2071,-1559784.2
