latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,pharmacy_count_10km,market_share,est_annual_scripts,gp_fte,is_remote,growth_indicator,growth_details,est_annual_revenue,est_annual_costs,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_revenue,worst_profit,worst_roi,worst_npv,best_revenue,best_profit,best_roi,best_npv
-17.94200375,138.82874765000003,,Doomadgee Community Health Service,gp,QLD,"Item 131, Item 134A",90%,218.67,Karumba Pharmacy,1387,1387,0,0,0.8,14424,0.0,True,,,366168.0,575317.6,-209149.6,657500,-0.3181,999.0,-2043181.15,256317.6,-316868.07,-0.4819,-2756849.5,476018.4,-110973.19,-0.1688,-1392731.91
-16.6647062,139.1804346,,Mornington Island Hospital,hospital,QLD,"Item 131, Item 134A",90%,198.46,Karumba Pharmacy,1022,1022,0,0,0.8,10628,0.0,True,,,269808.0,507865.6,-238057.6,657500,-0.3621,999.0,-2234705.64,188865.6,-330021.21,-0.5019,-2843993.15,350750.4,-157322.35,-0.2393,-1699809.51
-24.8830594,144.0779683,,Yaraka Primary Health Centre,gp,QLD,"Item 131, Item 134A",90%,149.09,Alliance Outback Chemist,500,500,0,0,0.8,5200,0.0,True,,,132000.0,411400.0,-279400.0,657500,-0.4249,999.0,-2508611.9,92400.0,-348832.0,-0.5305,-2968620.49,171600.0,-223608.0,-0.3401,-2138972.55
-23.6445912,150.3877404,,IGA Mount Morgan,supermarket,QLD,"Item 131, Item 133",70%,24.07,LiveLife Pharmacy Lawrie Street,2487,2487,0,0,0.8,25864,0.0,True,,,656568.0,778597.6,-122029.6,657500,-0.1856,999.0,-1465984.05,459597.6,-277228.47,-0.4216,-2494224.82,853538.4,28709.21,0.0437,-467292.57
-23.6452271,150.3929441,,Mount Morgan Multipurpose Health Service,hospital,QLD,Item 131,70%,23.99,LiveLife Pharmacy Lawrie Street,2487,2487,0,0,0.8,25864,0.0,True,,,656568.0,778597.6,-122029.6,657500,-0.1856,999.0,-1465984.05,459597.6,-277228.47,-0.4216,-2494224.82,853538.4,28709.21,0.0437,-467292.57
-13.9443174,143.2002726,"Armbrust's General Store, Regent Street, Coen, Cook Shire, Queensland, Australia",Armbrust's General Store,supermarket,QLD,"Item 131, Item 134A",90%,204.88,Cape York Guardian Pharmacy,279,279,0,0,0.8,2901,0.0,True,,,73656.0,370559.2,-296903.2,657500,-0.4516,999.0,-2624576.04,51559.2,-356795.96,-0.5427,-3021384.18,95752.8,-251671.46,-0.3828,-2324901.72
-22.9109285,139.9104724,"5-Star Supermarket, Herbert Street, Boulia, Boulia Shire, Queensland, 4829, Australia",5-Star Supermarket,supermarket,QLD,"Item 131, Item 134A",90%,246.64,Mount Isa Pharmacy First,218,218,0,0,0.8,2267,0.0,True,,,57552.0,359286.4,-301734.4,657500,-0.4589,999.0,-2656584.25,40286.4,-358994.15,-0.546,-3035947.91,74817.6,-259417.49,-0.3946,-2376221.54
-22.9082636,139.9086721,,Boulia Health Centre,hospital,QLD,"Item 131, Item 134A",90%,246.32,Mount Isa Pharmacy First,218,218,0,0,0.8,2267,0.0,True,,,57552.0,359286.4,-301734.4,657500,-0.4589,999.0,-2656584.25,40286.4,-358994.15,-0.546,-3035947.91,74817.6,-259417.49,-0.3946,-2376221.54
-27.9704665,144.6348138,,Royal Flying Doctor Service - Clinic,gp,QLD,"Item 131, Item 134A",90%,103.45,Cunnamulla Pharmacy,500,500,0,0,0.8,5200,0.0,True,,,132000.0,411400.0,-279400.0,657500,-0.4249,999.0,-2508611.9,92400.0,-348832.0,-0.5305,-2968620.49,171600.0,-223608.0,-0.3401,-2138972.55
-22.5938169,144.5465739,,Muttaburra Primary Health Centre,hospital,QLD,"Item 131, Item 134A",90%,99.11,Guardian,500,500,0,0,0.8,5200,0.0,True,,,132000.0,411400.0,-279400.0,657500,-0.4249,999.0,-2508611.9,92400.0,-348832.0,-0.5305,-2968620.49,171600.0,-223608.0,-0.3401,-2138972.55
-28.0313969,147.478997,,Bollon Community Clinic,gp,QLD,"Item 131, Item 134A",90%,95.75,Dirranbandi Community Pharmacy,500,500,0,0,0.8,5200,0.0,True,,,132000.0,411400.0,-279400.0,657500,-0.4249,999.0,-2508611.9,92400.0,-348832.0,-0.5305,-2968620.49,171600.0,-223608.0,-0.3401,-2138972.55
-24.2608202,144.4397565,,Isisford Primary Health Centre,hospital,QLD,"Item 131, Item 134A",90%,93.10,Guardian,500,500,0,0,0.8,5200,0.0,True,,,132000.0,411400.0,-279400.0,657500,-0.4249,999.0,-2508611.9,92400.0,-348832.0,-0.5305,-2968620.49,171600.0,-223608.0,-0.3401,-2138972.55
-24.2587959,144.4418647,"Andos Food Barn, Saint Mary Street, Isisford, Longreach Regional, Queensland, Australia",Andos Food Barn,supermarket,QLD,"Item 131, Item 134A",90%,92.92,Guardian,500,500,0,0,0.8,5200,0.0,True,,,132000.0,411400.0,-279400.0,657500,-0.4249,999.0,-2508611.9,92400.0,-348832.0,-0.5305,-2968620.49,171600.0,-223608.0,-0.3401,-2138972.55
-18.2921479,143.5471775,,Georgetown Primary Health Centre,gp,QLD,"Item 131, Item 134A",90%,208.82,Dimbulah Chemist,222,222,0,0,0.8,2308,0.0,True,,,58608.0,360025.6,-301417.6,657500,-0.4584,999.0,-2654485.35,41025.6,-358850.01,-0.5458,-3034992.91,76190.4,-258909.55,-0.3938,-2372856.31
-18.290604,143.5493405,"Georgetown LPO, St. George Street, Georgetown, Etheridge Shire, Queensland, Australia",Georgetown LPO,supermarket,QLD,"Item 131, Item 134A",90%,208.54,Dimbulah Chemist,222,222,0,0,0.8,2308,0.0,True,,,58608.0,360025.6,-301417.6,657500,-0.4584,999.0,-2654485.35,41025.6,-358850.01,-0.5458,-3034992.91,76190.4,-258909.55,-0.3938,-2372856.31
-15.9214705,145.3518945,,IGA Express,supermarket,QLD,Item 131,70%,51.47,Vitality Pharmacy Warehouse Cooktown,876,876,0,0,0.8,9110,0.0,True,,,231264.0,480884.8,-249620.8,657500,-0.3797,999.0,-2311315.44,161884.8,-335282.46,-0.5099,-2878850.6,300643.2,-175862.02,-0.2675,-1822640.55
-21.1406962,148.6307152,,Finch Hatton General Store,supermarket,QLD,Item 131,70%,24.14,Mirani Pharmacy,1600,1600,0,0,0.8,16640,0.0,True,,,422400.0,614680.0,-192280.0,657500,-0.2924,999.0,-1931414.8,295680.0,-309192.4,-0.4703,-2705995.81,549120.0,-83925.6,-0.1276,-1213533.2
-21.3581199,148.1188368,,Community Health Care,hospital,QLD,Item 131,70%,71.70,Infinity Pharmacy Moranbah,477,477,0,0,0.8,4960,0.0,True,,,125928.0,407149.6,-281221.6,657500,-0.4277,999.0,-2520680.57,88149.6,-349660.83,-0.5318,-2974111.74,163706.4,-226528.63,-0.3445,-2158322.64
-21.3583771,148.1164301,,Community Health Care,gp,QLD,Item 131,70%,71.64,Infinity Pharmacy Moranbah,477,477,0,0,0.8,4960,0.0,True,,,125928.0,407149.6,-281221.6,657500,-0.4277,999.0,-2520680.57,88149.6,-349660.83,-0.5318,-2974111.74,163706.4,-226528.63,-0.3445,-2158322.64
-28.1608616,145.0470738,,Royal Flying Doctor - Part-Time Clinic,gp,QLD,Item 131,70%,63.19,Cunnamulla Pharmacy,500,500,0,0,0.8,5200,0.0,True,,,132000.0,411400.0,-279400.0,657500,-0.4249,999.0,-2508611.9,92400.0,-348832.0,-0.5305,-2968620.49,171600.0,-223608.0,-0.3401,-2138972.55
-27.9975925,143.8207934,,Thargomindah Community Clinic,hospital,QLD,"Item 131, Item 134A",90%,160.17,Quilpie Pharmacy,194,194,0,0,0.8,2017,0.0,True,,,51216.0,354851.2,-303635.2,657500,-0.4618,999.0,-2669177.64,35851.2,-359859.02,-0.5473,-3041677.9,66580.8,-262465.1,-0.3992,-2396412.95
-27.9942588,143.822848,"Fergie's Roadhouse and General Store, Frew Street, Thargomindah, Bulloo Shire, Queensland, Australia",Fergie's Roadhouse and General Store,supermarket,QLD,"Item 131, Item 134A",90%,159.76,Quilpie Pharmacy,194,194,0,0,0.8,2017,0.0,True,,,51216.0,354851.2,-303635.2,657500,-0.4618,999.0,-2669177.64,35851.2,-359859.02,-0.5473,-3041677.9,66580.8,-262465.1,-0.3992,-2396412.95
-24.8834195,146.2534325,"Foodworks Local, Arthur Street, Tambo, Blackall Tambo Regional, Queensland, 4478, Australia",Foodworks Local,supermarket,QLD,"Item 131, Item 133, Item 134A",90%,94.73,Alliance Outback Chemist,283,283,0,0,0.8,2943,0.0,True,,,74712.0,371298.4,-296586.4,657500,-0.4511,999.0,-2622477.14,52298.4,-356651.81,-0.5424,-3020429.18,97125.6,-251163.53,-0.382,-2321536.49
-19.9179077,138.1219662,,Camooweal Primary Health Care Clinic,gp,QLD,"Item 131, Item 134A",90%,168.68,Mount Isa 7 Day Pharmacy West Street,152,152,0,0,0.8,1580,0.0,True,,,40128.0,347089.6,-306961.6,657500,-0.4669,999.0,-2691216.07,28089.6,-361372.53,-0.5496,-3051705.39,52166.4,-267798.43,-0.4073,-2431747.9
-17.7401551,139.5482266,,Gidgee Healing - Moungibi Ciinic,gp,QLD,"Item 131, Item 134A",90%,139.49,Karumba Pharmacy,167,167,0,0,0.8,1736,0.0,True,,,44088.0,349861.6,-305773.6,657500,-0.4651,999.0,-2683345.2,30861.6,-360831.99,-0.5488,-3048124.15,57314.4,-265893.67,-0.4044,-2419128.27
-17.7325558,139.5489923,,Burketown Primary Health Clinic,gp,QLD,"Item 131, Item 134A",90%,139.24,Karumba Pharmacy,167,167,0,0,0.8,1736,0.0,True,,,44088.0,349861.6,-305773.6,657500,-0.4651,999.0,-2683345.2,30861.6,-360831.99,-0.5488,-3048124.15,57314.4,-265893.67,-0.4044,-2419128.27
-15.2948202,145.109605,,Hopevale Supermarket,supermarket,QLD,Item 131,70%,24.50,Vitality Pharmacy Warehouse Cooktown,895,895,0,0,0.8,9308,0.0,True,,,236280.0,484396.0,-248116.0,657500,-0.3774,999.0,-2301345.67,165396.0,-334597.78,-0.5089,-2874314.36,307164.0,-173449.32,-0.2638,-1806655.69
-21.6904546,148.6886769,,Nebo Medical Centre,gp,QLD,Item 131,70%,61.71,Mirani Pharmacy,300,300,0,0,0.8,3120,0.0,True,,,79200.0,374440.0,-295240.0,657500,-0.449,999.0,-2613556.83,55440.0,-356039.2,-0.5415,-3016370.43,102960.0,-249004.8,-0.3787,-2307234.25
-22.9664868,145.2447815,,Aramac Primary Health Centre,hospital,QLD,Item 131,70%,65.29,Cookaburra Pharmacy,226,226,0,0,0.8,2350,0.0,True,,,59664.0,360764.8,-301100.8,657500,-0.4579,999.0,-2652386.45,41764.8,-358705.86,-0.5456,-3034037.91,77563.2,-258401.62,-0.393,-2369491.07
-17.5119547,145.6131901,,Tobin's 5 Star Supermarket,supermarket,QLD,Item 131,70%,17.42,Ravenshoe Pharmacy,845,845,0,0,0.8,8788,0.0,True,,,223080.0,475156.0,-252076.0,657500,-0.3834,999.0,-2327581.9,156156.0,-336399.58,-0.5116,-2886251.84,290004.0,-179798.52,-0.2735,-1848721.12
-27.4275982,153.5358609,,Foodworks,supermarket,QLD,"Item 131, Item 133",70%,15.34,Stradbroke Pharmacy,925,925,0,0,0.8,9620,0.0,True,,,244200.0,489940.0,-245740.0,657500,-0.3737,999.0,-2285603.93,170940.0,-333516.7,-0.5072,-2867151.87,317460.0,-169639.8,-0.258,-1781416.44
-24.7214676,152.1133353,,Yandaran General Store,supermarket,QLD,Item 131,70%,17.24,Moore Park Beach Pharmacy,767,767,0,0,0.8,7976,0.0,True,,,202488.0,460741.6,-258253.6,657500,-0.3928,999.0,-2368510.42,141741.6,-339210.39,-0.5159,-2904874.32,263234.4,-189703.27,-0.2885,-1914343.18
-18.589965,143.6050342,,Forsayth Hospital - Primary Health Centre,hospital,QLD,"Item 131, Item 134A",90%,226.03,Dimbulah Chemist,58,58,0,0,0.8,603,0.0,True,,,15312.0,329718.4,-314406.4,657500,-0.4782,999.0,-2740540.19,10718.4,-364759.91,-0.5548,-3074147.86,19905.6,-279734.93,-0.4255,-2510830.9
-19.0022992,144.9833258,,RFDS Clinic,gp,QLD,"Item 131, Item 134A",90%,129.42,TerryWhite Chemmart Ingham,100,100,0,0,0.8,1040,0.0,True,,,26400.0,337480.0,-311080.0,657500,-0.4731,999.0,-2718501.75,18480.0,-363246.4,-0.5525,-3064120.38,34320.0,-274401.6,-0.4173,-2475495.94
-24.180649,149.8113771,,Foodworks,supermarket,QLD,"Item 130, Item 131, Item 133",70%,46.22,Moura Pharmacy,260,260,0,0,0.8,2704,0.0,True,,,68640.0,367048.0,-298408.0,657500,-0.4539,999.0,-2634545.81,48048.0,-357480.64,-0.5437,-3025920.42,89232.0,-254084.16,-0.3864,-2340886.58
-24.184497800000003,149.8096335,,Baralaba Private Clinic,gp,QLD,"Item 130, Item 131",70%,45.88,Moura Pharmacy,260,260,0,0,0.8,2704,0.0,True,,,68640.0,367048.0,-298408.0,657500,-0.4539,999.0,-2634545.81,48048.0,-357480.64,-0.5437,-3025920.42,89232.0,-254084.16,-0.3864,-2340886.58
-17.6789363,145.1131707,,Mount Garnet Clinic,hospital,QLD,Item 131,70%,39.95,Ravenshoe Pharmacy,253,253,0,0,0.8,2631,0.0,True,,,66792.0,365754.4,-298962.4,657500,-0.4547,999.0,-2638218.88,46754.4,-357732.89,-0.5441,-3027591.67,86829.6,-254973.05,-0.3878,-2346775.74
