latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,pharmacy_count_10km,market_share,est_annual_scripts,gp_fte,is_remote,growth_indicator,growth_details,est_annual_revenue,est_annual_costs,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_revenue,worst_profit,worst_roi,worst_npv,best_revenue,best_profit,best_roi,best_npv
-30.5626574,136.8942395,"Roxby Downs Hospital, 16-28, Burgoyne Street, Roxby Downs, Municipal Council of Roxby Downs, South Australia, 5725, Australia",Roxby Downs Hospital,hospital,SA,"Item 131, Item 134A",90%,228.72,United Chemists Westside,3671,3671,0,0,0.8,38178,0.0,True,YES,SA Growth Area - BHP Olympic Dam expansion,969144.0,987400.8,-18256.8,657500,-0.0278,999.0,-778456.98,678400.8,-223061.84,-0.3393,-2135354.09,1259887.2,188058.26,0.286,588444.49
-26.1515307,131.1467555,"Nganampa Health Council Amata Clinic, Ngari Place, Amata, Anangu Pitjantjatjara Yankunytjatjara, South Australia, 0872, Australia",Nganampa Health Council Amata Clinic,gp,SA,"Item 131, Item 134A",90%,381.63,Territory Pharmacy Alice Springs,393,393,0,0,0.8,4087,0.0,True,,,103752.0,381626.4,-277874.4,657500,-0.4226,999.0,-2498504.32,72626.4,-341187.85,-0.5189,-2917975.64,134877.6,-228195.29,-0.3471,-2169364.76
-30.591720875,138.398731875,"Leigh Creek Hospital, Black Oak Drive, Leigh Creek, Pastoral Unincorporated Area, South Australia, 5731, Australia",Leigh Creek Foodland,supermarket,SA,"Item 131, Item 134A",90%,218.93,United Chemists Westside,174,174,0,0,0.8,1809,0.0,True,,,45936.0,341155.2,-295219.2,657500,-0.449,999.0,-2613419.02,32155.2,-349079.74,-0.5309,-2970261.82,59716.8,-256004.78,-0.3894,-2353611.32
-32.3456828,138.0423612,,IGA Quorn,supermarket,SA,"Item 131, Item 133",70%,29.67,United Chemist Port Augusta,1150,1150,0,0,0.8,11960,0.0,True,,,303600.0,521520.0,-217920.0,657500,-0.3314,999.0,-2101287.78,212520.0,-313908.6,-0.4774,-2737242.11,394680.0,-132068.4,-0.2009,-1532494.23
-32.3510421,138.0385777,,Quorn District and Memorial Hospital,hospital,SA,Item 131,70%,29.05,United Chemist Port Augusta,1150,1150,0,0,0.8,11960,0.0,True,,,303600.0,521520.0,-217920.0,657500,-0.3314,999.0,-2101287.78,212520.0,-313908.6,-0.4774,-2737242.11,394680.0,-132068.4,-0.2009,-1532494.23
-34.6221532,135.4663195,,IGA Coffin Bay,supermarket,SA,"Item 131, Item 133",70%,37.74,TerryWhite Chemmart Port Lincoln,803,803,0,0,0.8,8351,0.0,True,,,211992.0,457394.4,-245402.4,657500,-0.3732,999.0,-2283367.22,148394.4,-326413.09,-0.4964,-2820088.26,275589.6,-176131.85,-0.2679,-1824428.27
-29.6495801,138.0621288,"Marree Health Service, 45, First Street, Marree, Pastoral Unincorporated Area, South Australia, 5733, Australia",Marree Health Service,gp,SA,"Item 131, Item 134A",90%,316.44,United Chemists Westside,66,66,0,0,0.8,686,0.0,True,,,17424.0,321196.8,-303772.8,657500,-0.462,999.0,-2670089.28,12196.8,-352971.62,-0.5368,-2996046.79,22651.2,-269719.06,-0.4102,-2444472.63
-31.8872166,138.4227367,"Hawker General Store, Wilpena Road, Hawker, The Flinders Ranges Council, South Australia, 5434, Australia",Hawker General Store,supermarket,SA,"Item 131, Item 134A",90%,90.54,United Chemist Port Augusta,226,226,0,0,0.8,2350,0.0,True,,,59664.0,350764.8,-291100.8,657500,-0.4427,999.0,-2586133.34,41764.8,-347205.86,-0.5281,-2957846.84,77563.2,-249401.62,-0.3793,-2309863.27
-31.8934242,138.42780705,"Hawker Hospital, Cradock Road, Hawker, The Flinders Ranges Council, South Australia, 5434, Australia",Hawker Hospital,hospital,SA,"Item 131, Item 134A",90%,90.35,United Chemist Port Augusta,226,226,0,0,0.8,2350,0.0,True,,,59664.0,350764.8,-291100.8,657500,-0.4427,999.0,-2586133.34,41764.8,-347205.86,-0.5281,-2957846.84,77563.2,-249401.62,-0.3793,-2309863.27
-27.5451927,135.4458198,"Oodnadatta Hospital, Oribee Avenue, Oodnadatta, Pastoral Unincorporated Area, South Australia, 5734, Australia",Oodnadatta Hospital,hospital,SA,"Item 131, Item 134A",90%,176.66,Coober Pedy Pharmacy,102,102,0,0,0.8,1060,0.0,True,,,26928.0,327849.6,-300921.6,657500,-0.4577,999.0,-2651199.19,18849.6,-351674.33,-0.5349,-2987451.8,35006.4,-265147.63,-0.4033,-2414185.53
-34.6765929,139.6514251,,Nildottie Friendly Grocer,supermarket,SA,Item 131,70%,40.66,TerryWhite Chemmart Mannum Riverside,319,319,0,0,0.8,3317,0.0,True,,,84216.0,367951.2,-283735.2,657500,-0.4315,999.0,-2537333.95,58951.2,-343854.52,-0.523,-2935643.11,109480.8,-237592.1,-0.3614,-2231621.58
-35.5067732,139.1328016,,Health Clinic,gp,SA,Item 131,70%,18.26,Milang Pharmacy,608,608,0,0,0.8,6323,0.0,True,,,160512.0,421358.4,-260846.4,657500,-0.3967,999.0,-2385688.53,112358.4,-333440.11,-0.5071,-2866644.45,208665.6,-200893.73,-0.3055,-1988483.43
-27.300916,133.6214568,"Marla Health Services, Cockatoo Crescent, Marla, Pastoral Unincorporated Area, South Australia, 5724, Australia",Marla Health Services,gp,SA,"Item 131, Item 134A",90%,220.40,Coober Pedy Pharmacy,35,35,0,0,0.8,364,0.0,True,,,9240.0,315468.0,-306228.0,657500,-0.4657,999.0,-2686355.74,6468.0,-354088.74,-0.5385,-3003448.03,12012.0,-273655.56,-0.4162,-2470553.2
