latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,pharmacy_count_10km,market_share,est_annual_scripts,gp_fte,is_remote,growth_indicator,growth_details,est_annual_revenue,est_annual_costs,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_revenue,worst_profit,worst_roi,worst_npv,best_revenue,best_profit,best_roi,best_npv
-40.048726,144.0576882,,Grassy Supermarket,supermarket,TAS,Item 131,70%,21.94,King Island Pharmacy,500,500,0,0,0.8,5200,0.0,True,,,132000.0,391400.0,-259400.0,657500,-0.3945,999.0,-2376105.68,92400.0,-325832.0,-0.4956,-2816238.34,171600.0,-205608.0,-0.3127,-2019716.95
-40.7625163,145.2950685,,Stanley IGA,supermarket,TAS,"Item 131, Item 133",70%,16.69,Smithton Pharmacy,504,504,0,0,0.8,5241,0.0,True,,,133056.0,392139.2,-259083.2,657500,-0.394,999.0,-2374006.78,93139.2,-325687.86,-0.4953,-2815283.34,172972.8,-205100.06,-0.3119,-2016351.71
-41.2189569,146.344958,,IGA,supermarket,TAS,Item 133,65%,3.57,Complete Care Pharmacy Devonport,26357,26357,7,8,0.2,68528,0.0,False,,,1739562.0,1611693.4,127868.6,657500,0.1945,5.14,189669.24,1217693.4,-106399.79,-0.1618,-1362431.68,2261430.6,482129.32,0.7333,2536756.71
-41.4695436,147.0899735,,Baxter's IGA,supermarket,TAS,Item 133,65%,3.14,TerryWhite Chemmart Prospect Vale,71947,50000,6,28,0.2,130000,0.0,False,,,3300000.0,2704000.0,596000.0,657500,0.9065,1.1,3291185.37,2310000.0,-2650.0,-0.004,-675057.07,4290000.0,1232700.0,1.8748,7509520.89
-42.5593001,147.872333,,Orford Festival IGA Supermarket,supermarket,TAS,Item 133,65%,6.63,Triabunna Pharmacy,723,723,0,1,0.8,7519,0.0,False,,,190872.0,432610.4,-241738.4,657500,-0.3677,999.0,-2259092.09,133610.4,-317795.97,-0.4833,-2762997.16,248133.6,-177290.57,-0.2696,-1832105.15
-42.126071525,148.290322925,"Coles Bay Convenience, 3, Garnet Avenue, Coles Bay, Glamorgan-Spring Bay, Tasmania, 7215, Australia",Coles Bay Convenience,supermarket,TAS,"Item 130, Item 131, Item 133, Item 134",80%,17.79,Swansea Pharmacy,125,125,0,0,0.8,1300,0.0,True,,,33000.0,322100.0,-289100.0,657500,-0.4397,999.0,-2572877.42,23100.0,-339345.5,-0.5161,-2905769.48,42900.0,-253227.0,-0.3851,-2335207.63
-42.1224456,148.2845945,"Esplanade, Coles Bay, Glamorgan-Spring Bay, Tasmania, 7215, Australia",Supermarket,supermarket,TAS,Item 131,70%,17.31,Swansea Pharmacy,125,125,0,0,0.8,1300,0.0,True,,,33000.0,322100.0,-289100.0,657500,-0.4397,999.0,-2572877.42,23100.0,-339345.5,-0.5161,-2905769.48,42900.0,-253227.0,-0.3851,-2335207.63
-41.456382,147.17792,"Norwood Medical Centre, Dapple Street, Norwood, Launceston, City of Launceston, Tasmania, 7250, Australia",Norwood Medical Centre,gp,TAS,Item 130,75%,1.87,Pharmacy and Co Kings Meadows,80943,50000,18,28,0.2,130000,0.0,False,,,3300000.0,2704000.0,596000.0,657500,0.9065,1.1,3291185.37,2310000.0,-2650.0,-0.004,-675057.07,4290000.0,1232700.0,1.8748,7509520.89
-42.871,147.345,"Clarence Foreshore Trail, Rosny, Hobart, City of Clarence, Tasmania, 7018, Australia",Ochre Health Medical Centre Clarence,medical_centre,TAS,Item 136,95%,1.65,HPS Pharmacies Hobart,157079,50000,41,54,0.2,130000,5.6,False,,,3300000.0,2704000.0,596000.0,657500,0.9065,1.1,3291185.37,2310000.0,-2650.0,-0.004,-675057.07,4290000.0,1232700.0,1.8748,7509520.89
-41.4547332,147.1761331,"Norwood IGA, Norwood Avenue, Norwood, Launceston, City of Launceston, Tasmania, 7250, Australia",Norwood IGA,supermarket,TAS,"Item 130, Item 133",75%,1.86,Slade Pharmacy Kings Meadows,80943,50000,18,28,0.2,130000,0.0,False,,,3300000.0,2704000.0,596000.0,657500,0.9065,1.1,3291185.37,2310000.0,-2650.0,-0.004,-675057.07,4290000.0,1232700.0,1.8748,7509520.89
