latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,pharmacy_count_10km,market_share,est_annual_scripts,gp_fte,is_remote,growth_indicator,growth_details,est_annual_revenue,est_annual_costs,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_revenue,worst_profit,worst_roi,worst_npv,best_revenue,best_profit,best_roi,best_npv
-36.6095617,143.2468538,,East Wimmera Health Service St Arnaud Campus,hospital,VIC,Item 131,70%,35.62,Caremore Pharmacy Donald,2126,2126,0,0,0.8,22110,0.0,True,,,561264.0,721884.8,-160620.8,657500,-0.2443,999.0,-1721662.76,392884.8,-301737.46,-0.4589,-2656604.55,729643.2,-26132.02,-0.0397,-830632.73
-37.558366,149.7534583,,Mallacoota Medical Centre,hospital,VIC,Item 131,70%,56.47,Eden Pharmacy,1118,1118,0,0,0.8,11627,0.0,True,,,295152.0,535606.4,-240454.4,657500,-0.3657,999.0,-2250585.19,206606.4,-338061.75,-0.5142,-2897264.25,383697.6,-154131.89,-0.2344,-1678671.7
-37.9242465,141.2754502,,Dartmoor & District Bush Nursing Centre,hospital,VIC,Item 131,70%,38.64,Heywood Pharmacy,744,744,0,0,0.8,7737,0.0,True,,,196416.0,466491.2,-270075.2,657500,-0.4108,999.0,-2446832.2,137491.2,-351539.22,-0.5347,-2986556.64,255340.8,-201623.9,-0.3067,-1993321.07
-36.381404,141.2460378,,Kaniava Hospital,hospital,VIC,Item 131,70%,36.56,Nhill Pharmacy,683,683,0,0,0.8,7103,0.0,True,,,180312.0,455218.4,-274906.4,657500,-0.4181,999.0,-2478840.4,126218.4,-353737.41,-0.538,-3001120.37,234405.6,-209369.93,-0.3184,-2044640.89
-36.670831,142.8698477,,Marnoo General Store,supermarket,VIC,Item 131,70%,34.45,Minyip Medical Supplies Depot,500,500,0,0,0.8,5200,0.0,True,,,132000.0,421400.0,-289400.0,657500,-0.4402,999.0,-2574865.01,92400.0,-360332.0,-0.548,-3044811.57,171600.0,-232608.0,-0.3538,-2198600.35
-37.9526412,143.3356478,,Lismore Community Health,gp,VIC,Item 131,70%,29.72,Skipton Pharmacy,513,513,0,0,0.8,5335,0.0,True,,,135432.0,423802.4,-288370.4,657500,-0.4386,999.0,-2568043.59,94802.4,-359863.53,-0.5473,-3041707.82,176061.6,-230957.21,-0.3513,-2187663.34
-38.7020259,145.8204444,"Venus Bay General Store, Jupiter Boulevard, Venus Bay First Estate, Venus Bay, Shire of South Gippsland, Victoria, 3956, Australia",Venus Bay General Store,supermarket,VIC,Item 131,85%,25.66,TerryWhite Chemmart Inverloch,1467,1467,0,0,0.8,15256,0.0,True,,,387288.0,600101.6,-212813.6,657500,-0.3237,999.0,-2067456.29,271101.6,-325485.19,-0.495,-2813940.6,503474.4,-109814.47,-0.167,-1385055.03
-38.8125072,146.2076606,,Yanakie General Store,supermarket,VIC,Item 131,70%,17.19,AMCAL FISH CREEK,754,754,0,0,0.8,7841,0.0,True,,,199056.0,468339.2,-269283.2,657500,-0.4096,999.0,-2441584.95,139339.2,-351178.86,-0.5341,-2984169.14,258772.8,-200354.06,-0.3047,-1984907.99
-37.8773663,142.2824238,,Western District Health Service - Penshurst,hospital,VIC,Item 131,70%,25.86,Dunkeld Pharmacy,491,491,0,0,0.8,5106,0.0,True,,,129624.0,419736.8,-290112.8,657500,-0.4412,999.0,-2579587.53,90736.8,-360656.32,-0.5485,-3046960.32,168511.2,-233750.86,-0.3555,-2206172.12
-37.5636617,149.151655,,Cann Valley Bush Nursing Centre,hospital,VIC,Item 131,70%,63.35,Orbost Pharmacy,188,188,0,0,0.8,1955,0.0,True,,,49632.0,363742.4,-314110.4,657500,-0.4777,999.0,-2738579.09,34742.4,-371575.23,-0.5651,-3119301.48,64521.6,-272227.01,-0.414,-2461088.6
