latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,pharmacy_count_10km,market_share,est_annual_scripts,gp_fte,is_remote,growth_indicator,growth_details,est_annual_revenue,est_annual_costs,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_revenue,worst_profit,worst_roi,worst_npv,best_revenue,best_profit,best_roi,best_npv
-26.134566149999998,126.5797383,"Fourth Street, Warburton, Shire Of Ngaanyatjarraku, Western Australia, Australia",Warburton Store,supermarket,WA,"Item 131, Item 134A",90%,601.09,Leonora Pharmacy,511,511,0,0,0.8,5314,0.0,True,,,134904.0,418432.8,-283528.8,657500,-0.4312,999.0,-2535966.48,94432.8,-354185.6,-0.5387,-3004089.78,175375.2,-226711.18,-0.3448,-2159532.05
-26.5951423,120.2280643,,Ngangganawili Aboriginal Health Service,hospital,WA,"Item 131, Item 134A",90%,172.24,Meekatharra Pharmacy,845,845,0,0,0.8,8788,0.0,True,,,223080.0,480156.0,-257076.0,657500,-0.391,999.0,-2360708.46,156156.0,-342149.58,-0.5204,-2924347.38,290004.0,-184298.52,-0.2803,-1878535.02
-21.886916,120.1088301,"Nullagine Health Clinic, 10, Cooke Street, Irrungadji, Nullagine, Shire of East Pilbara, Western Australia, 6758, Australia",Nullagine Health Clinic,gp,WA,"Item 131, Item 134A",90%,167.98,Boulevard Pharmacy,647,647,0,0,0.8,6728,0.0,True,,,170808.0,443565.6,-272757.6,657500,-0.4148,999.0,-2464603.93,119565.6,-349284.71,-0.5312,-2971619.82,222050.4,-209441.35,-0.3185,-2045114.1
-16.4266949,126.4309519,"Gibb River Store, Gibb River-Station Road, Gibb, Ngallagunda, Shire Of Wyndham-East Kimberley, Western Australia, Australia",Gibb River Store,supermarket,WA,"Item 131, Item 134A",90%,216.76,Kimberley Pharmacy Services (Fitzroy Valley),500,500,0,0,0.8,5200,0.0,True,,,132000.0,416400.0,-284400.0,657500,-0.4325,999.0,-2541738.45,92400.0,-354582.0,-0.5393,-3006716.03,171600.0,-228108.0,-0.3469,-2168786.45
-25.0029532,128.2867997,,Warakurna Health Clinic,hospital,WA,"Item 131, Item 134A",90%,584.47,Territory Pharmacy Alice Springs,185,185,0,0,0.8,1924,0.0,True,,,48840.0,358188.0,-309348.0,657500,-0.4705,999.0,-2707026.71,34188.0,-365933.34,-0.5566,-3081922.19,63492.0,-268107.96,-0.4078,-2433798.62
-20.1026248,127.594643,"Corporate Office - Store, Road 3, Sturt Creek, Mulan, Shire of Halls Creek, Western Australia, Australia",Corporate Office - Store,supermarket,WA,"Item 131, Item 134A",90%,208.98,Halls Creek Pharmacy,500,500,0,0,0.8,5200,0.0,True,,,132000.0,416400.0,-284400.0,657500,-0.4325,999.0,-2541738.45,92400.0,-354582.0,-0.5393,-3006716.03,171600.0,-228108.0,-0.3469,-2168786.45
-20.1420712,127.98280135,"Balgo Community Office, Wirri Street, Tanami, Balgo, Shire of Halls Creek, Western Australia, Australia",Balgo Store,supermarket,WA,"Item 131, Item 134A",90%,215.80,Halls Creek Pharmacy,472,472,0,0,0.8,4908,0.0,True,,,124608.0,411225.6,-286617.6,657500,-0.4359,999.0,-2556430.74,87225.6,-355591.01,-0.5408,-3013401.02,161990.4,-231663.55,-0.3523,-2192343.08
-28.064766699999996,117.848477,"IGA Mount Magnet, 36, Hepburn Street, Mount Magnet, Shire Of Mount Magnet, Western Australia, 6638, Australia",IGA Mount Magnet,supermarket,WA,"Item 131, Item 133, Item 134A",90%,175.82,Meekatharra Pharmacy,576,576,0,0,0.8,5990,0.0,True,,,152064.0,430444.8,-278380.8,657500,-0.4234,999.0,-2501859.38,106444.8,-351843.26,-0.5351,-2988571.05,197683.2,-218457.22,-0.3323,-2104847.0
-16.9810617,122.6650396,"Beagle Bay Community Store, Bishop Place, Dampier Peninsula, Beagle Bay, Shire Of Broome, Western Australia, 6725, Australia",Beagle Bay Community Store,supermarket,WA,"Item 131, Item 134A",90%,108.66,Kimberley Pharmacy Services (Derby),907,907,0,0,0.8,9432,0.0,True,,,239448.0,491613.6,-252165.6,657500,-0.3835,999.0,-2328175.53,167613.6,-339915.35,-0.517,-2909544.9,311282.4,-176425.51,-0.2683,-1826373.89
-26.0668658,128.9308486,"Giles Place, Irrunytju, Shire Of Ngaanyatjarraku, Western Australia, Australia",Store,supermarket,WA,"Item 131, Item 134A",90%,561.31,Territory Pharmacy Alice Springs,157,157,0,0,0.8,1632,0.0,True,,,41448.0,353013.6,-311565.6,657500,-0.4739,999.0,-2721719.0,29013.6,-366942.35,-0.5581,-3088607.18,53882.4,-271663.51,-0.4132,-2457355.26
-21.6392644,116.3270047,,Pannawonica Medical Center,hospital,WA,"Item 131, Item 134A",90%,111.08,Pharmacy 777 Tambrey,685,685,0,0,0.8,7124,0.0,True,,,180840.0,450588.0,-269748.0,657500,-0.4103,999.0,-2444664.4,126588.0,-347915.34,-0.5291,-2962547.34,235092.0,-204615.96,-0.3112,-2013144.37
-15.485668,128.1192082,,Wyndham Supermarket,supermarket,WA,Item 131,70%,73.83,Amcal+ Pharmacy Kununurra,845,845,0,0,0.8,8788,0.0,True,,,223080.0,480156.0,-257076.0,657500,-0.391,999.0,-2360708.46,156156.0,-342149.58,-0.5204,-2924347.38,290004.0,-184298.52,-0.2803,-1878535.02
