state,lat,lng,rule,our_confidence,poi_name,nearest_db_pharmacy_km,nearest_db_pharmacy_name,google_pharmacies_found,new_pharmacies,status,verification_method,google_pharmacy_names,db_nearby_names
TAS,-42.871,147.345,Item 136,95%,Ochre Health Medical Centre Clarence,N/A,N/A,0,0,verified,google_maps,,
TAS,-42.8704,147.3579,Item 132,85%,Eastlands Shopping Centre,N/A,N/A,0,0,verified,google_maps,,
TAS,-42.9768,147.3057,Item 132,85%,Channel Court Shopping Centre,0.34,Priceline Pharmacy Kingston,0,0,needs_review,db_only,,Priceline Pharmacy Kingston (0.34km); Kingborough Pharmacy (0.39km); TerryWhite Chemmart Kingston Town (0.42km)
TAS,-42.126071525,148.290322925,"Item 130, Item 131, Item 133, Item 134",80%,Coles Bay Convenience,N/A,N/A,0,0,verified,google_maps,,
TAS,-41.456382,147.17792,Item 130,75%,Norwood Medical Centre,1.87,Pharmacy and Co Kings Meadows,4,4,verified,google_maps,Pharmacy + Co Kings Meadows (1.88km); Slade Pharmacy Kings Meadows (1.86km); Meadow Mews Pharmacy (1.98km); Amcal Pharmacy Newstead (2.18km),
TAS,-41.4547332,147.1761331,"Item 130, Item 133",75%,Norwood IGA,1.86,Slade Pharmacy Kings Meadows,4,4,verified,google_maps,Pharmacy + Co Kings Meadows (1.89km); Slade Pharmacy Kings Meadows (1.84km); Meadow Mews Pharmacy (1.98km); Amcal Pharmacy Newstead (1.94km),
TAS,-41.068,145.905,Item 136,75%,TAS Family Medical Centre,0.44,Upper Burnie Pharmacy,0,0,needs_review,db_only,,Upper Burnie Pharmacy (0.44km)
TAS,-42.734751,147.24324395000002,"Item 133, Item 134",75%,Coles,0.31,Priceline Pharmacy Bridgewater,0,0,needs_review,db_only,,Priceline Pharmacy Bridgewater (0.31km)
TAS,-42.78274725,147.56589225,"Item 133, Item 134",75%,Coles,0.26,Chemist Warehouse Sorell,0,0,needs_review,db_only,,Chemist Warehouse Sorell (0.26km); TerryWhite Chemmart Sorell (0.41km)
TAS,-41.4407108,147.13653,Item 133,75%,Woolworths,0.23,Chemist Warehouse Launceston,0,0,needs_review,db_only,,Chemist Warehouse Launceston (0.23km); Hatton & Laws Soul Pattinson Pharmacy (0.23km); Chemist Warehouse South Launceston (0.32km)
TAS,-42.8578725,147.3032616,Item 133,75%,Woolworths,0.21,Chemist Warehouse New Town TAS,0,0,needs_review,db_only,,Chemist Warehouse New Town TAS (0.21km); Chemist Warehouse New Town (0.28km); Friendly Care Advantage New Town (0.35km)
TAS,-41.4448557,147.1386382,Item 133,75%,Coles,0.18,Chemist Warehouse South Launceston,0,0,needs_review,db_only,,Chemist Warehouse South Launceston (0.18km); Fitzpatrick's Pharmacy (0.35km); Complete Care Pharmacy Health Hub (0.40km)
TAS,-41.4647153,147.1604867,Item 133,75%,Woolworths,0.16,Slade Pharmacy Kings Meadows,0,0,needs_review,db_only,,Slade Pharmacy Kings Meadows (0.16km); Pharmacy and Co Kings Meadows (0.23km); Meadow Mews Pharmacy (0.28km)
TAS,-41.4056454,147.1320764,Item 133,75%,Coles,0.14,TerryWhite Chemmart Mowbray,0,0,needs_review,db_only,,TerryWhite Chemmart Mowbray (0.14km); Chemist Warehouse Mowbray (0.18km); Chemist Warehouse Mowbray (0.27km)
TAS,-42.8319921,147.2745657,Item 133,75%,Coles,0.14,Chemist Warehouse Northgate Shopping Centre,0,0,needs_review,db_only,,Chemist Warehouse Northgate Shopping Centre (0.14km); Chemist Warehouse Glenorchy (0.17km); Blooms the Chemist Glenorchy (0.33km)
TAS,-42.8960919,147.328783,Item 133,75%,Coles,0.12,TerryWhite Chemmart Sandy Bay,0,0,needs_review,db_only,,TerryWhite Chemmart Sandy Bay (0.12km); Chemist Warehouse Sandy Bay (0.18km)
TAS,-41.1766608,146.3551924,Item 133,75%,Coles,0.11,Chemist Discount Centre Devonport,0,0,needs_review,db_only,,Chemist Discount Centre Devonport (0.11km); Devonport Pharmacy (0.14km); TerryWhite Chemmart Fourways Devonport (0.37km)
TAS,-41.069097066666664,145.9010145,"Item 133, Item 134",75%,Woolworths,0.18,Upper Burnie Pharmacy,0,0,needs_review,db_only,,Upper Burnie Pharmacy (0.18km)
TAS,-42.8653782,147.368848,Item 133,75%,Coles,0.10,Chemist Warehouse Eastlands Shopping Centre,0,0,needs_review,db_only,,Chemist Warehouse Eastlands Shopping Centre (0.10km); Complete Care Pharmacy Rosny Park (0.15km); Rhys Jones Pharmacy (0.23km)
TAS,-42.48649965,146.7170984,Item 131,70%,Central Highlands General Practice,N/A,N/A,0,0,verified,google_maps,,
TAS,-40.048726,144.0576882,Item 131,70%,Grassy Supermarket,N/A,N/A,0,0,verified,google_maps,,
TAS,-42.1224456,148.2845945,Item 131,70%,Supermarket,N/A,N/A,0,0,verified,google_maps,,
TAS,-40.7625163,145.2950685,"Item 131, Item 133",70%,Stanley IGA,0.11,Good Shepherd Pharmacy,1,0,needs_review,google_maps,Good Shepherd Pharmacy (0.11km),Good Shepherd Pharmacy (0.11km)
TAS,-42.781,147.2487,Item 134,70%,Claremont Village Shopping Centre,N/A,N/A,0,0,verified,google_maps,,
TAS,-42.743,147.2309,Item 136,70%,Bridgewater Medical Centre,N/A,N/A,0,0,verified,google_maps,,
TAS,-42.8463,147.3082,Item 136,70%,Moonah Medical Centre,N/A,N/A,0,0,verified,google_maps,,
TAS,-42.871,147.362,Item 136,70%,Rosny Park Family Medical Centre,0.61,Bellerive Quay Pharmacy,2,2,verified,google_maps,Chemist Warehouse Eastlands Shopping Centre (0.72km); TerryWhite Chemmart Bellerive (0.61km),
TAS,-42.8803,147.3845,Item 134,70%,Shoreline Shopping Centre,0.50,Amcal+ Pharmacy Howrah - Wentworth,0,0,needs_review,db_only,,Amcal+ Pharmacy Howrah - Wentworth (0.50km)
TAS,-42.831,147.282,Item 134,70%,Glenorchy Central,0.42,Priceline Pharmacy Glenorchy,0,0,needs_review,db_only,,Priceline Pharmacy Glenorchy (0.42km)
TAS,-41.4267,147.1336,Item 134,70%,Northgate Shopping Centre,0.36,Invermay Discount Drug Store,0,0,needs_review,db_only,,Invermay Discount Drug Store (0.36km)
TAS,-41.4352,147.1452,Item 134,70%,Gateway Shopping Centre (Launceston),0.22,TerryWhite Chemmart Launceston City,0,0,needs_review,db_only,,TerryWhite Chemmart Launceston City (0.22km); Pharmacy and Co Launceston (0.45km)
TAS,-42.5593001,147.872333,Item 133,65%,Orford Festival IGA Supermarket,N/A,N/A,0,0,verified,google_maps,,
TAS,-41.2189569,146.344958,Item 133,65%,IGA,N/A,N/A,0,0,verified,google_maps,,
TAS,-41.4695436,147.0899735,Item 133,65%,Baxter's IGA,N/A,N/A,0,0,verified,google_maps,,
TAS,-42.7484982,147.2659412,Item 133,65%,IGA,N/A,N/A,0,0,verified,google_maps,,
TAS,-42.8966766,147.4320085,Item 133,65%,Rokeby IGA,N/A,N/A,0,0,verified,google_maps,,
TAS,-41.525328,146.8449712,"Item 133, Item 134",65%,IGA,N/A,N/A,0,0,verified,google_maps,,
TAS,-41.0980218,146.8232761,Item 133,65%,IGA George Town,N/A,N/A,0,0,verified,google_maps,,
TAS,-42.3007354,147.3697897,Item 133,65%,IGA: Oatlands,0.40,Oatlands Pharmacy,0,0,needs_review,db_only,,Oatlands Pharmacy (0.40km)
TAS,-41.1129758,146.0716909,Item 133,65%,Lane's IGA,0.35,Complete Care Pharmacy Penguin,0,0,needs_review,db_only,,Complete Care Pharmacy Penguin (0.35km)
TAS,-40.9897747,145.7194643,Item 133,65%,IGA West End Supermarket,0.35,Healthpoint Pharmacy Wynyard,0,0,needs_review,db_only,,Healthpoint Pharmacy Wynyard (0.35km)
TAS,-43.0659047,147.255555,Item 133,65%,Baxter's IGA,0.35,Healthpoint Pharmacy Snug,0,0,needs_review,db_only,,Healthpoint Pharmacy Snug (0.35km)
TAS,-41.32339865,148.2489222,Item 133,65%,Hilly's IGA,0.22,Blooms the Chemist St Helen's,0,0,needs_review,db_only,,Blooms the Chemist St Helen's (0.22km)
TAS,-42.8751386,147.3704878,Item 133,65%,Salamanca Fresh IGA,0.24,Bellerive Quay Pharmacy,0,0,needs_review,db_only,,Bellerive Quay Pharmacy (0.24km)
TAS,-41.2991302,146.9521946,Item 133,65%,IGA,0.19,TerryWhite Chemmart Exeter,0,0,needs_review,db_only,,TerryWhite Chemmart Exeter (0.19km)
TAS,-42.0805434,145.5574234,Item 133,65%,IGA,0.18,Queenstown Medical Union Pharmacy,0,0,needs_review,db_only,,Queenstown Medical Union Pharmacy (0.18km)
TAS,-41.1584465,146.174394,Item 133,65%,Railway IGA Supermarket,0.15,Priceline Pharmacy Ulverstone,0,0,needs_review,db_only,,Priceline Pharmacy Ulverstone (0.15km); Fullife Pharmacy - Ulverstone (0.34km); Peter Thompson's Pharmacy (0.38km)
TAS,-43.0988811,147.7427548,Item 133,65%,IGA,0.10,Tasman Pharmacy,0,0,needs_review,db_only,,Tasman Pharmacy (0.10km)
TAS,-42.9046784,147.4354685,Item 135,55%,The Hobart Clinic,N/A,N/A,0,0,verified,google_maps,,
TAS,-41.4584509,147.153164,Item 134,55%,DongSheng,N/A,N/A,0,0,verified,google_maps,,
TAS,-42.8957201,147.3060276,Item 135,55%,Calvary Healthcare Tasmania - St John's Campus,N/A,N/A,1,1,invalidated,google_maps,HPS Pharmacies - South Hobart (0.03km),
TAS,-41.43,147.1295,Item 134,55%,Meadow Mews Shopping Centre,0.72,Invermay Discount Drug Store,0,0,verified,google_maps,,
TAS,-41.5699777,147.2513504,Item 134,55%,Jardin Skin Care Apothecary Tonics,0.42,Evandale Pharmacy,0,0,needs_review,db_only,,Evandale Pharmacy (0.42km)
TAS,-42.9818279,147.2938109,Item 134,55%,Total Tools,0.37,Priceline Pharmacy Kingston,0,0,needs_review,db_only,,Priceline Pharmacy Kingston (0.37km)
TAS,-42.843114,147.2977798,Item 134,55%,Fantastic Furniture,0.37,Friendly Care Advantage Moonah,0,0,needs_review,db_only,,Friendly Care Advantage Moonah (0.37km)
TAS,-41.0552718,145.9062296,Item 134,55%,Express Auto Centre,0.35,Bolands Pharmacy,0,0,needs_review,db_only,,Bolands Pharmacy (0.35km); Pharmacy Discount Centre Burnie (0.41km); Burnie Plaza Pharmacy (0.45km)
TAS,-41.5709107,147.2481399,Item 134,55%,Lake Leather,0.22,Evandale Pharmacy,0,0,needs_review,db_only,,Evandale Pharmacy (0.22km)
TAS,-42.8659413,147.3035849,Item 135,40%,Calvary Hospital,0.06,HPS Pharmacies Lenah Valley,0,0,needs_review,db_only,,HPS Pharmacies Lenah Valley (0.06km)
VIC,-37.7474,144.816,Item 136,95%,Sunshine Hospital Medical Centre,N/A,N/A,0,0,verified,google_maps,,
VIC,-35.2341,149.0178,Item 136,95%,Kippax Medical Centre,N/A,N/A,0,0,verified,google_maps,,
VIC,-37.7446,145.0073,Item 136,95%,Preston Medical Centre,0.68,Direct Chemist Outlet Preston,3,3,verified,google_maps,Direct Chemist Outlet Preston (0.68km); Medipharmacy Compounding (0.61km); Pharmasave Preston Discount Pharmacy (0.69km),
VIC,-37.8913,144.7471,Item 136,95%,Point Cook Medical Centre,0.66,Priceline Pharmacy Sanctuary Lakes,1,1,verified,google_maps,Priceline Pharmacy Sanctuary Lakes (0.66km),
VIC,-37.849,144.6958,Item 136,95%,Tarneit Medical Centre,0.62,Tarneit Pharmacy,1,1,verified,google_maps,Tarneit Pharmacy (0.63km),
VIC,-38.035,145.3513,Item 136,95%,Berwick Medical Centre,0.61,Berwick Pharmacy,2,2,verified,google_maps,Berwick Pharmacy (0.61km); Chemist Discount Centre Berwick (0.67km),
VIC,-37.6492,145.0259,Item 136,95%,IPN Medical Centre Epping,0.57,Chemist Warehouse Epping Homelife Centre,1,1,verified,google_maps,Chemist Warehouse Epping Homelife Centre (0.57km),
VIC,-37.6006,144.9464,Item 136,95%,Craigieburn Medical Centre,0.54,Priceline Pharmacy Craigieburn,3,3,verified,google_maps,Super Saver Discount Chemist (0.67km); Direct Chemist Outlet Craigieburn (0.67km); Priceline Pharmacy Craigeburn (0.63km),
VIC,-35.3402,149.1031,Item 136,95%,Garran Medical Centre,0.48,Capital Chemist Garran,0,0,needs_review,db_only,,Capital Chemist Garran (0.48km)
VIC,-35.3393,143.5538,Item 136,95%,Swan Hill Medical Centre,0.46,Amcal,0,0,needs_review,db_only,,Amcal (0.46km)
VIC,-36.7102,142.1984,Item 136,95%,Horsham Medical Centre,0.42,TerryWhite Chemmart Horsham Compounding,0,0,needs_review,db_only,,TerryWhite Chemmart Horsham Compounding (0.42km)
VIC,-37.738,144.7373,Item 136,95%,Caroline Springs Medical Centre,0.41,TerryWhite Chemmart Caroline Springs,0,0,needs_review,db_only,,TerryWhite Chemmart Caroline Springs (0.41km)
VIC,-37.8978,144.6629,Item 136,95%,Werribee Medical Centre,0.32,Minh Ha Pharmacist Advice,0,0,needs_review,db_only,,Minh Ha Pharmacist Advice (0.32km); Werribee Discount Chemist (0.46km)
VIC,-33.4188,149.5792,Item 136,95%,Bathurst Medical Centre,0.31,Moodie's Pharmacy,0,0,needs_review,db_only,,Moodie's Pharmacy (0.31km); Capital Chemist Bathurst (0.33km); Blooms The Chemist Bathurst Armada (0.33km)
VIC,-38.7020259,145.8204444,Item 131,85%,Venus Bay General Store,N/A,N/A,0,0,verified,google_maps,,
VIC,-38.7004152,145.8680277,"Item 131, Item 133",85%,IGA,N/A,N/A,0,0,verified,google_maps,,
VIC,-38.5777296,146.0137354,"Item 131, Item 133",85%,IGA Local Grocer and Liquor,0.06,Meeniyan Pharmacy,1,0,needs_review,google_maps,Meeniyan Pharmacy (0.06km),Meeniyan Pharmacy (0.06km)
VIC,-36.6366404,142.63177845,Item 131,85%,Rupanyup Doctors Surgery,N/A,N/A,0,0,verified,google_maps,,
VIC,-38.3098264,142.6416732,Item 131,85%,Kirrae Health Service,N/A,N/A,0,0,verified,google_maps,,
VIC,-38.2420198,144.1748634,Item 131,85%,Moriac Medical Centre,0.00,Moriac Pharmacy,1,0,needs_review,google_maps,Moriac Pharmacy (0.00km),Moriac Pharmacy (0.00km)
VIC,-36.6307452,142.6307295,Item 131,85%,Rupanyup Supermarket,N/A,N/A,0,0,verified,google_maps,,
VIC,-37.818838516666666,144.95452115,"Item 132, Item 133, Item 134",85%,Liberty Tower,0.31,Chemist Warehouse Spencer Outlet Centre,0,0,needs_review,db_only,,Chemist Warehouse Spencer Outlet Centre (0.31km); Bourke Place Pharmacy (0.34km); Priceline Pharmacy William Street (0.42km)
VIC,-37.8778132,145.09243943333334,"Item 132, Item 133, Item 134",85%,Chadstone Lifestyle Precinct,0.22,Chemist Warehouse,0,0,needs_review,db_only,,Chemist Warehouse (0.22km); Advantage Pharmacy Chadstone (0.33km)
VIC,-37.8146,145.2307,Item 132,85%,Eastland Shopping Centre,0.23,Priceline Pharmacy Ringwood,0,0,needs_review,db_only,,Priceline Pharmacy Ringwood (0.23km); Chemist Warehouse (0.37km); Pharmacy Now (0.40km)
VIC,-38.3954714,142.628306,Item 131,75%,Allansford Cheese World,N/A,N/A,0,0,verified,google_maps,,
VIC,-38.6657911,146.4369242,Item 131,75%,Welshpool Supermarket,N/A,N/A,0,0,verified,google_maps,,
VIC,-37.965617,144.7066647,Item 131,75%,Wyndham Harbour Mini Mart,N/A,N/A,0,0,verified,google_maps,,
VIC,-37.42274336666667,144.56392013333334,"Item 130, Item 133",75%,Macedon IGA plus Liquor,N/A,N/A,0,0,verified,google_maps,,
VIC,-37.85772795,144.88246005,"Item 133, Item 134",75%,Woolworths,N/A,N/A,0,0,verified,google_maps,,
VIC,-37.7976134,144.8061424,Item 133,75%,Coles,N/A,N/A,0,0,verified,google_maps,,
VIC,-37.6278019,145.0274063,Item 133,75%,Woolworths,0.05,Pharmacy Select Lyndarum,1,0,needs_review,google_maps,Pharmacy Select Lyndarum (0.05km),Pharmacy Select Lyndarum (0.05km)
VIC,-37.8311018,144.9307435,Item 133,75%,Woolworths,0.35,Pharmacy Own,1,0,needs_review,google_maps,Pharmacy Own (0.35km),Pharmacy Own (0.35km)
VIC,-37.80008875,144.9953537,Item 133,75%,Woolworths Metro,N/A,N/A,0,0,verified,google_maps,,
VIC,-37.5997464,143.8398507,"Item 133, Item 134",75%,Coles Sebastopol,N/A,N/A,0,0,verified,google_maps,,
VIC,-36.3591735,146.3169075,Item 133,75%,Coles,N/A,N/A,0,0,verified,google_maps,,
VIC,-36.7576168,144.2962722,Item 133,75%,Coles,N/A,N/A,0,0,verified,google_maps,,
VIC,-38.1092936,145.1265883,Item 133,75%,Woolworths,N/A,N/A,0,0,verified,google_maps,,
VIC,-37.6296479,145.0794343,Item 133,75%,Coles,0.72,Lakes Boulevard Medical Pharmacy,0,0,verified,google_maps,,
VIC,-37.9276332,145.4452677,Item 133,75%,Woolworths,0.63,Emerald Wellness Pharmacy,2,2,verified,google_maps,Emerald Wellness Pharmacy (0.63km); Emerald Village Pharmacy (0.72km),
VIC,-37.8323252,144.9708404,Item 133,75%,Woolworths Metro,0.59,Melbourne Boulevard Pharmacy & Health Foods,2,2,verified,google_maps,Melbourne Boulevard Pharmacy (0.60km); Chemist Warehouse Southbank (0.61km),
VIC,-36.7669138,144.2651965,Item 133,75%,Woolworths,0.56,Golden Square's Pharmacy,1,1,verified,google_maps,PharmaSave Golden Square (0.55km),
VIC,-38.004827,145.2664991,Item 133,75%,Coles,0.48,Healthfirst Family Pharmacy,0,0,needs_review,db_only,,Healthfirst Family Pharmacy (0.48km)
VIC,-37.8038373,145.0376993,Item 133,75%,Coles,0.45,Cotham Road Pharmacy,0,0,needs_review,db_only,,Cotham Road Pharmacy (0.45km); Edge Compounding Pharmacy (0.45km)
VIC,-38.45317710714286,145.23907677857144,"Item 133, Item 134",75%,Woolworths,0.41,TerryWhite Chemmart Phillip Island,0,0,needs_review,db_only,,TerryWhite Chemmart Phillip Island (0.41km); Priceline Pharmacy Cowes (0.49km)
