lat,lon,suburb,postcode,state,rule_item,confidence,nearest_pharmacy_km,reason,name,address,source_type,gla_sqm,brand,margin_m
-27.917374,120.697785,,,WA,Item 130,0.95,123.679,"Item 130(b)(ii): Unknown Supermarket GLA 2714sqm ≥2500sqm, nearest pharmacy 123.679km (margin +122179m)",Unknown Supermarket,"WA, Australia (OSM:545776344)",supermarket,2713.6,unknown,122179.0
-42.126092,148.290401,BAY,7215,TAS,Item 130,0.95,17.84,"Item 130(b)(ii): Coles Bay Convenience GLA 3500sqm ≥2500sqm, nearest pharmacy 17.84km (margin +16340m)",Coles Bay Convenience,"3, Garnet Avenue, Coles Bay, TAS, 7215",supermarket,3500.0,coles,16340.0
-22.253445,131.794944,,,NT,Item 130,0.855,999,"Item 130(b)(i): Yuendumu Store GLA 2137sqm + GP Yuendumu Health Centre within 0.28km, nearest pharmacy 999km",Yuendumu Store,"NT, Australia (OSM:188552157)",supermarket,2137.4,unknown,999000
-12.104728,134.922231,,,NT,Item 130,0.855,194.294,"Item 130(b)(i): Unknown Supermarket GLA 1070sqm + GP Milingimbi Health Centre within 0.16km, nearest pharmacy 194.294km",Unknown Supermarket,"NT, Australia (OSM:475053637)",supermarket,1070.2,unknown,192794.0
-23.710075,133.860043,,,NT,Item 130,0.855,2.338,"Item 130(b)(i): IGA GLA 1003sqm + GP Alice Springs Community Health within 0.23km, nearest pharmacy 2.338km",IGA,"NT, Australia (OSM:173081274)",supermarket,1003.1,iga,838.0
-27.925348,153.3054,STREET,,QLD,Item 130,0.85,1.838,"Item 130(b)(ii): Coles GLA 4296sqm ≥2500sqm, nearest pharmacy 1.838km (margin +338m)",Coles,"2, Norris Street, QLD, Australia",supermarket,4296.1,coles,338.0
-41.454733,147.176133,IGA,,TAS,Item 130,0.765,1.865,"Item 130(b)(i): Norwood IGA GLA 1500sqm + GP Norwood Medical Centre within 0.24km, nearest pharmacy 1.865km",Norwood IGA,"Norwood IGA, TAS, Australia",supermarket,1500.0,iga,365.0
-17.898397,146.092259,4852,4852,NSW,Item 130,0.76,2.335,"Item 130(b)(ii): Woolworths GLA 3500sqm ≥2500sqm, nearest pharmacy 2.335km (margin +835m)",Woolworths,"38-40, Dickinson Street, Wongaling Beach, 4852, NSW, Australia",supermarket,3500,woolworths,835.0
-27.664038,152.849626,4301,4301,NSW,Item 130,0.76,2.11,"Item 130(b)(ii): Woolworths GLA 3500sqm ≥2500sqm, nearest pharmacy 2.11km (margin +610m)",Woolworths,"171-191, School Road, Redbank Plains, 4301, NSW, Australia",supermarket,3500,woolworths,610.0
-31.849259,115.967826,6055,6055,NSW,Item 130,0.76,2.035,"Item 130(b)(ii): Woolworths GLA 3500sqm ≥2500sqm, nearest pharmacy 2.035km (margin +535m)",Woolworths,"29 Repton Street, Dayton, 6055, NSW, Australia",supermarket,3500,woolworths,535.0
-38.330127,144.987462,HIGHWAY,,VIC,Item 130,0.75,1.68,"Item 130(b)(ii): ALDI GLA 3994sqm ≥2500sqm, nearest pharmacy 1.68km (margin +180m)",ALDI,"120, Nepean Highway, VIC, Australia",supermarket,3993.6,aldi,180.0
