lat,lon,suburb,postcode,state,rule_item,confidence,nearest_pharmacy_km,reason,name,address,source_type,population,osrm_verified
-31.495209,159.0704,,,NSW,Item 131,0.6,999,No pharmacy found in database,SA1 10803116101,,census_sa1,445,False
-17.944941,138.829638,,,QLD,Item 131,0.6,999,No pharmacy found in database,SA1 31502140407,,census_sa1,1387,False
-24.410393,140.795366,,,QLD,Item 131,0.6,999,No pharmacy found in database,SA1 31503141008,,census_sa1,266,False
-26.154766,131.145881,,,SA,Item 131,0.6,999,No pharmacy found in database,SA1 40602113812,,census_sa1,393,False
-26.285779,132.132839,,,SA,Item 131,0.6,999,No pharmacy found in database,SA1 40602113813,,census_sa1,519,False
-26.777951,132.024202,,,SA,Item 131,0.6,999,No pharmacy found in database,SA1 40602113814,,census_sa1,261,False
-27.030055,132.69779,,,SA,Item 131,0.6,999,No pharmacy found in database,SA1 40602113815,,census_sa1,277,False
-26.965517,133.310224,,,SA,Item 131,0.6,999,No pharmacy found in database,SA1 40602113816,,census_sa1,338,False
-15.117602,124.517605,,,WA,Item 131,0.6,999,No pharmacy found in database,SA1 51001126504,,census_sa1,230,False
-14.300803,126.641761,,,WA,Item 131,0.6,999,No pharmacy found in database,SA1 51001126522,,census_sa1,388,False
-22.006122,121.869028,,,WA,Item 131,0.6,999,No pharmacy found in database,SA1 51002126708,,census_sa1,411,False
-26.146245,126.574706,,,WA,Item 131,0.6,999,No pharmacy found in database,SA1 51103128309,,census_sa1,511,False
-27.21438,123.536261,,,WA,Item 131,0.6,999,No pharmacy found in database,SA1 51103128321,,census_sa1,350,False
-25.352487,131.066118,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70201105003,,census_sa1,296,False
-25.240677,130.989552,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70201105012,,census_sa1,397,False
-24.882597,129.085,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70201105014,,census_sa1,229,False
-21.66199,135.233125,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70201105209,,census_sa1,439,False
-22.650188,130.555454,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70201105302,,census_sa1,251,False
-23.271773,129.389997,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70201105303,,census_sa1,420,False
-23.25907,131.270606,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70201105308,,census_sa1,240,False
-22.261477,131.7924,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70201105401,,census_sa1,740,False
-19.434431,136.392487,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70202105502,,census_sa1,293,False
-17.553492,133.542355,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70202105510,,census_sa1,287,False
-12.053593,134.225984,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70203106103,,census_sa1,2518,False
-12.100354,134.174818,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70203106104,,census_sa1,380,False
-11.663811,133.317576,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70203106107,,census_sa1,301,False
-11.648347,133.388645,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70203106108,,census_sa1,432,False
-16.064392,136.307991,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70205106601,,census_sa1,267,False
-15.501923,136.953931,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70205106602,,census_sa1,392,False
-14.273065,135.722486,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70205106604,,census_sa1,681,False
-15.096,135.784708,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70205106605,,census_sa1,264,False
-14.7279,134.729059,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70205106608,,census_sa1,1088,False
-16.054979,136.304814,,,NT,Item 131,0.6,999,No pharmacy found in database,SA1 70205106613,,census_sa1,202,False
-12.118834,96.898389,,,,Item 131,0.6,999,No pharmacy found in database,SA1 90102100201,,census_sa1,432,False
-25.021971,121.783473,,,WA,Item 131,0.6,389.529,"Nearest pharmacy Boulevard Pharmacy is 278.2km geodesic (~389.5km by road), pop=250",SA1 51104129004,,census_sa1,250,False
-21.256187,132.615325,,,NT,Item 131,0.6,339.815,"Nearest pharmacy United Chemist - Tennant Creek is 242.7km geodesic (~339.8km by road), pop=222",SA1 70201105403,,census_sa1,222,False
-18.454752,143.305377,,,QLD,Item 131,0.6,335.833,"Nearest pharmacy Dimbulah Chemist is 239.9km geodesic (~335.8km by road), pop=245",SA1 31501139702,,census_sa1,245,False
-11.146823,132.571382,,,NT,Item 131,0.6,313.067,"Nearest pharmacy Howard Springs Pharmacy is 223.6km geodesic (~313.1km by road), pop=265",SA1 70203106102,,census_sa1,265,False
-25.39457,132.56526,,,NT,Item 131,0.6,311.743,"Nearest pharmacy Territory Pharmacy Alice Springs is 222.7km geodesic (~311.7km by road), pop=202",SA1 70201105013,,census_sa1,202,False
-20.14849,127.979501,,,WA,Item 131,0.6,301.568,"Nearest pharmacy Halls Creek Pharmacy is 215.4km geodesic (~301.6km by road), pop=472",SA1 51001126407,,census_sa1,472,False
-15.222533,134.08455,,,NT,Item 131,0.6,298.079,"Nearest pharmacy Pharmasave Katherine Pharmacy is 212.9km geodesic (~298.1km by road), pop=650",SA1 70205106606,,census_sa1,650,False
-12.334039,133.04035,,,NT,Item 131,0.6,297.462,"Nearest pharmacy Amcal Pharmacy - Humpty Doo is 212.5km geodesic (~297.5km by road), pop=1153",SA1 70203106101,,census_sa1,1153,False
-23.157478,135.848582,,,NT,Item 131,0.6,293.429,"Nearest pharmacy Priceline Pharmacy Alice Springs is 209.6km geodesic (~293.4km by road), pop=294",SA1 70201105215,,census_sa1,294,False
-25.604443,142.501418,,,QLD,Item 131,0.6,293.023,"Nearest pharmacy Quilpie Pharmacy is 209.3km geodesic (~293.0km by road), pop=308",SA1 31503141007,,census_sa1,308,False
-18.290437,143.545853,,,QLD,Item 131,0.6,292.093,"Nearest pharmacy Dimbulah Chemist is 208.6km geodesic (~292.1km by road), pop=222",SA1 31501139701,,census_sa1,222,False
-9.949217,144.03793,,,QLD,Item 131,0.6,291.703,"Nearest pharmacy Bamaga Pharmacy is 208.4km geodesic (~291.7km by road), pop=406",SA1 31501140205,,census_sa1,406,False
-23.203123,131.913449,,,NT,Item 131,0.6,290.187,"Nearest pharmacy Northside Pharmacy NT is 207.3km geodesic (~290.2km by road), pop=438",SA1 70201105305,,census_sa1,438,False
-13.946497,143.200278,,,QLD,Item 131,0.6,286.62,"Nearest pharmacy LiveLife Pharmacy Weipa is 204.7km geodesic (~286.6km by road), pop=279",SA1 31501139616,,census_sa1,279,False
-17.798001,134.211781,,,NT,Item 131,0.6,285.998,"Nearest pharmacy United Chemist - Tennant Creek is 204.3km geodesic (~286.0km by road), pop=225",SA1 70202105501,,census_sa1,225,False
-9.585981,143.771784,,,QLD,Item 131,0.6,284.039,"Nearest pharmacy Thursday Island Pharmacy is 202.9km geodesic (~284.0km by road), pop=326",SA1 31501140204,,census_sa1,326,False
-14.024193,136.452992,,,NT,Item 131,0.6,281.877,"Nearest pharmacy Gunyangara Health Centre is 201.3km geodesic (~281.9km by road), pop=308",SA1 70204106209,,census_sa1,308,False
-16.662639,139.17836,,,QLD,Item 131,0.6,278.298,"Nearest pharmacy Karumba Pharmacy is 198.8km geodesic (~278.3km by road), pop=1022",SA1 31502140402,,census_sa1,1022,False
-13.97858,136.460307,,,NT,Item 131,0.6,274.727,"Nearest pharmacy Gunyangara Health Centre is 196.2km geodesic (~274.7km by road), pop=883",SA1 70204106205,,census_sa1,883,False
-12.103531,134.920924,,,NT,Item 131,0.6,272.223,"Nearest pharmacy Gunyangara Health Centre is 194.4km geodesic (~272.2km by road), pop=1097",SA1 70204106305,,census_sa1,1097,False
-12.343991,134.931185,,,NT,Item 131,0.6,270.602,"Nearest pharmacy Gunyangara Health Centre is 193.3km geodesic (~270.6km by road), pop=814",SA1 70204106318,,census_sa1,814,False
-12.674113,132.839705,,,NT,Item 131,0.6,264.86,"Nearest pharmacy Amcal Pharmacy - Humpty Doo is 189.2km geodesic (~264.9km by road), pop=281",SA1 70203105705,,census_sa1,281,False
-18.713202,144.161654,,,QLD,Item 131,0.6,260.131,"Nearest pharmacy RAVENSHOE PHARMACY is 185.8km geodesic (~260.1km by road), pop=251",SA1 31501139703,,census_sa1,251,False
-31.4859,131.860391,,,SA,Item 131,0.6,259.635,"Nearest pharmacy Caversham 7 Day Pharmacy is 185.5km geodesic (~259.6km by road), pop=302",SA1 40601113410,,census_sa1,302,False
-14.257647,129.52399,,,NT,Item 131,0.6,257.881,"Nearest pharmacy Timber Creek Health Centre is 184.2km geodesic (~257.9km by road), pop=1924",SA1 70203105901,,census_sa1,1924,False
