osm_id,name,brand,brand_classified,lat,lon,area_sqm,address,operator,source
way/5078930,Woolworths,Woolworths,woolworths,-37.769783,144.960089,3996.7,,Woolworths Group,way
way/15773787,Coles,Coles,coles,-27.538614,152.982794,3128.5,632 Oxley Road,Coles Group,way
way/17503509,Coles,Coles,coles,-27.424183,152.999667,4876.0,"34 South Pine Road, Alderley, QLD, 4051",Coles Group,way
way/19390502,SUPA IGA,IGA,iga,-33.891096,151.136841,2513.8,"1-11 Hardie Avenue, Summer Hill, NSW, 2130",Romeos,way
way/23201122,IGA,IGA,iga,-37.744263,144.908636,1907.4,,,way
way/23707239,Coles,Coles,coles,-33.688164,151.106759,3614.9,1 Wattle Street,Coles Group,way
way/23965085,Woolworths Metro,Woolworths Metro,woolworths,-27.392644,153.011656,1911.3,734 Rode Road,Woolworths Group,way
way/24263356,Woolworths,Woolworths,woolworths,-33.951537,151.012871,4437.8,"60 Marco Avenue, Revesby, NSW, 2212",,way
way/24530389,Woolworths,Woolworths,woolworths,-27.643808,153.116622,3757.0,,Woolworths Group,way
way/24984731,Woolworths,Woolworths,woolworths,-27.269539,152.975648,2972.5,,Woolworths Group,way
way/25505345,Woolworths,Woolworths,woolworths,-27.351056,153.048897,3774.8,,Woolworths Group,way
way/25635449,Nguyen Phat,,independent,-31.838677,115.838527,2806.0,,,way
way/25668840,Coles,Coles,coles,-34.963086,138.554026,2196.4,Marion Road,Coles Group,way
way/25717450,Woolworths,Woolworths,woolworths,-37.767569,144.921459,4546.1,"13 Pratt Street, Moonee Ponds, VIC, 3039",Woolworths Group,way
way/25797855,Coles Local,Coles,coles,-37.793016,145.064486,2187.9,"1-9 Doncaster Road, Balwyn North, VIC, 3104",Coles Group,way
way/26210739,Woolworths,Woolworths,woolworths,-33.84183,151.009393,4311.7,,Woolworths Group,way
way/26585550,Woolworths,Woolworths,woolworths,-37.743757,144.963775,3022.9,,Woolworths Group,way
way/26808662,Maxi IGA,IGA,iga,-37.066363,144.218553,3707.2,"Castlemaine, VIC, 3450",IGA,way
way/27327200,Woolworths,Woolworths,woolworths,-33.832101,151.223463,3260.6,,Woolworths Group,way
way/27370878,Woolworths,Woolworths,woolworths,-37.738166,144.892763,3353.7,,Woolworths Group,way
way/27615116,Woolworths,Woolworths,woolworths,-42.895329,147.325693,4823.0,,Woolworths Group,way
way/27615124,Coles,Coles,coles,-42.896044,147.328798,1886.6,"246 Sandy Bay Road, Sandy Bay, TAS, 7005",Coles Group,way
way/27986149,KT Mart,,independent,-37.804275,144.959078,317.9,"600-608 Elizabeth Street, Melbourne, VIC, 3000",,way
way/28296634,Woolworths,Woolworths,woolworths,-37.751268,145.003574,4231.3,"50 Plenty Road, Preston, 3072",Woolworths Group,way
way/28681037,Coles,Coles,coles,-27.465687,153.013313,3418.4,61 Petrie Terrace,Coles Group,way
way/28693982,ALDI,ALDI,aldi,-38.450673,145.238383,1751.4,68-80 Thompson Avenue,,way
way/29495131,Gaganis Bros,,independent,-34.906282,138.566062,5078.1,Bacon Street,Gaganis Bros,way
way/30753389,Woolworths,Woolworths,woolworths,-35.349596,149.233452,4326.3,,Woolworths Group,way
way/30753390,ALDI,ALDI,aldi,-35.349176,149.232012,1800.4,"136 Crawford Street, Queanbeyan, NSW, 2620",,way
way/30925783,ALDI,ALDI,aldi,-38.034615,145.284237,1892.9,400 Pound Road,,way
way/32052482,InStyle,,independent,-32.070833,115.757418,3066.6,,,way
way/32079895,Woolworths,Woolworths,woolworths,-37.889339,145.293726,4136.2,"1038-1042 Burwood Highway, Ferntree Gully, VIC, 3156",Woolworths Group,way
way/32197969,Woolworths,Woolworths,woolworths,-35.106403,147.368689,3001.0,,Woolworths Group,way
way/32742446,Woolworths,Woolworths,woolworths,-38.109209,145.126566,3512.5,166-175 Nepean Highway,Woolworths Group,way
way/32742473,ALDI,ALDI,aldi,-38.1103,145.161094,1853.9,493 Frankston-Dandenong Road,,way
way/32742504,Ritchies IGA,Ritchies,iga,-38.147255,145.144701,1042.3,"207–213 Beach Street, Frankston, 3199",IGA,way
way/32829722,Coles,Coles,coles,-27.615281,152.76164,6748.5,"44 Brisbane Street, Ipswich, QLD, 4305",Coles Group,way
way/32875500,Ritchies IGA,,iga,-37.932738,145.439985,1946.2,342 Belgrave - Gembrook Road,,way
way/32929351,Woolworths,Woolworths,woolworths,-27.17262,152.937683,3344.6,,Woolworths Group,way
way/33069545,Woolworths,Woolworths,woolworths,-38.309075,145.191,3522.2,"23 Victoria Street, Hastings, VIC, 3915",Woolworths Group,way
way/33113625,5Star Supermarket,,independent,-27.374367,153.07778,556.2,,,way
way/33113627,Banyo Supermarket,,independent,-27.375281,153.078238,695.8,,,way
way/33428173,Punjab Asian Foods & Spices,,independent,-27.375639,153.077672,118.7,,,way
way/33840185,Coles,Coles,coles,-37.772396,144.9489,2421.2,190 Union Street,Coles Group,way
way/35832271,Coles,Coles,coles,-34.479928,150.419289,6144.1,33 Bendooley Street,,way
way/35979313,IGA,IGA,iga,-36.615531,143.256925,1730.4,,,way
way/36203288,ALDI,ALDI,aldi,-34.482072,150.415738,1531.9,"9-15 Banyette Street, Bowral, NSW, 2576",,way
way/36985930,Aldi,Aldi,aldi,-27.334863,153.009451,1866.6,"1905 Gympie Road, Bald Hills, QLD, 4036",,way
way/37320016,Woolworths,Woolworths,woolworths,-37.837517,145.184565,3668.3,2A Stevens Road,Woolworths Group,way
way/37413372,Woolworths,Woolworths,woolworths,-35.250068,149.138561,2953.0,,Woolworths Group,way
way/37446197,Aldi,Aldi,aldi,-38.174083,144.344348,1727.1,"149-151 High Street, Belmont, VIC, 3216",,way
way/38133869,Woolworths,Woolworths,woolworths,-37.888881,145.041176,2605.1,,Woolworths Group,way
way/38225804,Coles,Coles,coles,-37.917545,145.038466,2264.4,4-6 Bent Street,Coles Group,way
way/38313264,Woolworths,Woolworths,woolworths,-37.831003,144.930571,13860.2,481 Plummer Street,Woolworths Group,way
way/38341438,Leo's Fine Food & Wine,,independent,-37.806253,145.029318,1516.9,"26 Princess Street, Kew, VIC, 3101",Le Max Group Supermarkets,way
way/39024236,Aldi,Aldi,aldi,-35.221262,149.019446,1484.1,50-60 Hardwick Crescent,,way
way/39093690,Coles,Coles,coles,-35.008756,138.539681,4147.0,240 Diagonal Road,Coles Group,way
way/39107768,Friendly Grocers,,friendly_grocer,-26.622287,152.940449,146.5,125 Nambour Mapleton Road,,way
way/39581668,Woolworths,Woolworths,woolworths,-37.98155,145.062495,2577.3,,Woolworths Group,way
way/39581680,Coles,Coles,coles,-37.984119,145.064368,2700.2,81-93 Mentone Parade,Coles Group,way
way/39738264,Aldi,Aldi,aldi,-27.444134,153.007768,1654.3,"329-345 Kelvin Grove Road, Kelvin Grove",ALDI,way
way/41654970,Woolworths,Woolworths,woolworths,-37.852831,145.134431,3059.5,,,way
way/41694506,ALDI,ALDI,aldi,-33.766296,151.267399,1643.0,3-5 Cross Street,,way
way/41889132,IGA,IGA,iga,-37.062974,144.216921,789.4,,,way
way/42245024,Foodland,Foodland,foodland,-34.9792,138.590807,2773.1,,,way
way/42387687,Woolworths,Woolworths,woolworths,-37.934652,145.038871,3410.1,,Woolworths Group,way
way/43546930,Woolworths,Woolworths,woolworths,-38.476434,145.944172,3064.3,,,way
way/43546931,Michael's Supa IGA,IGA,iga,-38.478568,145.945767,2648.0,,,way
way/43594187,Woolworths,Woolworths,woolworths,-38.604584,145.589589,4448.6,22-40 Murray Street,Woolworths Group,way
way/45231460,Woolworths,Woolworths,woolworths,-38.054362,145.115921,3340.1,,Woolworths Group,way
way/46854047,Ritchies IGA + Liquor,Ritchies,iga,-37.742144,142.022717,1484.2,,,way
way/46946544,Vietnamese Pho Ever,,independent,-27.378123,153.070818,435.7,"66 Blinzinger Road, Banyo, 4014",,way
way/47078785,,,independent,-31.942958,115.820243,1359.1,,,way
way/47245867,Canaipa Shopping Centre,,independent,-27.648338,153.381346,2291.0,,,way
way/47325081,Woolworths,Woolworths,woolworths,-41.525157,146.652037,3056.4,,,way
way/47435394,IGA,IGA,iga,-32.011451,115.850454,1574.4,,,way
way/48274982,Champions IGA Grovedale East,,iga,-38.196749,144.347273,2162.6,"142-146 Marshalltown Road, 3216",,way
way/48536401,Supa IGA,,iga,-31.890906,116.003953,1824.7,38 Victoria Street,,way
way/48785247,The Good Grocer,,independent,-32.010822,115.834443,627.9,"39 Ardross Street, Applecross, WA, 6153",,way
way/48984761,ALDI,ALDI,aldi,-37.887345,144.607171,1573.9,209 Greens Road,,way
way/49238806,IGA,IGA,iga,-37.859375,145.240868,580.9,"191-195 Stud Road, Wantirna South, VIC, 3152",,way
way/49742215,Woolworths,Woolworths,woolworths,-37.704794,145.100172,4156.4,,Woolworths Group,way
way/50194337,ALDI,ALDI,aldi,-36.383716,145.398232,1791.7,428 Wyndham Street,,way
way/50876965,IGA,IGA,iga,-27.33431,152.95609,843.6,,,way
way/51051537,Ritchies IGA,Ritchies,iga,-38.163252,145.137707,1120.5,,,way
way/51469190,Woolworths,Woolworths,woolworths,-36.766925,144.26523,3565.2,"234-246 High Street, 3555",Woolworths Group,way
