Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Warnings,Region,Date Scanned
-35.3402,149.1031,"4, Gilmore Crescent, Garran, District of Woden Valley, Australian Capital Territory, 2605, Australia",Item 136,"Medical centre 'Garran Medical Centre' — 8 GPs (6.4 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 475 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.48,Capital Chemist Garran,Garran Medical Centre,medical_centre,,ACT,2026-02-14T21:56:44.854644
-35.2341,149.0178,"Pegasus, Macnaughton Street, Holt, District of Belconnen, Australian Capital Territory, 2615, Australia",Item 136,"Medical centre 'Kippax Medical Centre' — 8 GPs (6.4 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 892 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.89,TerryWhite Chemmart,Kippax Medical Centre,medical_centre,,ACT,2026-02-14T21:56:44.855643
-35.345,149.0865,"Bowes Street, Phillip, District of Woden Valley, Australian Capital Territory, 2606, Australia",Item 132,"Major shopping centre 'Westfield Woden' (GLA 56,000 sqm, est. 200 tenants) with no pharmacy within 200 m. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",85%,0.21,Priceline Pharmacy Woden,Westfield Woden,shopping_centre,,ACT,2026-02-14T21:56:44.856643
-35.278697,149.1339388,"Petrie Street, City, North Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia",Item 133,"Supermarket 'Aldi' (est. GLA 1,650 sqm, brand: aldi) with no adjacent pharmacy (nearest 118 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 105 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,0.11,The Pharmacy on Bunda,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,ACT,2026-02-14T21:56:44.857643
-35.4178762,149.0689186,"Aldi, 0, Anketell Street, Greenway, District of Tuggeranong, Australian Capital Territory, 2900, Australia",Item 133,"Supermarket 'Aldi' (est. GLA 1,650 sqm, brand: aldi) with no adjacent pharmacy (nearest 196 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,0.20,Capital Chemist Tuggeranong Square,Aldi,supermarket,Pharmacy must NOT be directly accessible from supermarket,ACT,2026-02-14T21:56:44.858643
-35.4147922,149.1291264,"Aldi, 36, Benham Street, Chisholm, District of Tuggeranong, Australian Capital Territory, 2905, Australia",Item 133,"Supermarket 'Aldi' (est. GLA 1,650 sqm, brand: aldi) with no adjacent pharmacy (nearest 120 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,0.12,Capital Chemist Chisholm,Aldi,supermarket,Pharmacy must NOT be directly accessible from supermarket,ACT,2026-02-14T21:56:44.859643
-35.29491495,149.18960420000002,"Mustang Avenue, Canberra, Australian Capital Territory, 2609, Australia","Item 133, Item 134","Supermarket 'Harris Farm Markets' (est. GLA 2,500 sqm, brand: harris_farm) with no adjacent pharmacy (nearest 353 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Shopping centre 'EG Australia' (GLA 5,000 sqm, est. 20 tenants) with supermarket but no pharmacy. Large supermarket present but only 20 est. tenants (needs 50+)",70%,0.35,Chemist Warehouse Majura Park SC,Harris Farm Markets,supermarket,Pharmacy must NOT be directly accessible from supermarket,ACT,2026-02-14T21:56:44.861644
-35.2212222,149.0194563,"Aldi, 50-60, Hardwick Crescent, Holt, District of Belconnen, Australian Capital Territory, 2615, Australia",Item 133,"Supermarket 'Aldi' (est. GLA 1,650 sqm, brand: aldi) with no adjacent pharmacy (nearest 139 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,0.14,Kippax Pharmacy,Aldi,supermarket,Pharmacy must NOT be directly accessible from supermarket,ACT,2026-02-14T21:56:44.862643
-35.4566612,149.0936926,"Aldi, 9, Sidney Nolan Street, Conder, District of Tuggeranong, Australian Capital Territory, 2906, Australia",Item 133,"Supermarket 'Aldi' (est. GLA 1,650 sqm, brand: aldi) with no adjacent pharmacy (nearest 127 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,0.13,Lanyon Pharmacy,Aldi,supermarket,Pharmacy must NOT be directly accessible from supermarket,ACT,2026-02-14T21:56:44.863643
-35.183099,149.0985694,"Nicholls IGA, Paisley Street, Nicholls, District of Gungahlin, Australian Capital Territory, 2913, Australia",Item 133,"Supermarket 'Nicholls IGA' (est. GLA 1,500 sqm, brand: iga) with no adjacent pharmacy (nearest 990 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",65%,0.99,Priceline Pharmacy Casey,Nicholls IGA,supermarket,Pharmacy must NOT be directly accessible from supermarket,ACT,2026-02-14T21:56:44.864643
