Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Warnings,Region,Date Scanned
-32.96105,151.69175,"Griffiths Street, Charlestown, Newcastle-Maitland, City of Lake Macquarie, New South Wales, 2290, Australia","Item 132, Item 136","Major shopping centre 'Charlestown Square' (GLA 77,000 sqm, est. 427 tenants) with no pharmacy within 200 m. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment. | Medical centre 'Lake Macquarie Medical Centre' — 10 GPs (8.0 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 308 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.31,Charlestown Pharmacy,Lake Macquarie Medical Centre,medical_centre,,NSW,2026-02-14T22:03:57.859501
-33.419533599999994,149.57959584999998,"Russell Street, Bathurst, Bathurst Regional Council, New South Wales, 2795, Australia","Item 133, Item 136","Supermarket 'Aldi' (est. GLA 1,650 sqm, brand: aldi) with no adjacent pharmacy (nearest 196 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Medical centre 'Bathurst Medical Centre' — 8 GPs (6.4 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 306 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.31,Moodie's Pharmacy,Bathurst Medical Centre,medical_centre,,NSW,2026-02-14T22:03:57.860501
-37.7474,144.816,"49, Novara Parade, St Albans South, St Albans, Melbourne, City of Brimbank, Victoria, 3021, Australia",Item 136,"Medical centre 'Sunshine Hospital Medical Centre' — 15 GPs (12.0 est. FTE), open 72hrs/wk (meets 70hr requirement) — nearest pharmacy 1.32 km [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,1.32,Thao Nguyen Pharmacy - St Albans,Sunshine Hospital Medical Centre,medical_centre,,NSW,2026-02-14T22:03:57.861501
-33.9672,151.0986,"Rosebank Crescent, Hurstville, St George, Sydney, Georges River Council, New South Wales, 2220, Australia",Item 136,"Medical centre 'Hurstville Medical Centre' — 10 GPs (8.0 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 367 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.37,Forest Pharmacy,Hurstville Medical Centre,medical_centre,,NSW,2026-02-14T22:03:57.862501
-37.8978,144.6629,"18-20, Glen Street, Werribee, Melbourne, City of Wyndham, Victoria, 3030, Australia",Item 136,"Medical centre 'Werribee Medical Centre' — 10 GPs (8.0 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 318 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.32,Minh Ha Pharmacist Advice,Werribee Medical Centre,medical_centre,,NSW,2026-02-14T22:03:57.863501
-37.6006,144.9464,"10, Export Road, Craigieburn, Melbourne, City of Hume, Victoria, 3064, Australia",Item 136,"Medical centre 'Craigieburn Medical Centre' — 10 GPs (8.0 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 543 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.54,Priceline Pharmacy Craigieburn,Craigieburn Medical Centre,medical_centre,,NSW,2026-02-14T22:03:57.865501
-27.9665,153.3982,"Ewan Street, Southport, Gold Coast City, Queensland, 4215, Australia",Item 136,"Medical centre 'SmartClinics Southport' — 12 GPs (9.6 est. FTE), open 84hrs/wk (meets 70hr requirement) — nearest pharmacy 1.00 km [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,1.00,Southport Pharmacy,SmartClinics Southport,medical_centre,,NSW,2026-02-14T22:03:57.866502
-27.9671,153.401,"West King Lane, Southport, Gold Coast City, Queensland, 4215, Australia",Item 136,"Medical centre 'Gold Coast Medical Centre' — 12 GPs (9.6 est. FTE), open 84hrs/wk (meets 70hr requirement) — nearest pharmacy 829 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.83,Southport Chempro Chemist,Gold Coast Medical Centre,medical_centre,,NSW,2026-02-14T22:03:57.867501
-37.6492,145.0259,"High Street, Epping, Melbourne, City of Whittlesea, Victoria, 3076, Australia",Item 136,"Medical centre 'IPN Medical Centre Epping' — 10 GPs (8.0 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 565 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.57,Chemist Warehouse Epping Homelife Centre,IPN Medical Centre Epping,medical_centre,,NSW,2026-02-14T22:03:57.868502
-33.879,151.0928,"The Boulevarde at Woodward Av, The Boulevarde, Strathfield, Inner West, Sydney, Strathfield Municipal Council, New South Wales, 2135, Australia",Item 136,"Medical centre 'Strathfield Medical Centre' — 9 GPs (7.2 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 510 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.51,Discount Chemist,Strathfield Medical Centre,medical_centre,,NSW,2026-02-14T22:03:57.869501
