Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Warnings,Region,Date Scanned
-35.013450000000006,138.55534999999998,"Township Road, Marion, Adelaide, City of Marion, South Australia, 5043, Australia","Item 132, Item 136","Major shopping centre 'Westfield Marion' (GLA 105,000 sqm, est. 300 tenants) with no pharmacy within 200 m. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment. | Medical centre 'Marion Medical Centre' — 10 GPs (8.0 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 870 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.87,Mitchell Park Pharmacy,Marion Medical Centre,medical_centre,,SA,2026-02-14T21:58:34.814663
-34.9285,138.6017,"Wakefield House, 30, Wakefield Street, Adelaide, Adelaide City Council, South Australia, 5000, Australia",Item 136,"Medical centre 'Adelaide Medical Centre' — 12 GPs (9.6 est. FTE), open 72hrs/wk (meets 70hr requirement) — nearest pharmacy 356 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.36,Centre Pharmacy,Adelaide Medical Centre,medical_centre,,SA,2026-02-14T21:58:34.815663
-34.9263,138.6038,"Wilson Parking, Stockley Alley, Adelaide, Adelaide City Council, South Australia, 5000, Australia",Item 136,"Medical centre 'SmartClinics Adelaide' — 12 GPs (9.6 est. FTE), open 84hrs/wk (meets 70hr requirement) — nearest pharmacy 335 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.34,TerryWhite Chemmart Rundle Place,SmartClinics Adelaide,medical_centre,,SA,2026-02-14T21:58:34.816663
-34.7286,138.6696,"Harvey Road, Elizabeth, Adelaide, City of Playford, South Australia, 5112, Australia",Item 136,"Medical centre 'Elizabeth Medical Centre' — 10 GPs (8.0 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 607 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.61,Chemist Warehouse Elizabeth,Elizabeth Medical Centre,medical_centre,,SA,2026-02-14T21:58:34.817664
-35.1399,138.5122,"Naples Street, Hackham West, Adelaide, City of Onkaparinga, South Australia, 5163, Australia",Item 136,"Medical centre 'Noarlunga Medical Centre' — 10 GPs (8.0 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 955 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.96,Huntfield Heights Pharmacy,Noarlunga Medical Centre,medical_centre,,SA,2026-02-14T21:58:34.819664
-34.8839,138.5974,"Alpha Road, Prospect, Adelaide, City of Prospect, South Australia, 5082, Australia",Item 136,"Medical centre 'Prospect Medical Centre' — 9 GPs (7.2 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 318 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.32,Star Discount Chemist Prospect,Prospect Medical Centre,medical_centre,,SA,2026-02-14T21:58:34.820664
-35.1272,138.5249,"Wheatsheaf Road, Morphett Vale, Adelaide, City of Onkaparinga, South Australia, 5162, Australia",Item 136,"Medical centre 'Morphett Vale Medical Centre' — 9 GPs (7.2 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 456 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.46,Star Discount Chemist Morphett Vale Southbound,Morphett Vale Medical Centre,medical_centre,,SA,2026-02-14T21:58:34.821663
-34.8746,138.5371,"42, Actil Avenue South, St Clair, Adelaide, City of Charles Sturt, South Australia, 5011, Australia",Item 136,"Medical centre 'Woodville Medical Centre' — 8 GPs (6.4 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 738 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.74,TerryWhite Chemmart,Woodville Medical Centre,medical_centre,,SA,2026-02-14T21:58:34.822663
-34.9479,138.5977,"Simpson Parade, Wayville, Adelaide, City of Unley, South Australia, 5034, Australia",Item 136,"Medical centre 'Unley Medical Centre' — 8 GPs (6.4 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 532 m [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,0.53,Chemist King Discount Pharmacy,Unley Medical Centre,medical_centre,,SA,2026-02-14T21:58:34.823663
-27.3038059,133.622864,"Marla Roadhouse, Wattle Street, Marla, Pastoral Unincorporated Area, South Australia, 5724, Australia","Item 131, Item 134A","Near 'Marla Roadhouse' (supermarket); straight-line 220.05 km, est. route 286.07 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Marla Roadhouse' (supermarket) is 220.05 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,220.05,Coober Pedy Pharmacy,Marla Roadhouse,supermarket,Pharmacy must NOT be directly accessible from supermarket,SA,2026-02-14T21:58:34.824663
