Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned
-42.8704,147.3579,"Rosny Hill Lookout, Rosny Lookout Road, Rosny, Hobart, City of Clarence, Tasmania, 7018, Australia",Item 132,"Major shopping centre 'Eastlands Shopping Centre' (GLA 22,000 sqm) with no pharmacy within 200 m",85%,0.92,Bellerive Quay Pharmacy,Eastlands Shopping Centre,shopping_centre,TAS,2026-02-14T15:13:57.659251
-42.9768,147.3057,"14, Maranoa Road, Kingston Park, Kingston, Kingborough, Tasmania, 7050, Australia",Item 132,"Major shopping centre 'Channel Court Shopping Centre' (GLA 16,000 sqm) with no pharmacy within 200 m",85%,0.34,Priceline Pharmacy Kingston,Channel Court Shopping Centre,shopping_centre,TAS,2026-02-14T15:13:57.660251
-42.126071525,148.290322925,"Coles Bay Convenience, 3, Garnet Avenue, Coles Bay, Glamorgan-Spring Bay, Tasmania, 7215, Australia","Item 130, Item 131, Item 133, Item 134","Supermarket 'Coles Bay Convenience' (3000 sqm) is 17.79 km from nearest pharmacy | Near 'Coles Bay Convenience' (supermarket); straight-line 17.79 km, est. route 23.13 km from nearest pharmacy | Supermarket 'Coles Bay Convenience' (3,000 sqm) with no adjacent pharmacy (nearest 17.79 km) | Shopping centre 'Freycinet Rentals' (GLA 5,000 sqm) with supermarket but no pharmacy",80%,17.79,Swansea Pharmacy,Coles Bay Convenience,supermarket,TAS,2026-02-14T15:13:57.661251
-41.0546,145.9117,"Port Road, Burnie Port, Burnie, City of Burnie, Tasmania, 7320, Australia",Item 135,Hospital 'North West Regional Hospital' (160 beds) with no adjacent pharmacy (nearest 492 m),80%,0.49,Bolands Pharmacy,North West Regional Hospital,hospital,TAS,2026-02-14T15:13:57.662251
-41.2372,146.413,"George Street, Latrobe, Tasmania, 7307, Australia",Item 135,Hospital 'Mersey Community Hospital' (115 beds) with no adjacent pharmacy (nearest 517 m),80%,0.52,TerryWhite Chemmart Latrobe,Mersey Community Hospital,hospital,TAS,2026-02-14T15:13:57.663251
-42.8944,147.3212,"Greenlands Apartments, 15, Greenlands Avenue, Sandy Bay, Hobart, City of Hobart, Tasmania, 7005, Australia",Item 135,Hospital 'Hobart Private Hospital' (118 beds) with no adjacent pharmacy (nearest 380 m),80%,0.38,Davey Street Discount Pharmacy,Hobart Private Hospital,hospital,TAS,2026-02-14T15:13:57.664251
-41.4547332,147.1761331,"Norwood IGA, Norwood Avenue, Norwood, Launceston, City of Launceston, Tasmania, 7250, Australia","Item 130, Item 133","Supermarket 'Norwood IGA' (1200 sqm) + GP 'Norwood Medical Centre' (1.0 FTE) within 500 m; 1.86 km from nearest pharmacy | Supermarket 'Norwood IGA' (1,200 sqm) with no adjacent pharmacy (nearest 1.86 km)",75%,1.86,Slade Pharmacy Kings Meadows,Norwood IGA,supermarket,TAS,2026-02-14T15:13:57.666252
-41.456382,147.17792,"Norwood Medical Centre, Dapple Street, Norwood, Launceston, City of Launceston, Tasmania, 7250, Australia",Item 130,GP 'Norwood Medical Centre' (1.0 FTE) + Supermarket 'Norwood IGA' (1200 sqm) within 500 m; 1.87 km from nearest pharmacy,75%,1.87,Pharmacy and Co Kings Meadows,Norwood Medical Centre,gp,TAS,2026-02-14T15:13:57.667251
-41.1766608,146.3551924,"Coles, 86, Best Street, Devonport, City of Devonport, Tasmania, 7310, Australia",Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 109 m)",75%,0.11,Chemist Discount Centre Devonport,Coles,supermarket,TAS,2026-02-14T15:13:57.668252
-42.734751,147.24324395000002,"Coles, 11, Cove Hill Road, Bridgewater, Hobart, Brighton, Tasmania, 7030, Australia","Item 133, Item 134","Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 303 m) | Shopping centre 'Cove Hill' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.30,Priceline Pharmacy Bridgewater,Coles,supermarket,TAS,2026-02-14T15:13:57.669251
-42.78274725,147.56589225,"Coles, 12, Cole Street, Sorell, Tasmania, 7172, Australia","Item 133, Item 134","Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 261 m) | Shopping centre 'Coles Plaza' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.26,Chemist Warehouse Sorell,Coles,supermarket,TAS,2026-02-14T15:13:57.670251
