Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned
-38.7020259,145.8204444,"Venus Bay General Store, Jupiter Boulevard, Venus Bay First Estate, Venus Bay, Shire of South Gippsland, Victoria, 3956, Australia","Item 131, Item 133","Near 'Venus Bay General Store' (supermarket); route distance 25.66 km from nearest pharmacy (verified via OSRM) | Supermarket 'Venus Bay General Store' (1,500 sqm) with no adjacent pharmacy (nearest 11.03 km)",85%,25.66,TerryWhite Chemmart Inverloch,Venus Bay General Store,supermarket,VIC,2026-02-14T12:23:27.911401
-38.3426959,145.7663866,"Poowong IGA X-Press, Ranceby Road, Poowong, Shire of South Gippsland, Victoria, 3988, Australia","Item 131, Item 133","Near 'Poowong IGA X-Press' (supermarket); route distance 18.13 km from nearest pharmacy (verified via OSRM) | Supermarket 'Poowong IGA X-Press' (1,200 sqm) with no adjacent pharmacy (nearest 11.19 km)",85%,18.13,TerryWhite Chemmart Korumburra,Poowong IGA X-Press,supermarket,VIC,2026-02-14T12:23:27.912473
-36.6307452,142.6307295,"Rupanyup Supermarket, Cromie Street, Rupanyup, Shire of Yarriambiack, Victoria, 3388, Australia","Item 131, Item 133","Near 'Rupanyup Supermarket' (supermarket); route distance 15.04 km from nearest pharmacy (verified via OSRM) | Supermarket 'Rupanyup Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 14.32 km)",85%,15.04,Murtoa Community Pharmacy,Rupanyup Supermarket,supermarket,VIC,2026-02-14T12:23:27.913521
-38.3954714,142.628306,"Allansford Cheese World, 5332, Great Ocean Road, Allansford, Shire of Moyne, Victoria, 3277, Australia","Item 131, Item 133","Near 'Allansford Cheese World' (supermarket); route distance 11.14 km from nearest pharmacy (verified via OSRM) | Supermarket 'Allansford Cheese World' (1,500 sqm) with no adjacent pharmacy (nearest 9.55 km)",85%,11.14,Chemist Warehouse,Allansford Cheese World,supermarket,VIC,2026-02-14T12:23:27.914035
-37.5317711,145.3410385,"Foodmart Kinglake, Whittlesea - Kinglake Road, Kinglake, Shire of Murrindindi, Victoria, 3763, Australia","Item 131, Item 133","Near 'Foodmart Kinglake' (supermarket); route distance 26.13 km from nearest pharmacy (verified via OSRM) | Supermarket 'Foodmart Kinglake' (1,500 sqm) with no adjacent pharmacy (nearest 14.38 km)",85%,26.13,Yarra Glen Pharmacy,Foodmart Kinglake,supermarket,VIC,2026-02-14T12:23:27.915034
-37.965617,144.7066647,"Wyndham Harbour Mini Mart, Quay Boulevard, Wyndham Harbour, Werribee South, Melbourne, City of Wyndham, Victoria, 3030, Australia","Item 131, Item 133","Near 'Wyndham Harbour Mini Mart' (supermarket); route distance 10.28 km from nearest pharmacy (verified via OSRM) | Supermarket 'Wyndham Harbour Mini Mart' (1,500 sqm) with no adjacent pharmacy (nearest 7.74 km)",85%,10.28,Direct Chemist Outlet Featherbrook,Wyndham Harbour Mini Mart,supermarket,VIC,2026-02-14T12:23:27.916588
-38.6657911,146.4369242,"Welshpool Supermarket, Main Street, Welshpool, Shire of South Gippsland, Victoria, 3966, Australia","Item 131, Item 133","Near 'Welshpool Supermarket' (supermarket); route distance 10.70 km from nearest pharmacy (verified via OSRM) | Supermarket 'Welshpool Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 9.80 km)",85%,10.70,Toora Pharmacy,Welshpool Supermarket,supermarket,VIC,2026-02-14T12:23:27.917658
-38.5777296,146.0137354,"IGA Local Grocer and Liquor, Whitelaw Street, Meeniyan, Shire of South Gippsland, Victoria, 3956, Australia","Item 131, Item 133","Near 'IGA Local Grocer and Liquor' (supermarket); route distance 15.95 km from nearest pharmacy (verified via OSRM) | Supermarket 'IGA Local Grocer and Liquor' (1,200 sqm) with no adjacent pharmacy (nearest 12.54 km)",85%,15.95,TerryWhite Chemmart Leongatha,IGA Local Grocer and Liquor,supermarket,VIC,2026-02-14T12:23:27.918745
-38.7004152,145.8680277,"IGA, 39, River Drive, Tarwin Lower, Shire of South Gippsland, Victoria, 3956, Australia","Item 131, Item 133","Near 'IGA' (supermarket); route distance 20.86 km from nearest pharmacy (verified via OSRM) | Supermarket 'IGA' (1,200 sqm) with no adjacent pharmacy (nearest 14.22 km)",85%,20.86,TerryWhite Chemmart Inverloch,IGA,supermarket,VIC,2026-02-14T12:23:27.919697
-36.6366404,142.63177845,"Rupanyup Doctors Surgery, 91, Cromie Street, Rupanyup, Shire of Yarriambiack, Victoria, 3388, Australia",Item 131,Near 'Rupanyup Doctors Surgery' (gp); route distance 15.93 km from nearest pharmacy (verified via OSRM) | Near 'Rupanyup Hospital & Nursing Home' (hospital); route distance 16.05 km from nearest pharmacy (verified via OSRM),85%,15.93,Murtoa Community Pharmacy,Rupanyup Doctors Surgery,gp,VIC,2026-02-14T12:23:27.920697
-38.2420198,144.1748634,"Moriac Medical Centre, 806, Hendy Main Road, Moriac, Surf Coast Shire, Victoria, 3240, Australia",Item 131,Near 'Moriac Medical Centre' (gp); route distance 15.68 km from nearest pharmacy (verified via OSRM),85%,15.68,Slade Pharmacy Waurn Ponds,Moriac Medical Centre,gp,VIC,2026-02-14T12:23:27.922297
-38.3098264,142.6416732,"Kirrae Health Service, 1, Kirrae Avenue, Framlingham Aboriginal community, Framlingham, Shire of Moyne, Victoria, 3265, Australia",Item 131,Near 'Kirrae Health Service' (gp); route distance 15.72 km from nearest pharmacy (verified via OSRM),85%,15.72,Chemist Warehouse,Kirrae Health Service,gp,VIC,2026-02-14T12:23:27.923346
-37.8864,145.0831,"Seed Heritage, Capital Avenue, Malvern East, Melbourne, City of Stonnington, Victoria, 3145, Australia",Item 132,"Major shopping centre 'Chadstone Shopping Centre' (GLA 212,000 sqm) with no pharmacy within 200 m",85%,0.22,Chemist Warehouse,Chadstone Shopping Centre,shopping_centre,VIC,2026-02-14T12:23:27.923864
-37.8146,145.2307,"Maroondah Highway, Ringwood, Melbourne, City of Maroondah, Victoria, 3134, Australia",Item 132,"Major shopping centre 'Eastland Shopping Centre' (GLA 90,000 sqm) with no pharmacy within 200 m",85%,0.23,Priceline Pharmacy Ringwood,Eastland Shopping Centre,shopping_centre,VIC,2026-02-14T12:23:27.924860
-37.818838516666666,144.95452115,"Liberty Tower, 620, Collins Street, Melbourne, City of Melbourne, Victoria, 3000, Australia","Item 132, Item 133, Item 134","Major shopping centre 'Liberty Tower' (GLA 54,000 sqm) with no pharmacy within 200 m | Supermarket 'Woolworths Metro' (3,000 sqm) with no adjacent pharmacy (nearest 303 m) | Shopping centre 'Holiday Inn Melbourne on Flinders' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'Royale Pizza' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'Japanese Organic Cafe' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'Spicy Korea' (GLA 5,000 sqm) with supermarket but no pharmacy",85%,0.29,Chemist Warehouse Spencer Outlet Centre,Liberty Tower,shopping_centre,VIC,2026-02-14T12:23:27.926582
-37.7971249,145.2569815,"Coles, 434, Maroondah Highway, Burnt Bridge, Croydon, Melbourne, City of Maroondah, Victoria, 3136, Australia","Item 130, Item 133","Supermarket 'Coles' (3000 sqm) is 1.78 km from nearest pharmacy | Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 1.78 km)",80%,1.78,National Pharmacies,Coles,supermarket,VIC,2026-02-14T12:23:27.927099
-37.8757512,144.6145175,"Coles, 8, Manor Lakes Boulevard, Manor Lakes, Melbourne, City of Wyndham, Victoria, 3024, Australia","Item 130, Item 133","Supermarket 'Coles' (3000 sqm) is 3.97 km from nearest pharmacy | Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 3.97 km)",80%,3.97,Direct Chemist Outlet Harpley,Coles,supermarket,VIC,2026-02-14T12:23:27.928934
-38.004827,145.2664991,"Coles, 4, Princes Domain Drive, Hallam, Melbourne, City of Casey, Victoria, 3803, Australia","Item 130, Item 133","Supermarket 'Coles' (3000 sqm) is 1.59 km from nearest pharmacy | Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 1.59 km)",80%,1.59,Direct Chemist Outlet Dandenong South,Coles,supermarket,VIC,2026-02-14T12:23:27.929934
-37.89844503333333,145.23238333333333,"Beacon Lighting, 1391, Ferntree Gully Road, Scoresby, Melbourne, City of Knox, Victoria, 3179, Australia","Item 130, Item 133","Supermarket 'Woolworths' (3000 sqm) is 2.11 km from nearest pharmacy | GP 'Scoresby Medical & Specialist Centre' (1.0 FTE) + Supermarket 'Woolworths' (3000 sqm) within 500 m; 2.07 km from nearest pharmacy | Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 2.11 km)",80%,2.11,Blooms The Chemist Stud Park,Woolworths,supermarket,VIC,2026-02-14T12:23:27.931090
-37.9191,145.1218,"3, Dixon Street, Clayton, Melbourne, City of Monash, Victoria, 3168, Australia",Item 135,Hospital 'Monash Medical Centre' (640 beds) with no adjacent pharmacy (nearest 880 m),80%,0.88,Fultons,Monash Medical Centre,hospital,VIC,2026-02-14T12:23:27.932143
-37.7488,145.0612,,Item 135,Hospital 'Austin Hospital' (400 beds) with no adjacent pharmacy (nearest 674 m),80%,0.67,Rosanna Pharmacy,Austin Hospital,hospital,VIC,2026-02-14T12:23:27.933174
-38.1515,144.3578,,Item 135,Hospital 'Geelong Hospital' (380 beds) with no adjacent pharmacy (nearest 339 m),80%,0.34,Geelong Soul Pattinson Pharmacy,Geelong Hospital,hospital,VIC,2026-02-14T12:23:27.934173
-36.7531,144.2695,,Item 135,Hospital 'Bendigo Hospital' (350 beds) with no adjacent pharmacy (nearest 491 m),80%,0.49,Bendigo UFS View Street,Bendigo Hospital,hospital,VIC,2026-02-14T12:23:27.935616
-37.5508,143.8586,,Item 135,Hospital 'Ballarat Base Hospital' (300 beds) with no adjacent pharmacy (nearest 686 m),80%,0.69,UFS Dispensaries Ballarat (Doveton Street),Ballarat Base Hospital,hospital,VIC,2026-02-14T12:23:27.936656
-37.1461904,146.4489816,,"Item 130, Item 131, Item 133","Supermarket 'Village Grocer' (1500 sqm) + GP 'Mt Buller Medical Centre' (1.0 FTE) within 500 m; 33.47 km from nearest pharmacy | Near 'Village Grocer' (supermarket); straight-line 33.47 km, est. route 43.51 km from nearest pharmacy | Supermarket 'Village Grocer' (1,500 sqm) with no adjacent pharmacy (nearest 33.47 km)",75%,33.47,Mansfield Pharmacy,Village Grocer,supermarket,VIC,2026-02-14T12:23:27.937685
-37.24832768,141.84100078,,"Item 130, Item 131, Item 133","Supermarket 'Balmoral Community Store' (1500 sqm) + GP 'Balmoral Bush Nursing Centre' (1.0 FTE) within 500 m; 53.72 km from nearest pharmacy | GP 'Balmoral Bush Nursing Centre' (1.0 FTE) + Supermarket 'Balmoral Community Store' (1500 sqm) within 500 m; 53.68 km from nearest pharmacy | Near 'Balmoral Community Store' (supermarket); straight-line 53.72 km, est. route 69.83 km from nearest pharmacy | Near 'Balmoral Bush Nursing Centre' (gp); straight-line 53.68 km, est. route 69.78 km from nearest pharmacy | Supermarket 'Balmoral Community Store' (1,500 sqm) with no adjacent pharmacy (nearest 53.72 km)",75%,53.72,Edenhope Pharmacy,Balmoral Community Store,supermarket,VIC,2026-02-14T12:23:27.938701
-37.17761718,143.24775942000002,,"Item 130, Item 131, Item 133","Supermarket 'Smith's Foodland' (1500 sqm) + GP 'Elmhurst Bush Nursing Centre' (1.0 FTE) within 500 m; 22.33 km from nearest pharmacy | GP 'Elmhurst Bush Nursing Centre' (1.0 FTE) + Supermarket 'Smith's Foodland' (1500 sqm) within 500 m; 22.29 km from nearest pharmacy | Near 'Smith's Foodland' (supermarket); straight-line 22.33 km, est. route 29.03 km from nearest pharmacy | Near 'Elmhurst Bush Nursing Centre' (gp); straight-line 22.29 km, est. route 28.97 km from nearest pharmacy | Supermarket 'Smith's Foodland' (1,500 sqm) with no adjacent pharmacy (nearest 22.33 km)",75%,22.33,Avoca Gold Chemist,Smith's Foodland,supermarket,VIC,2026-02-14T12:23:27.940165
-36.9816356,147.1425355,,"Item 130, Item 131, Item 133","Supermarket 'Hotham Supermarket' (1500 sqm) + GP 'Mount Hotham Medical Centre' (1.0 FTE) within 500 m; 26.59 km from nearest pharmacy | Near 'Hotham Supermarket' (supermarket); straight-line 26.59 km, est. route 34.57 km from nearest pharmacy | Supermarket 'Hotham Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 26.59 km)",75%,26.59,Mount Beauty Pharmacy,Hotham Supermarket,supermarket,VIC,2026-02-14T12:23:27.941201
-37.42274336666667,144.56392013333334,,"Item 130, Item 133","Supermarket 'Macedon IGA plus Liquor' (1200 sqm) + GP 'Macedon Chiropractic Dr Anna Kennedy' (1.0 FTE) within 500 m; 7.26 km from nearest pharmacy | GP 'Macedon Chiropractic Dr Anna Kennedy' (1.0 FTE) + Supermarket 'Macedon IGA plus Liquor' (1200 sqm) within 500 m; 7.23 km from nearest pharmacy | Supermarket 'Macedon IGA plus Liquor' (1,200 sqm) with no adjacent pharmacy (nearest 7.26 km)",75%,7.26,UFS Dispensaries - Neal Street,Macedon IGA plus Liquor,supermarket,VIC,2026-02-14T12:23:27.942252
