Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned
-28.064766699999996,117.848477,"IGA Mount Magnet, 36, Hepburn Street, Mount Magnet, Shire Of Mount Magnet, Western Australia, 6638, Australia","Item 131, Item 133, Item 134A","Near 'IGA Mount Magnet' (supermarket); straight-line 175.82 km, est. route 228.57 km from nearest pharmacy | Supermarket 'IGA Mount Magnet' (1,200 sqm) with no adjacent pharmacy (nearest 175.82 km) | Very remote -- 'IGA Mount Magnet' (supermarket) is 175.82 km from nearest pharmacy (threshold 90 km)",90%,175.82,Meekatharra Pharmacy,IGA Mount Magnet,supermarket,WA,2026-02-14T16:53:20.816647
-20.142162759999998,127.98280178,"Balgo Community Office, Wirri Street, Tanami, Balgo, Shire of Halls Creek, Western Australia, Australia","Item 131, Item 133, Item 134A","Near 'Balgo Store' (supermarket); straight-line 215.80 km, est. route 280.54 km from nearest pharmacy | Near 'Balgo Clinic' (hospital); straight-line 215.70 km, est. route 280.41 km from nearest pharmacy | Supermarket 'Balgo Store' (1,500 sqm) with no adjacent pharmacy (nearest 215.80 km) | Very remote -- 'Balgo Store' (supermarket) is 215.80 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Balgo Clinic' (hospital) is 215.70 km from nearest pharmacy (threshold 90 km)",90%,215.80,Halls Creek Pharmacy,Balgo Store,supermarket,WA,2026-02-14T16:53:20.818647
-19.555798120000002,127.66067143999999,"Luda Road, Sturt Creek, Billiluna, Shire of Halls Creek, Western Australia, Australia","Item 131, Item 133, Item 134A","Near 'Billiluna Store' (supermarket); straight-line 147.97 km, est. route 192.37 km from nearest pharmacy | Near 'Billiluna Clinic' (hospital); straight-line 148.12 km, est. route 192.55 km from nearest pharmacy | Supermarket 'Billiluna Store' (1,500 sqm) with no adjacent pharmacy (nearest 147.97 km) | Very remote -- 'Billiluna Store' (supermarket) is 147.97 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Billiluna Clinic' (hospital) is 148.12 km from nearest pharmacy (threshold 90 km)",90%,147.97,Halls Creek Pharmacy,Billiluna Store,supermarket,WA,2026-02-14T16:53:20.819648
-26.13444766,126.57975088,"Fourth Street, Warburton, Shire Of Ngaanyatjarraku, Western Australia, Australia","Item 131, Item 133, Item 134A","Near 'Warburton Store' (supermarket); straight-line 601.09 km, est. route 781.41 km from nearest pharmacy | Near 'Warburton Hospital' (hospital); straight-line 601.01 km, est. route 781.31 km from nearest pharmacy | Supermarket 'Warburton Store' (1,500 sqm) with no adjacent pharmacy (nearest 601.09 km) | Very remote -- 'Warburton Store' (supermarket) is 601.09 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Warburton Hospital' (hospital) is 601.01 km from nearest pharmacy (threshold 90 km)",90%,601.09,Leonora Pharmacy,Warburton Store,supermarket,WA,2026-02-14T16:53:20.820647
-16.4266949,126.43095190000001,"Gibb River Store, Gibb River-Station Road, Gibb, Ngallagunda, Shire Of Wyndham-East Kimberley, Western Australia, Australia","Item 131, Item 133, Item 134A","Near 'Gibb River Store' (supermarket); straight-line 216.76 km, est. route 281.79 km from nearest pharmacy | Supermarket 'Gibb River Store' (1,500 sqm) with no adjacent pharmacy (nearest 216.76 km) | Very remote -- 'Gibb River Store' (supermarket) is 216.76 km from nearest pharmacy (threshold 90 km)",90%,216.76,Kimberley Pharmacy Services (Fitzroy Valley),Gibb River Store,supermarket,WA,2026-02-14T16:53:20.821647
-26.0668658,128.9308486,"Giles Place, Irrunytju, Shire Of Ngaanyatjarraku, Western Australia, Australia","Item 131, Item 133, Item 134A","Near 'Store' (supermarket); straight-line 561.31 km, est. route 729.70 km from nearest pharmacy | Supermarket 'Store' (1,500 sqm) with no adjacent pharmacy (nearest 561.31 km) | Very remote -- 'Store' (supermarket) is 561.31 km from nearest pharmacy (threshold 90 km)",90%,561.31,Territory Pharmacy Alice Springs,Store,supermarket,WA,2026-02-14T16:53:20.822647
-20.1026248,127.594643,"Corporate Office - Store, Road 3, Sturt Creek, Mulan, Shire of Halls Creek, Western Australia, Australia","Item 131, Item 133, Item 134A","Near 'Corporate Office - Store' (supermarket); straight-line 208.98 km, est. route 271.67 km from nearest pharmacy | Supermarket 'Corporate Office - Store' (1,500 sqm) with no adjacent pharmacy (nearest 208.98 km) | Very remote -- 'Corporate Office - Store' (supermarket) is 208.98 km from nearest pharmacy (threshold 90 km)",90%,208.98,Halls Creek Pharmacy,Corporate Office - Store,supermarket,WA,2026-02-14T16:53:20.823649
-16.9810617,122.6650396,"Beagle Bay Community Store, Bishop Place, Dampier Peninsula, Beagle Bay, Shire Of Broome, Western Australia, 6725, Australia","Item 131, Item 133, Item 134A","Near 'Beagle Bay Community Store' (supermarket); straight-line 108.66 km, est. route 141.26 km from nearest pharmacy | Supermarket 'Beagle Bay Community Store' (1,500 sqm) with no adjacent pharmacy (nearest 108.66 km) | Very remote -- 'Beagle Bay Community Store' (supermarket) is 108.66 km from nearest pharmacy (threshold 90 km)",90%,108.66,Kimberley Pharmacy Services (Derby),Beagle Bay Community Store,supermarket,WA,2026-02-14T16:53:20.824647
-16.4464744,123.05998140000001,"Bardi Ardyaloon Store, Ardyaloon Street, Dampier Peninsula, Ardyaloon, Shire Of Broome, Western Australia, Australia","Item 131, Item 133, Item 134A","Near 'Bardi Ardyaloon Store' (supermarket); straight-line 113.14 km, est. route 147.08 km from nearest pharmacy | Supermarket 'Bardi Ardyaloon Store' (1,500 sqm) with no adjacent pharmacy (nearest 113.14 km) | Very remote -- 'Bardi Ardyaloon Store' (supermarket) is 113.14 km from nearest pharmacy (threshold 90 km)",90%,113.14,Kimberley Pharmacy Services (Derby),Bardi Ardyaloon Store,supermarket,WA,2026-02-14T16:53:20.825647
-27.9945748,122.8960118,"Cosmo Newberry Clinic, Tjurnmu Road, Cosmo Newbery, Shire Of Laverton, Western Australia, Australia","Item 131, Item 134A","Near 'Cosmo Newberry Clinic' (gp); straight-line 182.16 km, est. route 236.81 km from nearest pharmacy | Very remote -- 'Cosmo Newberry Clinic' (gp) is 182.16 km from nearest pharmacy (threshold 90 km)",90%,182.16,Leonora Pharmacy,Cosmo Newberry Clinic,gp,WA,2026-02-14T16:53:20.826647
