Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score
-35.37527,149.1015424,"Farrer IGA, Farrer Place, Farrer, District of Woden Valley, Australian Capital Territory, 2607, Australia",Item 133,"Supermarket 'Farrer IGA' (1,200 sqm) with no adjacent pharmacy (nearest 1.32 km)",65%,1.32,Capital Chemist Southlands,Farrer IGA,supermarket,ACT,2026-02-14T16:49:26.790397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Capital Chemist Mawson (1m),398493,609166,609166,Woden,33000,2.91,316766.3,20,47,75,42,33,163.0,"Capital Chemist Southlands (1.3km, chain); Capital Chemist Wanniassa (2.3km, chain); Colbee Court Chemist (2.8km, ind)",4903.0
-35.3886071,149.0518569,,Item 133,"Supermarket 'IGA Kambah' (1,200 sqm) with no adjacent pharmacy (nearest 1.05 km)",65%,1.05,Capital Chemist Kambah,IGA Kambah,supermarket,ACT,2026-02-14T16:49:26.809397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Capital Chemist (1m),268114,551314,609166,Weston Creek,22700,5.04,286683.3,12,37,56,27,29,118.5,"Capital Chemist Kambah (1.1km, chain); TerryWhite Chemmart Kambah (1.6km, chain); Capital Chemist Wanniassa (3.1km, chain)",4844.2
-35.3840911,149.072222,,Item 133,"Supermarket 'Sunshine Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 1.06 km)",65%,1.06,TerryWhite Chemmart Kambah,Sunshine Supermarket,supermarket,ACT,2026-02-14T16:49:26.807397,VERIFIED,All 2 nearby OSM pharmacies already in DB: TerryWhite Chemmart (1m); Capital Chemist (1m),339533,609166,609166,Woden,33000,4.29,316766.3,21,42,62,31,31,140.5,"TerryWhite Chemmart Kambah (1.1km, chain); Capital Chemist Kambah (1.4km, chain); Capital Chemist Wanniassa (1.4km, chain)",4563.4
-35.3626035,149.0815726,"Pearce Foodworks, Symons Street, Pearce, District of Woden Valley, Australian Capital Territory, 2607, Australia",Item 133,"Supermarket 'Pearce Foodworks' (1,500 sqm) with no adjacent pharmacy (nearest 1.18 km)",65%,1.18,Capital Chemist Southlands,Pearce Foodworks,supermarket,ACT,2026-02-14T16:49:26.780398,VERIFIED,All 2 nearby OSM pharmacies already in DB: Capital Chemist Mawson (1m); Colbee Court Pharmacy (1m),445106,609166,609166,Woden,33000,1.81,316766.3,22,44,86,50,36,177.0,"Capital Chemist Southlands (1.2km, chain); Colbee Court Chemist (1.4km, ind); Priceline Pharmacy Woden (1.6km, chain)",4038.3
-35.3367226,149.0324451,"5 Star Duffy Store, Duffy Place, Duffy Village Shops, Duffy, District of Weston Creek, Australian Capital Territory, 2611, Australia",Item 133,"Supermarket '5 Star Duffy Store' (1,500 sqm) with no adjacent pharmacy (nearest 1.07 km)",65%,1.07,Holder Pharmacy,5 Star Duffy Store,supermarket,ACT,2026-02-14T16:49:26.784397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Holder Pharmacy (1m),371235,592587,609166,Weston Creek,22700,1.58,308145.2,12,35,87,49,38,158.5,"Holder Pharmacy (1.1km, ind); Capital Chemist Wright (1.9km, chain); Weston Pharmacy (1.9km, ind)",3975.3
-35.2083104,149.0485366,"IGA Melba, 4-6, Melba Court, Melba, District of Belconnen, Australian Capital Territory, 2615, Australia",Item 133,"Supermarket 'IGA Melba' (1,200 sqm) with no adjacent pharmacy (nearest 1.42 km)",65%,1.42,Capital Chemist,IGA Melba,supermarket,ACT,2026-02-14T16:49:26.783397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Capital Chemist (1m),141020,411738,467066,Canberra,466566,11.02,214103.8,23,44,66,37,29,151.5,"Capital Chemist (1.4km, chain); TerryWhite Chemmart Charnwood (1.5km, chain); Spence Pharmacy (1.9km, ind)",3833.9
-35.2185083,149.0320738,,Item 133,"Supermarket 'Latham Shopping Hub' (1,500 sqm) with no adjacent pharmacy (nearest 1.19 km)",65%,1.19,Kippax Pharmacy,Latham Shopping Hub,supermarket,ACT,2026-02-14T16:49:26.810397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Caremore Pharmacy (1m),152138,422855,489266,Canberra,466566,10.81,219884.6,21,38,68,39,29,146.5,"Kippax Pharmacy (1.2km, ind); TerryWhite Chemmart (1.5km, chain); TerryWhite Chemmart Charnwood (1.6km, chain)",3411.5
-35.2481506,149.1626862,"Hackett IGA, Hackett Place, Hackett, Canberra, District of Canberra Central, Australian Capital Territory, 2602, Australia",Item 133,"Supermarket 'Hackett IGA' (1,200 sqm) with no adjacent pharmacy (nearest 1.32 km)",65%,1.32,Capital Chemist Watson,Hackett IGA,supermarket,ACT,2026-02-14T16:49:26.785397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Watson Chemist (1m),313336,466566,522266,Canberra,466566,7.83,242614.3,14,56,91,54,37,188.0,"Capital Chemist Watson (1.3km, chain); TerryWhite Chemmart Compounding Ainslie (2.2km, chain); Capital Chemist Dickson (2.2km, chain)",3258.6
-35.3392821,149.0767946,"IGA, Lyons Place, Lyons Shopping Village, Lyons, District of Woden Valley, Australian Capital Territory, 2606, Australia",Item 133,"Supermarket 'IGA' (1,200 sqm) with no adjacent pharmacy (nearest 937 m)",65%,0.94,Chemist Warehouse,IGA,supermarket,ACT,2026-02-14T16:49:26.787398,VERIFIED,All 2 nearby OSM pharmacies already in DB: Chemist Warehouse (1m); Priceline pharmacy (1m),519019,609166,609166,Woden,33000,1.96,197979.0,23,53,93,52,41,195.0,"Chemist Warehouse (0.9km, chain); Priceline Pharmacy Woden (1.1km, chain); My Pharmacy Woden (1.1km, ind)",2921.5
-35.2591886,149.0632621,,Item 133,"Supermarket 'The Cook Grocer' (1,500 sqm) with no adjacent pharmacy (nearest 1.04 km)",65%,1.04,Optimal Pharmacy Plus Jamison,The Cook Grocer,supermarket,ACT,2026-02-14T16:49:26.795397,VERIFIED,All 4 nearby OSM pharmacies already in DB: Optimal Pharmacy Plus (1m); Priceline Pharmacy (1m); Chemist Warehouse (1m),440056,516505,522266,Canberra,466566,5.49,268582.6,20,61,90,53,37,197.5,"Optimal Pharmacy Plus Jamison (1.0km, ind); Optimal Pharmacy+ Jamison (1.1km, ind); Priceline Pharmacy (1.2km, chain)",2706.1
