Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score
-29.7040741,144.123962,"Wanaaring Community Health service, Bourke-Milparinka Road, Wanaaring, Unincorporated New South Wales, New South Wales, Australia","Item 131, Item 134A","Near 'Wanaaring Community Health service' (gp); straight-line 179.89 km, est. route 233.86 km from nearest pharmacy | Very remote -- 'Wanaaring Community Health service' (gp) is 179.89 km from nearest pharmacy (threshold 90 km)",90%,179.89,The Towers Drug Co Pharmacy,Wanaaring Community Health service,gp,NSW,2026-02-14T17:00:32.936484,VERIFIED,No pharmacies found in OSM within search radius,500,500,500,Unknown,0,-1,675.0,0,0,0,0,0,0.0,,89945.0
-29.7049195,144.148759,"Wanaaring Health Clinic, Church Street, Wanaaring, Bourke Shire Council, New South Wales, 2840, Australia","Item 131, Item 134A","Near 'Wanaaring Health Clinic' (gp); straight-line 177.55 km, est. route 230.82 km from nearest pharmacy | Very remote -- 'Wanaaring Health Clinic' (gp) is 177.55 km from nearest pharmacy (threshold 90 km)",90%,177.55,The Towers Drug Co Pharmacy,Wanaaring Health Clinic,gp,NSW,2026-02-14T17:00:32.935484,VERIFIED,No pharmacies found in OSM within search radius,500,500,500,Unknown,0,-1,675.0,0,0,0,0,0,0.0,,88775.0
-32.3943078,142.4172709,"Darling River Supermarket, Yartla Street, Menindee, Central Darling Shire Council, New South Wales, 2879, Australia","Item 131, Item 133, Item 134A","Near 'Darling River Supermarket' (supermarket); straight-line 101.81 km, est. route 132.36 km from nearest pharmacy | Supermarket 'Darling River Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 101.81 km) | Very remote -- 'Darling River Supermarket' (supermarket) is 101.81 km from nearest pharmacy (threshold 90 km)",90%,101.81,C P Peoples Chemist,Darling River Supermarket,supermarket,NSW,2026-02-14T17:00:32.931484,VERIFIED,No pharmacies found in OSM within search radius,380,380,380,Menindee,380,0.25,513.0,0,0,0,0,0,0.0,,38687.8
-32.390316,142.4150138,"Menindee Health Service, Perry Street, Menindee, Central Darling Shire Council, New South Wales, 2879, Australia","Item 131, Item 134A","Near 'Menindee Health Service' (hospital); straight-line 101.42 km, est. route 131.84 km from nearest pharmacy | Very remote -- 'Menindee Health Service' (hospital) is 101.42 km from nearest pharmacy (threshold 90 km)",90%,101.42,C P Peoples Chemist,Menindee Health Service,hospital,NSW,2026-02-14T17:00:32.938484,VERIFIED,No pharmacies found in OSM within search radius,380,380,380,Menindee,380,0.24,513.0,0,0,0,0,0,0.0,,38539.6
-28.7245913,149.5785637,,"Item 131, Item 133","Near 'Boomi Co-Op' (supermarket); straight-line 63.91 km, est. route 83.09 km from nearest pharmacy | Supermarket 'Boomi Co-Op' (1,500 sqm) with no adjacent pharmacy (nearest 63.91 km)",70%,63.91,Mungindi Pharmacy,Boomi Co-Op,supermarket,NSW,2026-02-14T17:00:33.197009,VERIFIED,No pharmacies found in OSM within search radius,500,500,500,Unknown,0,-1,525.0,0,0,0,0,0,0.0,,31955.0
-34.3548418,150.4937239,"Hilltop Surgery, 4, Vera Street, Hill Top, Wingecarribee Shire Council, New South Wales, 2575, Australia",Item 131,Near 'Hilltop Surgery' (gp); route distance 22.93 km from nearest pharmacy (verified via OSRM),85%,22.93,Caremore Bargo Pharmacy,Hilltop Surgery,gp,NSW,2026-02-14T17:00:32.944484,VERIFIED,No pharmacies found in OSM within search radius,3236,7333,10886,Hill Top,2262,0.08,9349.6,0,0,4,2,2,5.0,,28024.3
-29.4331613,142.0129124,"Tibooburra Health Service, Sturt Street, Tibooburra, Unincorporated Far West Area, New South Wales, 2880, Australia","Item 131, Item 134A","Near 'Tibooburra Health Service' (hospital); straight-line 270.09 km, est. route 351.12 km from nearest pharmacy | Very remote -- 'Tibooburra Health Service' (hospital) is 270.09 km from nearest pharmacy (threshold 90 km)",90%,270.09,St Abram Wilcannia Pharmacy,Tibooburra Health Service,hospital,NSW,2026-02-14T17:00:32.939483,VERIFIED,No pharmacies found in OSM within search radius,100,100,100,Unknown,0,-1,135.0,0,0,0,0,0,0.0,,27009.0
-29.4357214,142.0100184,"Tibooburra Post Office, Burgess Street, Tibooburra, Unincorporated Far West Area, New South Wales, 2880, Australia","Item 131, Item 133, Item 134, Item 134A","Near 'TJ's Roadhouse' (supermarket); straight-line 269.98 km, est. route 350.97 km from nearest pharmacy | Supermarket 'TJ's Roadhouse' (1,500 sqm) with no adjacent pharmacy (nearest 269.98 km) | Shopping centre 'TJ's Roadhouse' (GLA 5,000 sqm) with supermarket but no pharmacy | Very remote -- 'TJ's Roadhouse' (supermarket) is 269.98 km from nearest pharmacy (threshold 90 km)",90%,269.98,St Abram Wilcannia Pharmacy,TJ's Roadhouse,supermarket,NSW,2026-02-14T17:00:32.932485,VERIFIED,No pharmacies found in OSM within search radius,100,100,100,Unknown,0,-1,135.0,0,0,0,0,0,0.0,,26998.0
-32.0306936,147.9768545,,Item 131,"Near 'Trangie Multi Purpose Service' (hospital); straight-line 33.34 km, est. route 43.35 km from nearest pharmacy",70%,33.34,Narromine Pharmacy,Trangie Multi Purpose Service,hospital,NSW,2026-02-14T17:00:33.212009,VERIFIED,No pharmacies found in OSM within search radius,768,768,768,Trangie,768,0.32,806.4,0,0,0,0,0,0.0,,25605.1
-33.4245577,148.3669433,,Item 131,"Near 'Eugowra Multi-Purpose Service' (hospital); straight-line 31.29 km, est. route 40.68 km from nearest pharmacy",70%,31.29,Canowindra Pharmacy,Eugowra Multi-Purpose Service,hospital,NSW,2026-02-14T17:00:33.209009,VERIFIED,No pharmacies found in OSM within search radius,801,801,801,Eugowra,601,0.62,841.0,0,0,0,0,0,0.0,,25063.3
-33.4272308,148.3689384,,"Item 131, Item 133","Near 'Eugowra Supermarket & Newsagency' (supermarket); straight-line 30.98 km, est. route 40.28 km from nearest pharmacy | Supermarket 'Eugowra Supermarket & Newsagency' (1,500 sqm) with no adjacent pharmacy (nearest 30.98 km)",70%,30.98,Canowindra Pharmacy,Eugowra Supermarket & Newsagency,supermarket,NSW,2026-02-14T17:00:33.194009,VERIFIED,No pharmacies found in OSM within search radius,801,801,801,Eugowra,601,0.27,841.0,0,0,0,0,0,0.0,,24815.0
-30.9450275,149.0664006,,Item 131,"Near 'Baradine Multi-Purpose Service' (hospital); straight-line 41.64 km, est. route 54.13 km from nearest pharmacy",70%,41.64,Coonabarabran Pharmacy,Baradine Multi-Purpose Service,hospital,NSW,2026-02-14T17:00:33.207009,VERIFIED,No pharmacies found in OSM within search radius,586,586,586,Baradine,586,0.32,615.3,0,0,0,0,0,0.0,,24401.0
-28.456129,153.4962157,"Crabbes Creek General Store, Crabbes Creek Road, Crabbes Creek, Tweed Shire Council, New South Wales, 2483, Australia","Item 131, Item 133","Near 'Crabbes Creek General Store' (supermarket); route distance 11.45 km from nearest pharmacy (verified via OSRM) | Supermarket 'Crabbes Creek General Store' (1,500 sqm) with no adjacent pharmacy (nearest 9.08 km)",85%,11.45,Ocean Shores Pharmacy,Crabbes Creek General Store,supermarket,NSW,2026-02-14T17:00:32.942484,VERIFIED,No pharmacies found in OSM within search radius,1100,18858,20621,South Golden Beach,2219,6.69,24044.0,0,2,6,0,6,8.0,,23991.6
-32.894455300000004,144.29532035,"Ivanhoe Hospital, Columbus Street, Ivanhoe, Central Darling Shire Council, New South Wales, 2878, Australia","Item 131, Item 134A","Near 'Ivanhoe Hospital' (hospital); straight-line 132.51 km, est. route 172.26 km from nearest pharmacy | Near 'Ivanhoe Health Service' (hospital); straight-line 132.54 km, est. route 172.30 km from nearest pharmacy | Very remote -- 'Ivanhoe Hospital' (hospital) is 132.51 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Ivanhoe Health Service' (hospital) is 132.54 km from nearest pharmacy (threshold 90 km)",90%,132.51,Hillston Pharmacy,Ivanhoe Hospital,hospital,NSW,2026-02-14T17:00:32.937484,VERIFIED,No pharmacies found in OSM within search radius,162,162,162,Unknown,0,-1,218.7,0,0,0,0,0,0.0,,21466.6
-32.9005339,144.3006282,"Star Point Groceries, Columbus Street, Ivanhoe, Central Darling Shire Council, New South Wales, 2878, Australia","Item 131, Item 133, Item 134A","Near 'Star Point Groceries' (supermarket); straight-line 131.76 km, est. route 171.28 km from nearest pharmacy | Supermarket 'Star Point Groceries' (1,500 sqm) with no adjacent pharmacy (nearest 131.76 km) | Very remote -- 'Star Point Groceries' (supermarket) is 131.76 km from nearest pharmacy (threshold 90 km)",90%,131.76,Hillston Pharmacy,Star Point Groceries,supermarket,NSW,2026-02-14T17:00:32.933484,VERIFIED,No pharmacies found in OSM within search radius,162,162,162,Unknown,0,-1,218.7,0,0,0,0,0,0.0,,21345.1
-31.4611716,151.1275861,,"Item 131, Item 133","Near 'Nundle Friendly Grocer Supermarket' (supermarket); straight-line 41.26 km, est. route 53.64 km from nearest pharmacy | Supermarket 'Nundle Friendly Grocer Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 41.26 km)",70%,41.26,TerryWhite Chemmart Calala,Nundle Friendly Grocer Supermarket,supermarket,NSW,2026-02-14T17:00:33.195009,VERIFIED,No pharmacies found in OSM within search radius,414,414,414,Nundle,314,0.24,434.7,0,0,0,0,0,0.0,,17081.6
-31.60572225,152.46791515,,"Item 131, Item 133","Near 'Comboyne LPO' (supermarket); straight-line 27.49 km, est. route 35.73 km from nearest pharmacy | Near '5 Star Supermarket' (supermarket); straight-line 27.49 km, est. route 35.74 km from nearest pharmacy | Supermarket 'Comboyne LPO' (1,500 sqm) with no adjacent pharmacy (nearest 27.49 km) | Supermarket '5 Star Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 27.49 km)",70%,27.49,Your Discount Chemist Lakewood,Comboyne LPO,supermarket,NSW,2026-02-14T17:00:33.196009,VERIFIED,No pharmacies found in OSM within search radius,616,616,616,Comboyne,416,0.02,646.8,0,0,0,0,0,0.0,,16933.8
-33.7444555,148.8499565,,Item 131,"Near 'Woodstock Community Health Center' (gp); straight-line 17.46 km, est. route 22.69 km from nearest pharmacy",70%,17.46,Optimal Pharmacy Plus Health Hub Cowra,Woodstock Community Health Center,gp,NSW,2026-02-14T17:00:33.204009,VERIFIED,No pharmacies found in OSM within search radius,792,792,792,Woodstock,792,0.07,831.6,0,0,0,0,0,0.0,,13828.3
-32.2424623,147.3581185,,Item 131,"Near 'Tottenham Multi Purpose Service' (hospital); straight-line 47.92 km, est. route 62.30 km from nearest pharmacy",70%,47.92,Fairwater Compounding Pharmacy,Tottenham Multi Purpose Service,hospital,NSW,2026-02-14T17:00:33.213009,VERIFIED,No pharmacies found in OSM within search radius,263,263,263,Unknown,0,-1,276.1,0,0,0,0,0,0.0,,12603.0
-29.1102562,147.4560175,,Item 131,"Near 'Goodooga Health Service' (hospital); straight-line 61.66 km, est. route 80.16 km from nearest pharmacy",70%,61.66,White's Pharmacy - Lightning Ridge,Goodooga Health Service,hospital,NSW,2026-02-14T17:00:33.208009,VERIFIED,No pharmacies found in OSM within search radius,179,179,179,Unknown,0,-1,187.9,0,0,0,0,0,0.0,,11037.1
-35.996638,148.7738012,,"Item 131, Item 133","Near 'Adaminaby Store' (supermarket); straight-line 41.28 km, est. route 53.67 km from nearest pharmacy | Supermarket 'Adaminaby Store' (1,500 sqm) with no adjacent pharmacy (nearest 41.28 km)",70%,41.28,Hook's Pharmacy,Adaminaby Store,supermarket,NSW,2026-02-14T17:00:33.199009,VERIFIED,No pharmacies found in OSM within search radius,257,257,257,Unknown,0,-1,269.8,0,0,0,0,0,0.0,,10609.0
-30.1646202,151.0757175,,Item 131,"Near 'Bundarra Community Health' (hospital); straight-line 26.74 km, est. route 34.76 km from nearest pharmacy",70%,26.74,Tingha Pharmacy,Bundarra Community Health,hospital,NSW,2026-02-14T17:00:33.206008,VERIFIED,No pharmacies found in OSM within search radius,374,374,374,Bundarra,374,0.6,392.7,0,0,0,0,0,0.0,,10000.8
-32.6616647,151.7276714,"Seaham Doctor's Surgery, Warren Street, Seaham, Port Stephens Council, New South Wales, 2324, Australia",Item 131,Near 'Seaham Doctor's Surgery' (gp); route distance 14.23 km from nearest pharmacy (verified via OSRM),85%,14.23,Clarence Town Pharmacy,Seaham Doctor's Surgery,gp,NSW,2026-02-14T17:00:32.943484,VERIFIED,No pharmacies found in OSM within search radius,533,7594,15837,Seaham,433,0.09,9682.4,0,1,8,5,3,11.5,,8645.0
-33.2161935,151.2104899,,"Item 131, Item 133","Near 'Sciberras fresh (fruits and veggies)' (supermarket); straight-line 20.64 km, est. route 26.83 km from nearest pharmacy | Supermarket 'Sciberras fresh (fruits and veggies)' (1,500 sqm) with no adjacent pharmacy (nearest 20.64 km)",70%,20.64,Chemist Outlet North Wyong,Sciberras fresh (fruits and veggies),supermarket,NSW,2026-02-14T17:00:33.192009,VERIFIED,No pharmacies found in OSM within search radius,225,417,417,Kulnura,589,1.85,437.8,0,0,0,0,0,0.0,,8606.9
-34.2884617,146.5788588,,Item 131,"Near 'Barellan Community Health Centre' (gp); straight-line 30.60 km, est. route 39.77 km from nearest pharmacy",70%,30.6,Ardlethan Pharmacy,Barellan Community Health Centre,gp,NSW,2026-02-14T17:00:33.203009,VERIFIED,No pharmacies found in OSM within search radius,276,276,276,Unknown,0,-1,289.8,0,0,0,0,0,0.0,,8445.6
-35.5584719,146.1638266,,Item 131,"Near 'Oaklands Medical Centre' (gp); straight-line 26.93 km, est. route 35.01 km from nearest pharmacy",70%,26.93,Urana Pharmacy,Oaklands Medical Centre,gp,NSW,2026-02-14T17:00:33.202008,VERIFIED,No pharmacies found in OSM within search radius,296,296,296,Unknown,0,-1,310.8,0,0,0,0,0,0.0,,7971.3
