Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score,Growth Indicator,Growth Details
-12.0520371,134.2215483,,"Item 131, Item 134A","Near 'Manangrida Health Centre' (gp); straight-line 279.27 km, est. route 363.05 km from nearest pharmacy | Very remote -- 'Manangrida Health Centre' (gp) is 279.27 km from nearest pharmacy (threshold 90 km)",90%,279.27,Gove Pharmacy,Manangrida Health Centre,gp,NT,2026-02-14T21:57:47.559438,2518,2518,2518,Maningrida,2518,0.57,3399.3,0,0,0,0,0,0.0,,703201.9,,
-16.0566031,136.3067226,,"Item 131, Item 134A","Near 'Redimart' (supermarket); straight-line 433.71 km, est. route 563.82 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Redimart' (supermarket) is 433.71 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,433.71,Gove Pharmacy,Redimart,supermarket,NT,2026-02-14T21:57:47.485438,955,955,955,Borroloola,755,0.35,1289.2,0,0,0,0,0,0.0,,414193.0,,
-16.0545005,136.305245,,"Item 131, Item 134A","Near 'Borroloola Health Centre' (gp); straight-line 433.50 km, est. route 563.54 km from nearest pharmacy | Very remote -- 'Borroloola Health Centre' (gp) is 433.50 km from nearest pharmacy (threshold 90 km)",90%,433.50,Gove Pharmacy,Borroloola Health Centre,gp,NT,2026-02-14T21:57:47.511438,955,955,955,Borroloola,755,0.55,1289.2,0,0,0,0,0,0.0,,413992.5,,
-12.0257691,135.5632743,,"Item 131, Item 134A","Near 'Ngalkanbuy Wellbeing Centre' (gp); straight-line 134.18 km, est. route 174.44 km from nearest pharmacy | Very remote -- 'Ngalkanbuy Wellbeing Centre' (gp) is 134.18 km from nearest pharmacy (threshold 90 km)",90%,134.18,Gove Pharmacy,Ngalkanbuy Wellbeing Centre,gp,NT,2026-02-14T21:57:47.543439,2199,2199,2199,Galiwinku,2199,0.52,2968.7,0,0,0,0,0,0.0,,295061.8,,
-12.0197596,135.5686928,,"Item 131, Item 134A","Near 'Galiwinku Health Centre' (gp); straight-line 133.69 km, est. route 173.80 km from nearest pharmacy | Very remote -- 'Galiwinku Health Centre' (gp) is 133.69 km from nearest pharmacy (threshold 90 km)",90%,133.69,Gove Pharmacy,Galiwinku Health Centre,gp,NT,2026-02-14T21:57:47.550439,2199,2199,2199,Galiwinku,2199,0.51,2968.7,0,0,0,0,0,0.0,,293984.3,,
-14.7295132,134.7335675,,"Item 131, Item 134A","Near 'Ngukurr Health Centre' (gp); straight-line 267.18 km, est. route 347.33 km from nearest pharmacy | Very remote -- 'Ngukurr Health Centre' (gp) is 267.18 km from nearest pharmacy (threshold 90 km)",90%,267.18,Pharmasave Katherine Pharmacy,Ngukurr Health Centre,gp,NT,2026-02-14T21:57:47.519438,1088,1088,1088,Ngukurr,1088,0.53,1468.8,0,0,0,0,0,0.0,,290691.8,,
-42.7484982,147.2659412,"IGA, Yulara Drive, Yulara, Northern Territory, Australia","Item 130, Item 131, Item 133, Item 134A","Supermarket 'IGA' (est. GLA 1500 sqm, brand: iga) + GP 'Yulara Medical Centre' (1.0 FTE) within 500 m; 336.28 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Near 'IGA' (supermarket); straight-line 336.28 km, est. route 437.17 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'IGA' (est. GLA 1,500 sqm, brand: iga) with no adjacent pharmacy (nearest 336.28 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'IGA' (supermarket) is 336.28 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,336.28,Territory Pharmacy Alice Springs,IGA,supermarket,NT,2026-02-14T21:57:47.462439,853,853,1149,Yulara,853,0.38,1151.5,0,0,0,0,0,0.0,,286846.8,,
-25.2377063,130.98594,"Yulara Medical Centre, Yulara Drive, Yulara, Northern Territory, Australia","Item 130, Item 131, Item 134A","GP 'Yulara Medical Centre' (1.0 FTE) + Supermarket 'IGA' (est. GLA 1500 sqm, brand: iga) within 500 m; 335.85 km from nearest pharmacy | Near 'Yulara Medical Centre' (gp); straight-line 335.85 km, est. route 436.60 km from nearest pharmacy | Very remote -- 'Yulara Medical Centre' (gp) is 335.85 km from nearest pharmacy (threshold 90 km)",90%,335.85,Territory Pharmacy Alice Springs,Yulara Medical Centre,gp,NT,2026-02-14T21:57:47.465438,853,853,1149,Yulara,853,0.38,1151.5,0,0,0,0,0,0.0,,286480.1,,
-12.3286593,134.9289942,,"Item 131, Item 134A","Near 'Ramingining Health Centre' (gp); straight-line 202.51 km, est. route 263.26 km from nearest pharmacy | Very remote -- 'Ramingining Health Centre' (gp) is 202.51 km from nearest pharmacy (threshold 90 km)",90%,202.51,Gove Pharmacy,Ramingining Health Centre,gp,NT,2026-02-14T21:57:47.556438,1314,1314,1314,Ramingining,814,0.12,1773.9,0,0,0,0,0,0.0,,266098.1,,
-12.3266273,133.0560544,"Adjumarllarl Store & Takeaway, Jabiru Oenpelli Road, Gunbalanya, West Arnhem Region, Northern Territory, Australia","Item 131, Item 134A","Near 'Adjumarllarl Store & Takeaway' (supermarket); straight-line 214.03 km, est. route 278.24 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Adjumarllarl Store & Takeaway' (supermarket) is 214.03 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,214.03,TerryWhite Chemmart Humpty Doo,Adjumarllarl Store & Takeaway,supermarket,NT,2026-02-14T21:57:47.467438,1153,1153,1153,Gunbalanya,1153,0.34,1556.5,0,0,0,0,0,0.0,,246776.6,,
