Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score,Growth Indicator,Growth Details
-40.048726,144.0576882,,Item 131,"Near 'Grassy Supermarket' (supermarket); straight-line 21.94 km, est. route 28.52 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,21.94,King Island Pharmacy,Grassy Supermarket,supermarket,TAS,2026-02-14T22:04:38.716184,500,500,500,Unknown,0,-1,525.0,0,0,0,0,0,0.0,,10970.0,,
-40.7625163,145.2950685,,"Item 131, Item 133","Near 'Stanley IGA' (supermarket); straight-line 16.69 km, est. route 21.70 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'Stanley IGA' (est. GLA 1,500 sqm, brand: iga) with no adjacent pharmacy (nearest 16.69 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,16.69,Smithton Pharmacy,Stanley IGA,supermarket,TAS,2026-02-14T22:04:38.717184,504,504,504,Stanley,504,0.22,529.2,0,0,0,0,0,0.0,,8411.8,,
-41.2189569,146.344958,,Item 133,"Supermarket 'IGA' (est. GLA 1,500 sqm, brand: iga) with no adjacent pharmacy (nearest 3.57 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",65%,3.57,Complete Care Pharmacy Devonport,IGA,supermarket,TAS,2026-02-14T22:04:38.738184,26357,29445,29445,Devonport,24591,4.57,19139.2,7,8,8,3,5,24.5,"Complete Care Pharmacy Devonport (3.6km, ind); My Pharmacy Plus Devonport (4.3km, ind); Good Price Pharmacy Warehouse Devonport (4.5km, chain)",4122.3,,
-41.4695436,147.0899735,,Item 133,"Supermarket 'Baxter's IGA' (est. GLA 1,500 sqm, brand: iga) with no adjacent pharmacy (nearest 3.14 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",65%,3.14,TerryWhite Chemmart Prospect Vale,Baxter's IGA,supermarket,TAS,2026-02-14T22:04:38.740184,71947,83783,94979,Hadspen,2337,4.47,54459.0,6,28,32,18,14,75.0,"TerryWhite Chemmart Prospect Vale (3.1km, chain); Summerhill Pharmacy (3.3km, ind); Olde Tudor Pharmacy (4.0km, ind)",3461.6,,
-42.5593001,147.872333,,Item 133,"Supermarket 'Orford Festival IGA Supermarket' (est. GLA 1,500 sqm, brand: iga) with no adjacent pharmacy (nearest 6.63 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",65%,6.63,Triabunna Pharmacy,Orford Festival IGA Supermarket,supermarket,TAS,2026-02-14T22:04:38.741185,723,1445,1445,Orford,623,0.15,1127.1,0,1,1,0,1,2.0,,3193.5,,
-42.126071525,148.290322925,"Coles Bay Convenience, 3, Garnet Avenue, Coles Bay, Glamorgan-Spring Bay, Tasmania, 7215, Australia","Item 130, Item 131, Item 133, Item 134","Supermarket 'Coles Bay Convenience' (est. GLA 3500 sqm, brand: coles) is 17.79 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Near 'Coles Bay Convenience' (supermarket); straight-line 17.79 km, est. route 23.13 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'Coles Bay Convenience' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 17.79 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Shopping centre 'Freycinet Rentals' (GLA 5,000 sqm, est. 20 tenants) with supermarket but no pharmacy. Large supermarket present but only 20 est. tenants (needs 50+)",80%,17.79,Swansea Pharmacy,Coles Bay Convenience,supermarket,TAS,2026-02-14T22:04:38.697185,125,125,125,Unknown,0,-1,150.0,0,0,0,0,0,0.0,,2223.8,,
-42.1224456,148.2845945,"Esplanade, Coles Bay, Glamorgan-Spring Bay, Tasmania, 7215, Australia",Item 131,"Near 'Supermarket' (supermarket); straight-line 17.31 km, est. route 22.51 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,17.31,Swansea Pharmacy,Supermarket,supermarket,TAS,2026-02-14T22:04:38.715184,125,125,125,Unknown,0,-1,131.2,0,0,0,0,0,0.0,,2163.8,,
-41.456382,147.17792,"Norwood Medical Centre, Dapple Street, Norwood, Launceston, City of Launceston, Tasmania, 7250, Australia",Item 130,"GP 'Norwood Medical Centre' (1.0 FTE) + Supermarket 'Norwood IGA' (est. GLA 1500 sqm, brand: iga) within 500 m; 1.87 km from nearest pharmacy",75%,1.87,Pharmacy and Co Kings Meadows,Norwood Medical Centre,gp,TAS,2026-02-14T22:04:38.699185,80943,80943,87571,Launceston,80943,4.19,48565.8,18,28,30,16,14,84.0,"Pharmacy and Co Kings Meadows (1.9km, ind); Slade Pharmacy Kings Meadows (1.9km, ind); Meadow Mews Pharmacy (2.0km, ind)",1780.7,,
-42.871,147.345,"Clarence Foreshore Trail, Rosny, Hobart, City of Clarence, Tasmania, 7018, Australia",Item 136,"Medical centre 'Ochre Health Medical Centre Clarence' — 8 GPs (5.6 est. FTE), open 70hrs/wk (meets 70hr requirement) — nearest pharmacy 1.65 km [source: manual_research]. Note: Pharmacy must be located INSIDE the complex, not just nearby. This distance-based check cannot verify physical containment.",95%,1.65,HPS Pharmacies Hobart,Ochre Health Medical Centre Clarence,medical_centre,TAS,2026-02-14T22:04:38.694185,157079,197451,198020,Hobart,197451,1.88,150062.8,41,54,68,40,28,183.0,"HPS Pharmacies Hobart (1.7km, ind); Good Price Pharmacy Warehouse Hobart (1.7km, chain); Blooms The Chemist (1.8km, chain)",1770.6,,
-41.4547332,147.1761331,"Norwood IGA, Norwood Avenue, Norwood, Launceston, City of Launceston, Tasmania, 7250, Australia","Item 130, Item 133","Supermarket 'Norwood IGA' (est. GLA 1500 sqm, brand: iga) + GP 'Norwood Medical Centre' (1.0 FTE) within 500 m; 1.86 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'Norwood IGA' (est. GLA 1,500 sqm, brand: iga) with no adjacent pharmacy (nearest 1.86 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",75%,1.86,Slade Pharmacy Kings Meadows,Norwood IGA,supermarket,TAS,2026-02-14T22:04:38.698186,80943,80943,91823,Launceston,80943,3.97,48565.8,18,28,31,17,14,85.5,"Slade Pharmacy Kings Meadows (1.9km, ind); Pharmacy and Co Kings Meadows (1.9km, ind); TerryWhite Chemmart Newstead (1.9km, chain)",1740.5,,
