Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score
-36.6095617,143.2468538,,Item 131,"Near 'East Wimmera Health Service St Arnaud Campus' (hospital); straight-line 35.62 km, est. route 46.31 km from nearest pharmacy",70%,35.62,Caremore Pharmacy Donald,East Wimmera Health Service St Arnaud Campus,hospital,VIC,2026-02-14T16:55:55.078881,VERIFIED,No pharmacies found in OSM within search radius,2126,2126,2126,St Arnaud,2126,0.97,2232.3,0,0,0,0,0,0.0,,75728.1
-37.558366,149.7534583,,Item 131,"Near 'Mallacoota Medical Centre' (hospital); straight-line 56.47 km, est. route 73.41 km from nearest pharmacy",70%,56.47,Eden Pharmacy,Mallacoota Medical Centre,hospital,VIC,2026-02-14T16:55:55.072881,VERIFIED,No pharmacies found in OSM within search radius,1118,1118,1118,Mallacoota,1118,0.38,1173.9,0,0,0,0,0,0.0,,63133.5
-37.9242465,141.2754502,,Item 131,"Near 'Dartmoor & District Bush Nursing Centre' (hospital); straight-line 38.64 km, est. route 50.24 km from nearest pharmacy",70%,38.64,Heywood Pharmacy,Dartmoor & District Bush Nursing Centre,hospital,VIC,2026-02-14T16:55:55.077881,VERIFIED,No pharmacies found in OSM within search radius,744,744,744,Unknown,0,-1,781.2,0,0,0,0,0,0.0,,28748.2
-36.381404,141.2460378,,Item 131,"Near 'Kaniava Hospital' (hospital); straight-line 36.56 km, est. route 47.52 km from nearest pharmacy",70%,36.56,Nhill Pharmacy,Kaniava Hospital,hospital,VIC,2026-02-14T16:55:55.079881,VERIFIED,No pharmacies found in OSM within search radius,683,683,683,Kaniva,683,0.43,717.1,0,0,0,0,0,0.0,,24970.5
-36.670831,142.8698477,,"Item 131, Item 133","Near 'Marnoo General Store' (supermarket); straight-line 34.45 km, est. route 44.79 km from nearest pharmacy | Supermarket 'Marnoo General Store' (1,500 sqm) with no adjacent pharmacy (nearest 34.45 km)",70%,34.45,Minyip Medical Supplies Depot,Marnoo General Store,supermarket,VIC,2026-02-14T16:55:55.059881,VERIFIED,No pharmacies found in OSM within search radius,500,500,500,Unknown,0,-1,525.0,0,0,0,0,0,0.0,,17225.0
-38.002978,144.491822,,Item 133,"Supermarket 'Fruit 2 Go' (1,500 sqm) with no adjacent pharmacy (nearest 7.67 km)",65%,7.67,Lara Pharmacy,Fruit 2 Go,supermarket,VIC,2026-02-14T16:55:55.116881,VERIFIED,No pharmacies found in OSM within search radius,292,16064,16357,Lara,15772,7.62,12529.9,0,1,5,2,3,7.0,,15401.4
-37.9526412,143.3356478,,Item 131,"Near 'Lismore Community Health' (gp); straight-line 29.72 km, est. route 38.64 km from nearest pharmacy",70%,29.72,Skipton Pharmacy,Lismore Community Health,gp,VIC,2026-02-14T16:55:55.071881,VERIFIED,No pharmacies found in OSM within search radius,321,513,513,Lismore,321,0.62,538.6,0,0,0,0,0,0.0,,15246.4
-38.7020259,145.8204444,"Venus Bay General Store, Jupiter Boulevard, Venus Bay First Estate, Venus Bay, Shire of South Gippsland, Victoria, 3956, Australia","Item 131, Item 133","Near 'Venus Bay General Store' (supermarket); route distance 25.66 km from nearest pharmacy (verified via OSRM) | Supermarket 'Venus Bay General Store' (1,500 sqm) with no adjacent pharmacy (nearest 11.03 km)",85%,25.66,TerryWhite Chemmart Inverloch,Venus Bay General Store,supermarket,VIC,2026-02-14T16:55:54.797883,VERIFIED,No pharmacies found in OSM within search radius,199,1467,6245,Inverloch,6046,11.1,1870.4,0,0,1,1,0,1.5,,15057.3
-38.8125072,146.2076606,,"Item 131, Item 133","Near 'Yanakie General Store' (supermarket); straight-line 17.19 km, est. route 22.34 km from nearest pharmacy | Supermarket 'Yanakie General Store' (1,500 sqm) with no adjacent pharmacy (nearest 17.19 km)",70%,17.19,AMCAL FISH CREEK,Yanakie General Store,supermarket,VIC,2026-02-14T16:55:55.058881,VERIFIED,No pharmacies found in OSM within search radius,500,754,785,Unknown,0,-1,791.7,0,0,0,0,0,0.0,,12961.3
-37.8773663,142.2824238,,Item 131,"Near 'Western District Health Service - Penshurst' (hospital); straight-line 25.86 km, est. route 33.62 km from nearest pharmacy",70%,25.86,Dunkeld Pharmacy,Western District Health Service - Penshurst,hospital,VIC,2026-02-14T16:55:55.080881,VERIFIED,No pharmacies found in OSM within search radius,491,491,491,Penshurst,491,0.83,515.5,0,0,0,0,0,0.0,,12697.3
