Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score
-26.13444766,126.57975088,"Fourth Street, Warburton, Shire Of Ngaanyatjarraku, Western Australia, Australia","Item 131, Item 133, Item 134A","Near 'Warburton Store' (supermarket); straight-line 601.09 km, est. route 781.41 km from nearest pharmacy | Near 'Warburton Hospital' (hospital); straight-line 601.01 km, est. route 781.31 km from nearest pharmacy | Supermarket 'Warburton Store' (1,500 sqm) with no adjacent pharmacy (nearest 601.09 km) | Very remote -- 'Warburton Store' (supermarket) is 601.09 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Warburton Hospital' (hospital) is 601.01 km from nearest pharmacy (threshold 90 km)",90%,601.09,Leonora Pharmacy,Warburton Store,supermarket,WA,2026-02-14T16:53:20.820647,VERIFIED,No pharmacies found in OSM within search radius,511,511,511,Warburton,511,0.16,689.9,0,0,0,0,0,0.0,,307157.0
-26.5951423,120.2280643,"Ngangganawili Aboriginal Health Service, 44, Scotia Street, Wiluna, Shire Of Wiluna, Western Australia, 6646, Australia","Item 131, Item 134A","Near 'Ngangganawili Aboriginal Health Service' (hospital); straight-line 172.24 km, est. route 223.92 km from nearest pharmacy | Very remote -- 'Ngangganawili Aboriginal Health Service' (hospital) is 172.24 km from nearest pharmacy (threshold 90 km)",90%,172.24,Meekatharra Pharmacy,Ngangganawili Aboriginal Health Service,hospital,WA,2026-02-14T16:53:20.835517,VERIFIED,No pharmacies found in OSM within search radius,845,845,845,Unknown,0,-1,1140.8,0,0,0,0,0,0.0,,145542.8
-21.886916,120.1088301,"Nullagine Health Clinic, 10, Cooke Street, Irrungadji, Nullagine, Shire of East Pilbara, Western Australia, 6758, Australia","Item 131, Item 134A","Near 'Nullagine Health Clinic' (gp); straight-line 167.98 km, est. route 218.38 km from nearest pharmacy | Very remote -- 'Nullagine Health Clinic' (gp) is 167.98 km from nearest pharmacy (threshold 90 km)",90%,167.98,Boulevard Pharmacy,Nullagine Health Clinic,gp,WA,2026-02-14T16:53:20.829517,VERIFIED,No pharmacies found in OSM within search radius,647,647,647,Unknown,0,-1,873.5,0,0,0,0,0,0.0,,108683.1
-16.4266949,126.43095190000001,"Gibb River Store, Gibb River-Station Road, Gibb, Ngallagunda, Shire Of Wyndham-East Kimberley, Western Australia, Australia","Item 131, Item 133, Item 134A","Near 'Gibb River Store' (supermarket); straight-line 216.76 km, est. route 281.79 km from nearest pharmacy | Supermarket 'Gibb River Store' (1,500 sqm) with no adjacent pharmacy (nearest 216.76 km) | Very remote -- 'Gibb River Store' (supermarket) is 216.76 km from nearest pharmacy (threshold 90 km)",90%,216.76,Kimberley Pharmacy Services (Fitzroy Valley),Gibb River Store,supermarket,WA,2026-02-14T16:53:20.821647,VERIFIED,No pharmacies found in OSM within search radius,500,500,500,Unknown,0,-1,675.0,0,0,0,0,0,0.0,,108380.0
-25.0029532,128.2867997,"Warakurna Health Clinic, Fiftheenth Street, Warakurna, Shire Of Ngaanyatjarraku, Western Australia, Australia","Item 131, Item 134A","Near 'Warakurna Health Clinic' (hospital); straight-line 584.47 km, est. route 759.82 km from nearest pharmacy | Very remote -- 'Warakurna Health Clinic' (hospital) is 584.47 km from nearest pharmacy (threshold 90 km)",90%,584.47,Territory Pharmacy Alice Springs,Warakurna Health Clinic,hospital,WA,2026-02-14T16:53:20.833517,VERIFIED,No pharmacies found in OSM within search radius,185,185,185,Unknown,0,-1,249.8,0,0,0,0,0,0.0,,108127.0
-20.1026248,127.594643,"Corporate Office - Store, Road 3, Sturt Creek, Mulan, Shire of Halls Creek, Western Australia, Australia","Item 131, Item 133, Item 134A","Near 'Corporate Office - Store' (supermarket); straight-line 208.98 km, est. route 271.67 km from nearest pharmacy | Supermarket 'Corporate Office - Store' (1,500 sqm) with no adjacent pharmacy (nearest 208.98 km) | Very remote -- 'Corporate Office - Store' (supermarket) is 208.98 km from nearest pharmacy (threshold 90 km)",90%,208.98,Halls Creek Pharmacy,Corporate Office - Store,supermarket,WA,2026-02-14T16:53:20.823649,VERIFIED,No pharmacies found in OSM within search radius,500,500,500,Unknown,0,-1,675.0,0,0,0,0,0,0.0,,104490.0
-20.142162759999998,127.98280178,"Balgo Community Office, Wirri Street, Tanami, Balgo, Shire of Halls Creek, Western Australia, Australia","Item 131, Item 133, Item 134A","Near 'Balgo Store' (supermarket); straight-line 215.80 km, est. route 280.54 km from nearest pharmacy | Near 'Balgo Clinic' (hospital); straight-line 215.70 km, est. route 280.41 km from nearest pharmacy | Supermarket 'Balgo Store' (1,500 sqm) with no adjacent pharmacy (nearest 215.80 km) | Very remote -- 'Balgo Store' (supermarket) is 215.80 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Balgo Clinic' (hospital) is 215.70 km from nearest pharmacy (threshold 90 km)",90%,215.8,Halls Creek Pharmacy,Balgo Store,supermarket,WA,2026-02-14T16:53:20.818647,VERIFIED,No pharmacies found in OSM within search radius,472,472,472,Balgo,472,0.2,637.2,0,0,0,0,0,0.0,,101857.6
-28.064766699999996,117.848477,"IGA Mount Magnet, 36, Hepburn Street, Mount Magnet, Shire Of Mount Magnet, Western Australia, 6638, Australia","Item 131, Item 133, Item 134A","Near 'IGA Mount Magnet' (supermarket); straight-line 175.82 km, est. route 228.57 km from nearest pharmacy | Supermarket 'IGA Mount Magnet' (1,200 sqm) with no adjacent pharmacy (nearest 175.82 km) | Very remote -- 'IGA Mount Magnet' (supermarket) is 175.82 km from nearest pharmacy (threshold 90 km)",90%,175.82,Meekatharra Pharmacy,IGA Mount Magnet,supermarket,WA,2026-02-14T16:53:20.816647,VERIFIED,No pharmacies found in OSM within search radius,576,576,576,Mount Magnet,576,0.08,777.6,0,0,0,0,0,0.0,,101272.3
-16.9810617,122.6650396,"Beagle Bay Community Store, Bishop Place, Dampier Peninsula, Beagle Bay, Shire Of Broome, Western Australia, 6725, Australia","Item 131, Item 133, Item 134A","Near 'Beagle Bay Community Store' (supermarket); straight-line 108.66 km, est. route 141.26 km from nearest pharmacy | Supermarket 'Beagle Bay Community Store' (1,500 sqm) with no adjacent pharmacy (nearest 108.66 km) | Very remote -- 'Beagle Bay Community Store' (supermarket) is 108.66 km from nearest pharmacy (threshold 90 km)",90%,108.66,Kimberley Pharmacy Services (Derby),Beagle Bay Community Store,supermarket,WA,2026-02-14T16:53:20.824647,VERIFIED,No pharmacies found in OSM within search radius,907,907,907,Beagle Bay,307,0.3,1224.5,0,0,0,0,0,0.0,,98554.6
-26.0668658,128.9308486,"Giles Place, Irrunytju, Shire Of Ngaanyatjarraku, Western Australia, Australia","Item 131, Item 133, Item 134A","Near 'Store' (supermarket); straight-line 561.31 km, est. route 729.70 km from nearest pharmacy | Supermarket 'Store' (1,500 sqm) with no adjacent pharmacy (nearest 561.31 km) | Very remote -- 'Store' (supermarket) is 561.31 km from nearest pharmacy (threshold 90 km)",90%,561.31,Territory Pharmacy Alice Springs,Store,supermarket,WA,2026-02-14T16:53:20.822647,VERIFIED,No pharmacies found in OSM within search radius,157,157,157,Unknown,0,-1,212.0,0,0,0,0,0,0.0,,88125.7
