id,name,address,state,primary_rule,population_5km,pharmacies_5km,gps_2km,estimated_scripts,annual_revenue,annual_gp,setup_cost,payback_years,exit_value_12mo,flip_profit,profitability_score
supermarket_27601,Near Coles,"56, Burgundy Street, VIC, Australia",VIC,Item 136,164716,32,9,137363.0,1796287.0,592775.0,525000.0,0.9,718515.0,193515.0,100
gap_8773_4334,Gap: Priceline Pharmacy ↔ TerryWhite Chemmart Flagstone Central,Midpoint between  and FLAGSTONE,QLD,Item 131,10922,0,0,174752.0,2285218.0,754122.0,525000.0,0.7,914087.0,389087.0,100
gap_2473_2387,Gap: Coomera City Centre Chempro Chemist ↔ Jimboomba Day & Night Chempro Chemist,Midpoint between UPPER COOMERA and JIMBOOMBA,QLD,Item 131,10922,0,0,174752.0,2285218.0,754122.0,525000.0,0.7,914087.0,389087.0,100
gap_2504_7144,Gap: Tamborine Village Pharmacy ↔ Chemist Warehouse Coomera,Midpoint between TAMBORINE and Coomera,QLD,Item 131,18705,0,0,299280.0,3913662.0,1291508.0,525000.0,0.4,1565465.0,1040465.0,100
gap_8620_968,Gap: Brunswick Family Pharmacy ↔ Harvey Pharmacy,Midpoint between  and HARVEY,WA,Item 131,9628,0,0,154048.0,2014474.0,664776.0,525000.0,0.8,805790.0,280790.0,100
gap_8620_969,Gap: Brunswick Family Pharmacy ↔ Uduc Dispensary,Midpoint between  and HARVEY,WA,Item 131,9628,0,0,154048.0,2014474.0,664776.0,525000.0,0.8,805790.0,280790.0,100
gap_7487_7804,Gap: Healthpoint Pharmacy Snug ↔ Blooms The Chemist Huonville,Midpoint between Snug and ,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_114_131,Gap: Blooms The Chemist Huonville Arcade ↔ TerryWhite Chemmart Margate,Midpoint between HUONVILLE and MARGATE,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_114_7220,Gap: Blooms The Chemist Huonville Arcade ↔ TerryWhite Chemmart Channel Margate,Midpoint between HUONVILLE and Margate,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_114_130,Gap: Blooms The Chemist Huonville Arcade ↔ TerryWhite Chemmart Blackmans Bay,Midpoint between HUONVILLE and BLACKMANS BAY,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_114_7395,Gap: Blooms The Chemist Huonville Arcade ↔ Priceline Pharmacy Kingston,Midpoint between HUONVILLE and KINGSTON,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_114_125,Gap: Blooms The Chemist Huonville Arcade ↔ TerryWhite Chemmart Kingston Town,Midpoint between HUONVILLE and KINGSTON,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_114_124,Gap: Blooms The Chemist Huonville Arcade ↔ Priceline Pharmacy Kingston,Midpoint between HUONVILLE and KINGSTON,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_112_131,Gap: Blooms The Chemist Huonville ↔ TerryWhite Chemmart Margate,Midpoint between HUONVILLE and MARGATE,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_112_7220,Gap: Blooms The Chemist Huonville ↔ TerryWhite Chemmart Channel Margate,Midpoint between HUONVILLE and Margate,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_112_130,Gap: Blooms The Chemist Huonville ↔ TerryWhite Chemmart Blackmans Bay,Midpoint between HUONVILLE and BLACKMANS BAY,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_112_7395,Gap: Blooms The Chemist Huonville ↔ Priceline Pharmacy Kingston,Midpoint between HUONVILLE and KINGSTON,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_112_125,Gap: Blooms The Chemist Huonville ↔ TerryWhite Chemmart Kingston Town,Midpoint between HUONVILLE and KINGSTON,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_112_124,Gap: Blooms The Chemist Huonville ↔ Priceline Pharmacy Kingston,Midpoint between HUONVILLE and KINGSTON,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_112_7256,Gap: Blooms The Chemist Huonville ↔ TerryWhite Chemmart Kingston Plaza,Midpoint between HUONVILLE and Kingston,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_131_7804,Gap: TerryWhite Chemmart Margate ↔ Blooms The Chemist Huonville,Midpoint between MARGATE and ,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_7220_7804,Gap: TerryWhite Chemmart Channel Margate ↔ Blooms The Chemist Huonville,Midpoint between Margate and ,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
gap_7804_130,Gap: Blooms The Chemist Huonville ↔ TerryWhite Chemmart Blackmans Bay,Midpoint between  and BLACKMANS BAY,TAS,Item 131,8603,0,0,137648.0,1800012.0,594004.0,525000.0,0.9,720005.0,195005.0,100
