opportunity_id,state,opportunity_lat,opportunity_lng,rule,confidence,poi_name,nearest_pharmacy_km,composite_score,property_address,rent_display,rent_pa,rent_sqm,floor_area_sqm,property_type,listing_url,agent,suitability_score,suitability_note
VIC_067,VIC,-37.7976134,144.8061424,Item 133,75%,Coles,1.29,11379.7,"Shop 4, 677 La Trobe Street,Docklands, VIC 3008",Contact Agent,0,0,115,Shops & Retail,https://www.realcommercial.com.au/for-lease/property-shop-4-677-la-trobe-street-docklands-vic-3008-505056628,,100,"Retail/Medical, 115m² ideal"
VIC_056,VIC,-37.7474,144.816,Item 136,95%,Sunshine Hospital Medical Centre,1.32,10618.9,"81 Main Road West,St Albans, VIC 3021",Contact Agent!,0,0,299,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-81-main-road-west-st-albans-vic-3021-505033836,,100,"Retail/Medical, 299m² ideal"
VIC_056,VIC,-37.7474,144.816,Item 136,95%,Sunshine Hospital Medical Centre,1.32,10618.9,"53 Main Road West,St Albans, VIC 3021",$750 per week (no gst),750.0,7.28,103,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-53-main-road-west-st-albans-vic-3021-505052096,,100,"Retail/Medical, 103m² ideal"
VIC_056,VIC,-37.7474,144.816,Item 136,95%,Sunshine Hospital Medical Centre,1.32,10618.9,"2-4, 30-32 East Esplanade, St Albans, VIC 3021",Price & Incentive Negotiable,0,0,245,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-2-4-30-32-east-esplanade-st-albans-vic-3021-504917820,,100,"Retail/Medical, 245m² ideal"
VIC_056,VIC,-37.7474,144.816,Item 136,95%,Sunshine Hospital Medical Centre,1.32,10618.9,"216A Main Road East, St Albans, VIC 3021",Contact Agent,0,0,150,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-sale/property-216a-main-road-east-st-albans-vic-3021-504883008?listingType=rent,,100,"Retail/Medical, 150m² ideal"
VIC_056,VIC,-37.7474,144.816,Item 136,95%,Sunshine Hospital Medical Centre,1.32,10618.9,"306 Station Road, St Albans, VIC 3021",Contact The Leasing Agency Today,0,0,155,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-306-station-road-st-albans-vic-3021-504479440,,100,"Retail/Medical, 155m² ideal"
VIC_056,VIC,-37.7474,144.816,Item 136,95%,Sunshine Hospital Medical Centre,1.32,10618.9,"2/5 Devonshire Road,Sunshine, VIC 3020",Contact Agent,0,0,100,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-2-5-devonshire-road-sunshine-vic-3020-505061080,,100,"Retail/Medical, 100m² ideal"
NSW_089,NSW,-33.7751647,151.2914012,Item 135,55%,South Pacific Private Hospital,0.76,8599.9,"Shop 3, 93 North Steyne,Manly, NSW 2095",Contact Agent,0,0,160,Shops & Retail | Offices | Other,https://www.realcommercial.com.au/for-lease/property-shop-3-93-north-steyne-manly-nsw-2095-504990760,,100,"Retail/Medical, 160m² ideal"
NSW_089,NSW,-33.7751647,151.2914012,Item 135,55%,South Pacific Private Hospital,0.76,8599.9,"36-38 Sydney Road, Manly, NSW 2095",Contact Agent,0,0,151,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-36-38-sydney-road-manly-nsw-2095-505034384,,100,"Retail/Medical, 151m² ideal"
NSW_089,NSW,-33.7751647,151.2914012,Item 135,55%,South Pacific Private Hospital,0.76,8599.9,"4/12-16 Sydney Road, Manly, NSW 2095",Contact Agent,0,0,100,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-4-12-16-sydney-road-manly-nsw-2095-505010976,,100,"Retail/Medical, 100m² ideal"
