Rank,Deal Score,Item,State,Pharmacy Name,Pharmacy Address,Target Centre,Distance (m),Centre Tenants,Centre GLA (sqm),Existing Pharmacies in Centre,Key Reason,Why Opportunity
1,0.8,Item 124,TAS,TerryWhite Chemmart Latrobe,"45a Gilbert Street, LATROBE, TAS, 7307",Commonwealth Bank,470.0,20,5000.0,0,Pharmacy 'TerryWhite Chemmart Latrobe' is 470m from large shopping centre 'Commonwealth Bank',centre has NO pharmacy; pharmacy 470m from centre
2,0.8,Item 124,TAS,Derwent Park Pharmacy,"254 Main Road, DERWENT PARK, TAS, 7009",Jackson Motor Company,425.0,20,5000.0,0,Pharmacy 'Derwent Park Pharmacy' is 425m from large shopping centre 'Jackson Motor Company',centre has NO pharmacy; pharmacy 425m from centre
3,0.8,Item 124,TAS,Friendly Care Advantage Moonah,"67 Hopkins Street, MOONAH, TAS, 7009",Fantastic Furniture,367.0,20,5000.0,0,Pharmacy 'Friendly Care Advantage Moonah' is 367m from large shopping centre 'Fantastic Furniture',centre has NO pharmacy; pharmacy 367m from centre
4,0.8,Item 124,TAS,Bolands Pharmacy,"67 Wilson Street, BURNIE, TAS, 7320",Express Auto Centre,348.0,20,5000.0,0,Pharmacy 'Bolands Pharmacy' is 348m from large shopping centre 'Express Auto Centre',centre has NO pharmacy; pharmacy 348m from centre
5,0.8,Item 124,TAS,Complete Care Pharmacy Burnie,"12A Wilson Street, BURNIE, TAS, 7320",Express Auto Centre,497.0,20,5000.0,0,Pharmacy 'Complete Care Pharmacy Burnie' is 497m from large shopping centre 'Express Auto Centre',centre has NO pharmacy; pharmacy 497m from centre
6,0.8,Item 124,TAS,Burnie Plaza Pharmacy,"Shop 6 24 Mount Street, BURNIE, TAS, 7320",Express Auto Centre,447.0,20,5000.0,0,Pharmacy 'Burnie Plaza Pharmacy' is 447m from large shopping centre 'Express Auto Centre',centre has NO pharmacy; pharmacy 447m from centre
7,0.8,Item 124,TAS,Dixon's Pharmacy,"112 Goldie Street, WYNYARD, TAS, 7325",Subway,453.0,20,5000.0,0,Pharmacy 'Dixon's Pharmacy' is 453m from large shopping centre 'Subway',centre has NO pharmacy; pharmacy 453m from centre
8,0.8,Item 124,TAS,Evandale Pharmacy,"8A High Street, EVANDALE, TAS, 7212",Jardin Skin Care Apothecary Tonics,420.0,20,5000.0,0,Pharmacy 'Evandale Pharmacy' is 420m from large shopping centre 'Jardin Skin Care Apothecary Tonics',centre has NO pharmacy; pharmacy 420m from centre
9,0.8,Item 124,TAS,Chemist Warehouse Moonah,"38 to 74 Main Road, Moonah, TAS, 7009",Autobarn,394.0,20,5000.0,0,Pharmacy 'Chemist Warehouse Moonah' is 394m from large shopping centre 'Autobarn',centre has NO pharmacy; pharmacy 394m from centre
10,0.8,Item 124,TAS,Priceline Pharmacy Bridgewater,"SHOP 5, GREEN POINT PLAZA, 24-28 GREEN POINT ROAD, BRIDGEWATER, TAS, 7030",Green Point Plaza,310.0,20,5000.0,0,Pharmacy 'Priceline Pharmacy Bridgewater' is 310m from large shopping centre 'Green Point Plaza',centre has NO pharmacy; pharmacy 310m from centre
