national_rank,state_rank,tier,opportunity_type,financial_score,confidence_score,population_score,competition_score_rank,growth_score,composite_score,est_annual_revenue,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_profit,worst_roi,best_profit,best_roi,latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,market_share,est_annual_scripts,gp_fte,growth_indicator,growth_details
9,1,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,561000.0,657500,0.8532,1.17,3059299.48,-42900.0,-0.0652,1201200.0,1.8269,-35.2341,149.0178,"Pegasus, Macnaughton Street, Holt, District of Belconnen, Australian Capital Territory, 2615, Australia",Kippax Medical Centre,medical_centre,ACT,Item 136,95%,0.89,TerryWhite Chemmart,176523,50000,19,0.2,130000,6.4,,
10,2,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,561000.0,657500,0.8532,1.17,3059299.48,-42900.0,-0.0652,1201200.0,1.8269,-35.3402,149.1031,"4, Gilmore Crescent, Garran, District of Woden Valley, Australian Capital Territory, 2605, Australia",Garran Medical Centre,medical_centre,ACT,Item 136,95%,0.48,Capital Chemist Garran,217690,50000,24,0.2,130000,6.4,,
47,3,B - Strong,Shopping Centre (Item 132),100.0,70.0,100.0,0.0,0.0,69.0,3300000.0,561000.0,657500,0.8532,1.17,3059299.48,-42900.0,-0.0652,1201200.0,1.8269,-35.345,149.0865,"Bowes Street, Phillip, District of Woden Valley, Australian Capital Territory, 2606, Australia",Westfield Woden,shopping_centre,ACT,Item 132,85%,0.21,Priceline Pharmacy Woden,515288,50000,22,0.2,130000,0.0,,
62,4,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,561000.0,657500,0.8532,1.17,3059299.48,-42900.0,-0.0652,1201200.0,1.8269,-35.278697,149.1339388,"Petrie Street, City, North Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia",Coles,supermarket,ACT,Item 133,75%,0.11,The Pharmacy on Bunda,157079,50000,19,0.2,130000,0.0,,
191,5,B - Strong,Supermarket (Item 133),100.0,40.0,100.0,0.0,0.0,63.0,3300000.0,561000.0,657500,0.8532,1.17,3059299.48,-42900.0,-0.0652,1201200.0,1.8269,-35.29491495,149.18960420000002,"Mustang Avenue, Canberra, Australian Capital Territory, 2609, Australia",Harris Farm Markets,supermarket,ACT,"Item 133, Item 134",70%,0.35,Chemist Warehouse Majura Park SC,302918,50000,7,0.2,130000,0.0,,
192,6,B - Strong,Supermarket (Item 133),100.0,40.0,100.0,0.0,0.0,63.0,3300000.0,561000.0,657500,0.8532,1.17,3059299.48,-42900.0,-0.0652,1201200.0,1.8269,-35.4178762,149.0689186,"Aldi, 0, Anketell Street, Greenway, District of Tuggeranong, Australian Capital Territory, 2900, Australia",Aldi,supermarket,ACT,Item 133,70%,0.20,Capital Chemist Tuggeranong Square,86900,50000,14,0.2,130000,0.0,,
193,7,B - Strong,Supermarket (Item 133),100.0,40.0,100.0,0.0,0.0,63.0,3300000.0,561000.0,657500,0.8532,1.17,3059299.48,-42900.0,-0.0652,1201200.0,1.8269,-35.4147922,149.1291264,"Aldi, 36, Benham Street, Chisholm, District of Tuggeranong, Australian Capital Territory, 2905, Australia",Aldi,supermarket,ACT,Item 133,70%,0.12,Capital Chemist Chisholm,110228,50000,6,0.2,130000,0.0,,
194,8,B - Strong,Supermarket (Item 133),100.0,40.0,100.0,0.0,0.0,63.0,3300000.0,561000.0,657500,0.8532,1.17,3059299.48,-42900.0,-0.0652,1201200.0,1.8269,-35.2212222,149.0194563,"Aldi, 50-60, Hardwick Crescent, Holt, District of Belconnen, Australian Capital Territory, 2615, Australia",Aldi,supermarket,ACT,Item 133,70%,0.14,Kippax Pharmacy,126427,50000,19,0.2,130000,0.0,,
195,9,B - Strong,Supermarket (Item 133),100.0,40.0,100.0,0.0,0.0,63.0,3300000.0,561000.0,657500,0.8532,1.17,3059299.48,-42900.0,-0.0652,1201200.0,1.8269,-35.4566612,149.0936926,"Aldi, 9, Sidney Nolan Street, Conder, District of Tuggeranong, Australian Capital Territory, 2906, Australia",Aldi,supermarket,ACT,Item 133,70%,0.13,Lanyon Pharmacy,86900,50000,6,0.2,130000,0.0,,
308,10,B - Strong,Supermarket (Item 133),100.0,30.0,100.0,0.0,0.0,61.0,3300000.0,561000.0,657500,0.8532,1.17,3059299.48,-42900.0,-0.0652,1201200.0,1.8269,-35.37527,149.1015424,"Farrer IGA, Farrer Place, Farrer, District of Woden Valley, Australian Capital Territory, 2607, Australia",Farrer IGA,supermarket,ACT,Item 133,65%,1.32,Capital Chemist Southlands,398493,50000,20,0.2,130000,0.0,,
