national_rank,state_rank,tier,opportunity_type,financial_score,confidence_score,population_score,competition_score_rank,growth_score,composite_score,est_annual_revenue,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_profit,worst_roi,best_profit,best_roi,latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,market_share,est_annual_scripts,gp_fte,growth_indicator,growth_details
17,1,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,671000.0,657500,1.0205,0.98,3788083.69,21050.0,0.032,1363500.0,2.0738,-12.4634,130.8456,"McMinn Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",Darwin Medical Centre,medical_centre,NT,Item 136,95%,0.38,Blooms The Chemist Darwin Galleria,122207,50000,8,0.2,130000,8.0,,
333,2,B - Strong,Supermarket (Item 133),100.0,30.0,100.0,0.0,0.0,61.0,3300000.0,581000.0,657500,0.8837,1.13,3191805.7,-19900.0,-0.0303,1219200.0,1.8543,-12.4231951,130.8367601,,IGA,supermarket,NT,Item 133,65%,1.18,Blooms The Chemist Parap,122207,50000,10,0.2,130000,0.0,,
446,3,B - Strong,Small Centre (Item 134),100.0,10.0,100.0,0.0,0.0,57.0,3300000.0,581000.0,657500,0.8837,1.13,3191805.7,-19900.0,-0.0303,1219200.0,1.8543,-12.4258458,130.8633895,,Winnellie Shopping Centre,shopping_centre,NT,Item 134,55%,1.99,Chemist Warehouse,122207,50000,10,0.2,130000,0.0,,
524,4,C - Moderate,Supermarket (Item 133),43.8,30.0,87.5,0.0,100.0,46.6,1732830.0,110849.0,657500,0.1686,5.93,76909.1,-124568.7,-0.1895,465391.23,0.7078,-23.696635,133.8408611,,Larapinta IGA,supermarket,NT,Item 133,65%,3.52,United Chemists Northside Pharmacy NT,26255,26255,5,0.2,68263,0.0,YES,"Urban fringe: 26,679 pop, 3.5km gap, low competition"
550,5,D - Marginal,Supermarket (Item 133),43.8,30.0,87.5,0.0,0.0,36.6,1732830.0,110849.0,657500,0.1686,5.93,76909.1,-124568.7,-0.1895,465391.23,0.7078,-23.6960618,133.8900884,,IGA East Side,supermarket,NT,Item 133,65%,0.63,Priceline Pharmacy Alice Springs,26255,26255,5,0.2,68263,0.0,,
568,6,D - Marginal,Medical Centre (Item 136),0.0,90.0,31.9,0.0,100.0,32.8,789277.5,-77216.75,657500,-0.1174,999.0,-1169084.98,-253363.62,-0.3853,97042.48,0.1476,-12.4875,130.9836,"Minorelli Court, Gray, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",Palmerston Medical Centre,medical_centre,NT,Item 136,95%,0.48,Territory Pharmacy Palmerston,9567,9567,14,0.2,24874,8.0,YES,NT Growth Area - Palmerston
571,7,D - Marginal,Remote/Rural,0.0,80.0,8.4,100.0,0.0,32.3,664752.0,-114574.4,657500,-0.1743,999.0,-1416591.03,-270361.35,-0.4112,37145.71,0.0565,-12.0520371,134.2215483,,Manangrida Health Centre,gp,NT,"Item 131, Item 134A",90%,279.27,Gove Pharmacy,2518,2518,0,0.8,26187,0.0,,
573,8,D - Marginal,Remote/Rural,0.0,80.0,7.3,100.0,0.0,32.1,580536.0,-139839.2,657500,-0.2127,999.0,-1583978.19,-281856.84,-0.4287,-3362.18,-0.0051,-12.0257691,135.5632743,,Ngalkanbuy Wellbeing Centre,gp,NT,"Item 131, Item 134A",90%,134.18,Gove Pharmacy,2199,2199,0,0.8,22869,0.0,,
574,9,D - Marginal,Remote/Rural,0.0,80.0,7.3,100.0,0.0,32.1,580536.0,-139839.2,657500,-0.2127,999.0,-1583978.19,-281856.84,-0.4287,-3362.18,-0.0051,-12.0197596,135.5686928,,Galiwinku Health Centre,gp,NT,"Item 131, Item 134A",90%,133.69,Gove Pharmacy,2199,2199,0,0.8,22869,0.0,,
576,10,D - Marginal,Remote/Rural,0.0,80.0,4.4,100.0,0.0,31.7,346896.0,-209931.2,657500,-0.3193,999.0,-2048359.49,-313748.7,-0.4772,-115743.02,-0.176,-12.3286593,134.9289942,,Ramingining Health Centre,gp,NT,"Item 131, Item 134A",90%,202.51,Gove Pharmacy,1314,1314,0,0.8,13665,0.0,,
