national_rank,state_rank,tier,opportunity_type,financial_score,confidence_score,population_score,competition_score_rank,growth_score,composite_score,est_annual_revenue,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_profit,worst_roi,best_profit,best_roi,latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,market_share,est_annual_scripts,gp_fte,growth_indicator,growth_details
8,1,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,0.0,100.0,75.0,3300000.0,576000.0,657500,0.876,1.14,3158679.15,-25650.0,-0.039,1214700.0,1.8475,-28.0482363,153.3542658,,Coles,supermarket,QLD,Item 133,75%,0.17,Medicines Plus Worongary,413176,50000,19,0.2,130000,0.0,YES,QLD Growth Area - Gold Coast
18,2,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,576000.0,657500,0.876,1.14,3158679.15,-25650.0,-0.039,1214700.0,1.8475,-27.449,153.1647,"18, Chandos Street, Wynnum West, Wynnum, Brisbane, Queensland, 4178, Australia",GP Super Clinic Wynnum,medical_centre,QLD,Item 136,95%,0.69,Manly Chempro Chemist,1075548,50000,14,0.2,130000,6.4,,
19,3,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,666000.0,657500,1.0129,0.99,3754957.14,15300.0,0.0233,1359000.0,2.0669,-27.9665,153.3982,"Ewan Street, Southport, Gold Coast City, Queensland, 4215, Australia",SmartClinics Southport,medical_centre,QLD,Item 136,95%,1.00,Southport Pharmacy,196349,50000,38,0.2,130000,9.6,,
20,4,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,666000.0,657500,1.0129,0.99,3754957.14,15300.0,0.0233,1359000.0,2.0669,-27.9671,153.401,"West King Lane, Southport, Gold Coast City, Queensland, 4215, Australia",Gold Coast Medical Centre,medical_centre,QLD,Item 136,95%,0.83,Southport Chempro Chemist,196349,50000,41,0.2,130000,9.6,,
21,5,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,576000.0,657500,0.876,1.14,3158679.15,-25650.0,-0.039,1214700.0,1.8475,-27.55705,153.077,"12, Hagen Street, Upper Mount Gravatt, City of Brisbane, Queensland, 4122, Australia",Upper Mount Gravatt Medical Centre,medical_centre,QLD,"Item 132, Item 136",95%,0.33,TerryWhite Chemmart Upper Mount Gravatt,1466779,50000,36,0.2,130000,7.2,,
22,6,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,2290398.0,273119.4,657500,0.4154,2.41,1152000.97,-163460.67,-0.2486,729081.44,1.1089,-23.8499,151.2665,"Young Street, Gladstone Ports - Port Central, Barney Point, Gladstone, Gladstone Regional, Queensland, 4680, Australia",Gladstone Medical Centre,medical_centre,QLD,Item 136,95%,0.46,Gladstone Family Chemist,34703,34703,7,0.2,90227,6.4,,
23,7,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,666000.0,657500,1.0129,0.99,3754957.14,15300.0,0.0233,1359000.0,2.0669,-27.5603,151.9562,"Bell Street, East Toowoomba, Toowoomba City, Toowoomba, Toowoomba Regional, Queensland, 4350, Australia",SmartClinics Toowoomba,medical_centre,QLD,Item 136,95%,0.38,Good Price Pharmacy Warehouse Toowoomba,108398,50000,32,0.2,130000,11.2,,
42,8,B - Strong,Supermarket (Item 133),85.5,60.0,100.0,0.0,100.0,71.2,2005278.0,187583.4,657500,0.2853,3.51,585298.37,-93129.55,-0.1416,591938.72,0.9003,-27.9254608,153.3054075,,Coles,supermarket,QLD,"Item 130, Item 133",80%,1.83,Pacific Pines Chempro Chemist,30383,30383,13,0.2,78995,0.0,YES,QLD Growth Area - Gold Coast Northern
43,9,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,40.0,0.0,71.0,3300000.0,576000.0,657500,0.876,1.14,3158679.15,-25650.0,-0.039,1214700.0,1.8475,-16.8970583,145.698944,,Coles,supermarket,QLD,Item 133,75%,0.13,Wholelife Pharmacy & Healthfoods - Redlynch,63785,50000,3,0.2,130000,0.0,,
50,10,B - Strong,Shopping Centre (Item 132),100.0,70.0,100.0,0.0,0.0,69.0,3300000.0,576000.0,657500,0.876,1.14,3158679.15,-25650.0,-0.039,1214700.0,1.8475,-16.9247807,145.7792832,,Madison on Abbott,shopping_centre,QLD,Item 132,85%,0.32,Vitality Pharmacy Warehouse Orchid Plaza,153181,50000,18,0.2,130000,0.0,,
