national_rank,state_rank,tier,opportunity_type,financial_score,confidence_score,population_score,competition_score_rank,growth_score,composite_score,est_annual_revenue,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_profit,worst_roi,best_profit,best_roi,latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,market_share,est_annual_scripts,gp_fte,growth_indicator,growth_details
24,1,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,676000.0,657500,1.0281,0.97,3821210.25,26800.0,0.0408,1368000.0,2.0806,-35.013450000000006,138.55534999999998,"Township Road, Marion, Adelaide, City of Marion, South Australia, 5043, Australia",Marion Medical Centre,medical_centre,SA,"Item 132, Item 136",95%,0.87,Mitchell Park Pharmacy,719429,50000,35,0.2,130000,8.0,,
25,2,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,586000.0,657500,0.8913,1.12,3224932.26,-14150.0,-0.0215,1223700.0,1.8611,-34.8746,138.5371,"42, Actil Avenue South, St Clair, Adelaide, City of Charles Sturt, South Australia, 5011, Australia",Woodville Medical Centre,medical_centre,SA,Item 136,95%,0.74,TerryWhite Chemmart,922043,50000,43,0.2,130000,6.4,,
26,3,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,586000.0,657500,0.8913,1.12,3224932.26,-14150.0,-0.0215,1223700.0,1.8611,-34.9479,138.5977,"Simpson Parade, Wayville, Adelaide, City of Unley, South Australia, 5034, Australia",Unley Medical Centre,medical_centre,SA,Item 136,95%,0.53,Chemist King Discount Pharmacy,196349,50000,71,0.2,130000,6.4,,
27,4,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,676000.0,657500,1.0281,0.97,3821210.25,26800.0,0.0408,1368000.0,2.0806,-34.9285,138.6017,"Wakefield House, 30, Wakefield Street, Adelaide, Adelaide City Council, South Australia, 5000, Australia",Adelaide Medical Centre,medical_centre,SA,Item 136,95%,0.36,Centre Pharmacy,196349,50000,75,0.2,130000,9.6,,
28,5,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,676000.0,657500,1.0281,0.97,3821210.25,26800.0,0.0408,1368000.0,2.0806,-34.9263,138.6038,"Wilson Parking, Stockley Alley, Adelaide, Adelaide City Council, South Australia, 5000, Australia",SmartClinics Adelaide,medical_centre,SA,Item 136,95%,0.34,TerryWhite Chemmart Rundle Place,196349,50000,77,0.2,130000,9.6,,
29,6,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,586000.0,657500,0.8913,1.12,3224932.26,-14150.0,-0.0215,1223700.0,1.8611,-34.8839,138.5974,"Alpha Road, Prospect, Adelaide, City of Prospect, South Australia, 5082, Australia",Prospect Medical Centre,medical_centre,SA,Item 136,95%,0.32,Star Discount Chemist Prospect,196349,50000,62,0.2,130000,7.2,,
52,7,B - Strong,Shopping Centre (Item 132),100.0,70.0,100.0,0.0,0.0,69.0,3300000.0,586000.0,657500,0.8913,1.12,3224932.26,-14150.0,-0.0215,1223700.0,1.8611,-34.8321,138.6836,,Westfield Tea Tree Plaza,shopping_centre,SA,Item 132,85%,0.24,Modbury Triangle Pharmacy,441097,50000,33,0.2,130000,0.0,,
53,8,B - Strong,Shopping Centre (Item 132),100.0,70.0,100.0,0.0,0.0,69.0,3300000.0,586000.0,657500,0.8913,1.12,3224932.26,-14150.0,-0.0215,1223700.0,1.8611,-34.9251529,138.5992786,,Savings Bank Building,shopping_centre,SA,Item 132,85%,0.21,Unknown Pharmacy,196349,50000,79,0.2,130000,0.0,,
128,9,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,586000.0,657500,0.8913,1.12,3224932.26,-14150.0,-0.0215,1223700.0,1.8611,-35.01871,138.6157937,,Coles,supermarket,SA,Item 133,75%,0.21,TerryWhite Chemmart Main Road Blackwood,733808,50000,12,0.2,130000,0.0,,
129,10,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,586000.0,657500,0.8913,1.12,3224932.26,-14150.0,-0.0215,1223700.0,1.8611,-34.8811731,138.4914867,,Coles,supermarket,SA,Item 133,75%,0.12,Better Health Pharmacy West Lakes,633344,50000,32,0.2,130000,0.0,,
