national_rank,state_rank,tier,opportunity_type,financial_score,confidence_score,population_score,competition_score_rank,growth_score,composite_score,est_annual_revenue,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_profit,worst_roi,best_profit,best_roi,latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,market_share,est_annual_scripts,gp_fte,growth_indicator,growth_details
30,1,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,596000.0,657500,0.9065,1.1,3291185.37,-2650.0,-0.004,1232700.0,1.8748,-42.871,147.345,"Clarence Foreshore Trail, Rosny, Hobart, City of Clarence, Tasmania, 7018, Australia",Ochre Health Medical Centre Clarence,medical_centre,TAS,Item 136,95%,1.65,HPS Pharmacies Hobart,157079,50000,41,0.2,130000,5.6,,
54,2,B - Strong,Shopping Centre (Item 132),100.0,70.0,100.0,0.0,0.0,69.0,3300000.0,596000.0,657500,0.9065,1.1,3291185.37,-2650.0,-0.004,1232700.0,1.8748,-42.8704,147.3579,"Rosny Hill Lookout, Rosny Lookout Road, Rosny, Hobart, City of Clarence, Tasmania, 7018, Australia",Eastlands Shopping Centre,shopping_centre,TAS,Item 132,85%,0.92,Bellerive Quay Pharmacy,157079,50000,38,0.2,130000,0.0,,
133,3,B - Strong,Distance (Item 130),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,596000.0,657500,0.9065,1.1,3291185.37,-2650.0,-0.004,1232700.0,1.8748,-41.456382,147.17792,"Norwood Medical Centre, Dapple Street, Norwood, Launceston, City of Launceston, Tasmania, 7250, Australia",Norwood Medical Centre,gp,TAS,Item 130,75%,1.87,Pharmacy and Co Kings Meadows,80943,50000,18,0.2,130000,0.0,,
134,4,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,596000.0,657500,0.9065,1.1,3291185.37,-2650.0,-0.004,1232700.0,1.8748,-41.4547332,147.1761331,"Norwood IGA, Norwood Avenue, Norwood, Launceston, City of Launceston, Tasmania, 7250, Australia",Norwood IGA,supermarket,TAS,"Item 130, Item 133",75%,1.86,Slade Pharmacy Kings Meadows,80943,50000,18,0.2,130000,0.0,,
135,5,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,596000.0,657500,0.9065,1.1,3291185.37,-2650.0,-0.004,1232700.0,1.8748,-42.8578725,147.3032616,"192-196, New Town Road, New Town, Hobart, City of Hobart, Tasmania, 7008, Australia",Woolworths,supermarket,TAS,Item 133,75%,0.21,Chemist Warehouse New Town TAS,157079,50000,40,0.2,130000,0.0,,
136,6,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,596000.0,657500,0.9065,1.1,3291185.37,-2650.0,-0.004,1232700.0,1.8748,-41.4407108,147.13653,"36-40, Wellington Street, Launceston, City of Launceston, Tasmania, 7250, Australia",Woolworths,supermarket,TAS,Item 133,75%,0.23,Chemist Warehouse Launceston,80943,50000,24,0.2,130000,0.0,,
137,7,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,596000.0,657500,0.9065,1.1,3291185.37,-2650.0,-0.004,1232700.0,1.8748,-42.8319921,147.2745657,"KFC, Main Road, Hobart, City of Glenorchy, Tasmania, 7010, Australia",Coles,supermarket,TAS,Item 133,75%,0.14,Chemist Warehouse Northgate Shopping Centre,122985,50000,21,0.2,130000,0.0,,
138,8,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,596000.0,657500,0.9065,1.1,3291185.37,-2650.0,-0.004,1232700.0,1.8748,-41.4448557,147.1386382,"Coles, 128, Wellington Street, Launceston, City of Launceston, Tasmania, 7250, Australia",Coles,supermarket,TAS,Item 133,75%,0.18,Chemist Warehouse South Launceston,80943,50000,24,0.2,130000,0.0,,
139,9,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,596000.0,657500,0.9065,1.1,3291185.37,-2650.0,-0.004,1232700.0,1.8748,-41.4647153,147.1604867,"Woolworths, 111, Hobart Road, Kings Meadows, Launceston, City of Launceston, Tasmania, 7249, Australia",Woolworths,supermarket,TAS,Item 133,75%,0.16,Slade Pharmacy Kings Meadows,80943,50000,19,0.2,130000,0.0,,
140,10,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,596000.0,657500,0.9065,1.1,3291185.37,-2650.0,-0.004,1232700.0,1.8748,-41.4056454,147.1320764,"Mowbray Shops Stop 9 Out, 385, Invermay Road, Mowbray Heights, Mowbray, Launceston, City of Launceston, Tasmania, 7248, Australia",Coles,supermarket,TAS,Item 133,75%,0.14,TerryWhite Chemmart Mowbray,80943,50000,21,0.2,130000,0.0,,
