national_rank,state_rank,tier,opportunity_type,financial_score,confidence_score,population_score,competition_score_rank,growth_score,composite_score,est_annual_revenue,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_profit,worst_roi,best_profit,best_roi,latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,market_share,est_annual_scripts,gp_fte,growth_indicator,growth_details
1,1,A - Premium,Remote/Rural,100.0,50.0,100.0,100.0,100.0,90.0,3600000.0,656000.0,657500,0.9977,1.0,3688704.03,3800.0,0.0058,1350000.0,2.0532,-37.965617,144.7066647,,Wyndham Harbour Mini Mart,supermarket,VIC,Item 131,75%,10.28,Direct Chemist Outlet Featherbrook,50027,50000,0,0.8,520000,0.0,YES,VIC Growth Corridor - Western
2,2,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,100.0,83.0,3600000.0,656000.0,657500,0.9977,1.0,3688704.03,3800.0,0.0058,1350000.0,2.0532,-37.8978,144.6629,"18-20, Glen Street, Werribee, Melbourne, City of Wyndham, Victoria, 3030, Australia",Werribee Medical Centre,medical_centre,VIC,Item 136,95%,0.32,Minh Ha Pharmacist Advice,44088,44088,18,0.2,114628,8.0,YES,VIC Growth Corridor - Western
3,3,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,100.0,83.0,3600000.0,656000.0,657500,0.9977,1.0,3688704.03,3800.0,0.0058,1350000.0,2.0532,-37.8913,144.7471,"10, Grassmere Road, Newminster, Point Cook, Melbourne, City of Wyndham, Victoria, 3030, Australia",Point Cook Medical Centre,medical_centre,VIC,Item 136,95%,0.66,Priceline Pharmacy Sanctuary Lakes,50027,50000,19,0.2,130000,9.6,YES,VIC Growth Corridor - Western
4,4,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,100.0,83.0,3600000.0,656000.0,657500,0.9977,1.0,3688704.03,3800.0,0.0058,1350000.0,2.0532,-37.849,144.6958,"492, Sayers Road, Hoppers Crossing, Melbourne, City of Wyndham, Victoria, 3029, Australia",Tarneit Medical Centre,medical_centre,VIC,Item 136,95%,0.62,Tarneit Pharmacy,50027,50000,23,0.2,130000,8.0,YES,VIC Growth Corridor - Western
5,5,A - Premium,Supermarket (Item 133),100.0,30.0,100.0,80.0,100.0,83.0,3600000.0,656000.0,657500,0.9977,1.0,3688704.03,3800.0,0.0058,1350000.0,2.0532,-37.8553997,144.5901663,,IGA Jubilee Plus,supermarket,VIC,Item 133,65%,3.14,Unknown Pharmacy,50027,50000,1,0.4,260000,0.0,YES,VIC Growth Corridor - Western
7,6,B - Strong,Supermarket (Item 133),91.8,50.0,52.6,80.0,100.0,76.6,2081904.0,200571.2,657500,0.3051,3.28,671346.58,-94170.1,-0.1432,619795.82,0.9427,-38.0231208,144.40967535,,Coles,supermarket,VIC,Item 133,75%,0.18,Lara Pharmacy,15772,15772,1,0.4,82014,0.0,YES,VIC Growth Area - Greater Geelong
31,7,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,656000.0,657500,0.9977,1.0,3688704.03,3800.0,0.0058,1350000.0,2.0532,-37.7474,144.816,"49, Novara Parade, St Albans South, St Albans, Melbourne, City of Brimbank, Victoria, 3021, Australia",Sunshine Hospital Medical Centre,medical_centre,VIC,Item 136,95%,1.32,Thao Nguyen Pharmacy - St Albans,2703384,50000,31,0.2,130000,12.0,,
32,8,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,566000.0,657500,0.8608,1.16,3092426.04,-37150.0,-0.0565,1205700.0,1.8338,-37.7446,145.0073,"266, Plenty Road, Preston, Melbourne, City of Darebin, Victoria, 3072, Australia",Preston Medical Centre,medical_centre,VIC,Item 136,95%,0.68,Direct Chemist Outlet Preston,3890772,50000,67,0.2,130000,7.2,,
33,9,B - Strong,Supermarket (Item 133),100.0,40.0,100.0,0.0,100.0,73.0,2749362.0,400808.6,657500,0.6096,1.64,1997981.63,-112312.09,-0.1708,940843.12,1.4309,-38.0650064,144.3801446,,Aldi,supermarket,VIC,Item 133,70%,0.25,Chemist Warehouse,41657,41657,7,0.2,108308,0.0,YES,VIC Growth Area - Greater Geelong
34,10,B - Strong,Supermarket (Item 133),100.0,40.0,100.0,0.0,100.0,73.0,2641782.0,368534.6,657500,0.5605,1.78,1784156.35,-126996.76,-0.1932,889097.14,1.3522,-37.9051618,144.6577989,,Aldi,supermarket,VIC,Item 133,70%,0.28,Direct Chemist Outlet Werribee Central,40027,40027,16,0.2,104070,0.0,YES,VIC Growth Corridor - Western
