national_rank,state_rank,tier,opportunity_type,financial_score,confidence_score,population_score,competition_score_rank,growth_score,composite_score,est_annual_revenue,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_profit,worst_roi,best_profit,best_roi,latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,market_share,est_annual_scripts,gp_fte,growth_indicator,growth_details
38,1,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,661000.0,657500,1.0053,0.99,3721830.58,9550.0,0.0145,1354500.0,2.0601,-32.0698,115.9279,"Lydiard Retreat, Canning Vale, City of Gosnells, Western Australia, 6155, Australia",Canning Vale Medical Centre,medical_centre,WA,Item 136,95%,0.89,Pharmacy 777 Canning Vale,882346,50000,20,0.2,130000,8.0,,
39,2,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,661000.0,657500,1.0053,0.99,3721830.58,9550.0,0.0145,1354500.0,2.0601,-32.0668,115.8364,"90, South Street, Murdoch, City of Melville, Western Australia, 6150, Australia",Murdoch Medical Centre,medical_centre,WA,Item 136,95%,0.76,Slade Pharmacy Murdoch,1096273,50000,28,0.2,130000,8.0,,
58,3,B - Strong,Shopping Centre (Item 132),100.0,70.0,100.0,0.0,0.0,69.0,3300000.0,571000.0,657500,0.8684,1.15,3125552.59,-31400.0,-0.0478,1210200.0,1.8406,-31.8926,115.7949,,Westfield Innaloo,shopping_centre,WA,Item 132,85%,0.40,Morris Compounding Pharmacy,1503008,50000,35,0.2,130000,0.0,,
186,4,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,571000.0,657500,0.8684,1.15,3125552.59,-31400.0,-0.0478,1210200.0,1.8406,-31.9558069,115.8041291,,Coles Local,supermarket,WA,Item 133,75%,1.01,Shenton Pharmacy,2007487,50000,43,0.2,130000,0.0,,
187,5,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,571000.0,657500,0.8684,1.15,3125552.59,-31400.0,-0.0478,1210200.0,1.8406,-32.0394312,115.9076519,,Coles,supermarket,WA,Item 133,75%,0.21,Wizard Pharmacy Riverton,1372931,50000,35,0.2,130000,0.0,,
188,6,B - Strong,Supermarket (Item 133),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,571000.0,657500,0.8684,1.15,3125552.59,-31400.0,-0.0478,1210200.0,1.8406,-31.9850501,115.9007256,,Coles,supermarket,WA,Item 133,75%,0.11,Park Centre Pharmacy,196349,50000,37,0.2,130000,0.0,,
299,7,B - Strong,Supermarket (Item 133),100.0,40.0,100.0,0.0,0.0,63.0,3300000.0,571000.0,657500,0.8684,1.15,3125552.59,-31400.0,-0.0478,1210200.0,1.8406,-32.0000778,115.9847958,,Aldi,supermarket,WA,Item 133,70%,2.33,Priceline Carousel,1071946,50000,13,0.2,130000,0.0,,
300,8,B - Strong,Supermarket (Item 133),100.0,40.0,100.0,0.0,0.0,63.0,3300000.0,571000.0,657500,0.8684,1.15,3125552.59,-31400.0,-0.0478,1210200.0,1.8406,-32.0672687,115.8182739,,ALDI,supermarket,WA,"Item 133, Item 134",70%,0.23,TerryWhite Chemmart Kardinya,1042870,50000,31,0.2,130000,0.0,,
301,9,B - Strong,Supermarket (Item 133),100.0,40.0,100.0,0.0,0.0,63.0,3300000.0,571000.0,657500,0.8684,1.15,3125552.59,-31400.0,-0.0478,1210200.0,1.8406,-32.0218491,115.9366265,,Aldi,supermarket,WA,Item 133,70%,0.13,TerryWhite Chemmart Cannington,1382327,50000,35,0.2,130000,0.0,,
302,10,B - Strong,Supermarket (Item 133),100.0,40.0,100.0,0.0,0.0,63.0,3300000.0,571000.0,657500,0.8684,1.15,3125552.59,-31400.0,-0.0478,1210200.0,1.8406,-33.3284172,115.6388095,,ALDI,supermarket,WA,Item 133,70%,0.16,Priceline Bunbury,75196,50000,14,0.2,130000,0.0,,
