national_rank,state_rank,tier,opportunity_type,financial_score,confidence_score,population_score,competition_score_rank,growth_score,composite_score,est_annual_revenue,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_profit,worst_roi,best_profit,best_roi,latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,market_share,est_annual_scripts,gp_fte,growth_indicator,growth_details
1,1,A - Premium,Remote/Rural,100.0,50.0,100.0,100.0,100.0,90.0,3600000.0,656000.0,657500,0.9977,1.0,3688704.03,3800.0,0.0058,1350000.0,2.0532,-37.965617,144.7066647,,Wyndham Harbour Mini Mart,supermarket,VIC,Item 131,75%,10.28,Direct Chemist Outlet Featherbrook,50027,50000,0,0.8,520000,0.0,YES,VIC Growth Corridor - Western
6,1,B - Strong,Remote/Rural,100.0,70.0,62.9,100.0,0.0,78.4,3600000.0,646000.0,657500,0.9825,1.02,3622450.92,-7700.0,-0.0117,1341000.0,2.0395,-28.456129,153.4962157,,Crabbes Creek General Store,supermarket,NSW,Item 131,85%,11.45,Ocean Shores Pharmacy,18858,18858,0,0.8,196123,0.0,,
133,3,B - Strong,Distance (Item 130),100.0,50.0,100.0,0.0,0.0,65.0,3300000.0,596000.0,657500,0.9065,1.1,3291185.37,-2650.0,-0.004,1232700.0,1.8748,-41.456382,147.17792,"Norwood Medical Centre, Dapple Street, Norwood, Launceston, City of Launceston, Tasmania, 7250, Australia",Norwood Medical Centre,gp,TAS,Item 130,75%,1.87,Pharmacy and Co Kings Meadows,80943,50000,18,0.2,130000,0.0,,
303,91,B - Strong,Remote/Rural,74.6,70.0,25.3,100.0,0.0,62.6,2004816.0,167444.8,657500,0.2547,3.93,451873.88,-116192.62,-0.1767,573716.5,0.8726,-32.6616647,151.7276714,,Seaham Doctor's Surgery,gp,NSW,Item 131,85%,14.23,Clarence Town Pharmacy,7594,7594,0,0.8,78977,0.0,,
391,108,B - Strong,Remote/Rural,63.3,70.0,24.4,100.0,0.0,58.0,1935912.0,146773.6,657500,0.2232,4.48,314920.75,-125598.01,-0.191,540573.67,0.8222,-34.3548418,150.4937239,,Hilltop Surgery,gp,NSW,Item 131,85%,22.93,Caremore Bargo Pharmacy,7333,7333,0,0.8,76263,0.0,,
532,42,C - Moderate,Remote/Rural,0.0,80.0,12.2,100.0,100.0,42.8,969144.0,-18256.8,657500,-0.0278,999.0,-778456.98,-223061.84,-0.3393,188058.26,0.286,-30.5626574,136.8942395,"Roxby Downs Hospital, 16-28, Burgoyne Street, Roxby Downs, Municipal Council of Roxby Downs, South Australia, 5725, Australia",Roxby Downs Hospital,hospital,SA,"Item 131, Item 134A",90%,228.72,United Chemists Westside,3671,3671,0,0.8,38178,0.0,YES,SA Growth Area - BHP Olympic Dam expansion
544,102,D - Marginal,Remote/Rural,14.1,70.0,19.0,100.0,0.0,37.5,1504008.0,37202.4,657500,0.0566,17.67,-411022.53,-161552.91,-0.2457,350827.85,0.5336,-27.565993,152.592946,,Marburg Medical,gp,QLD,Item 131,85%,11.21,Rosewood Pharmacy,5697,5697,0,0.8,59248,0.0,,
571,7,D - Marginal,Remote/Rural,0.0,80.0,8.4,100.0,0.0,32.3,664752.0,-114574.4,657500,-0.1743,999.0,-1416591.03,-270361.35,-0.4112,37145.71,0.0565,-12.0520371,134.2215483,,Manangrida Health Centre,gp,NT,"Item 131, Item 134A",90%,279.27,Gove Pharmacy,2518,2518,0,0.8,26187,0.0,,
573,8,D - Marginal,Remote/Rural,0.0,80.0,7.3,100.0,0.0,32.1,580536.0,-139839.2,657500,-0.2127,999.0,-1583978.19,-281856.84,-0.4287,-3362.18,-0.0051,-12.0257691,135.5632743,,Ngalkanbuy Wellbeing Centre,gp,NT,"Item 131, Item 134A",90%,134.18,Gove Pharmacy,2199,2199,0,0.8,22869,0.0,,
574,9,D - Marginal,Remote/Rural,0.0,80.0,7.3,100.0,0.0,32.1,580536.0,-139839.2,657500,-0.2127,999.0,-1583978.19,-281856.84,-0.4287,-3362.18,-0.0051,-12.0197596,135.5686928,,Galiwinku Health Centre,gp,NT,"Item 131, Item 134A",90%,133.69,Gove Pharmacy,2199,2199,0,0.8,22869,0.0,,
