Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes
-35.345,149.0865,"Bowes Street, Phillip, District of Woden Valley, Australian Capital Territory, 2606, Australia",Item 132,"Major shopping centre 'Westfield Woden' (GLA 56,000 sqm) with no pharmacy within 200 m",85%,0.21,Priceline Pharmacy Woden,Westfield Woden,shopping_centre,ACT,2026-02-14T16:49:26.767398,VERIFIED,All 5 nearby OSM pharmacies already in DB: Priceline pharmacy (0m); Chemist Warehouse (0m); Colbee Court Pharmacy (1m)
-35.2437,149.0847,"Radford College, Traeger Court, Bruce, District of Belconnen, Australian Capital Territory, 2617, Australia",Item 135,Hospital 'Calvary Public Hospital Bruce' (250 beds) with no adjacent pharmacy (nearest 1.03 km),80%,1.03,Capital Chemist University of Canberra,Calvary Public Hospital Bruce,hospital,ACT,2026-02-14T16:49:26.771398,VERIFIED,All 1 nearby OSM pharmacies already in DB: Capital Chemist Bruce (1m)
-35.29491495,149.18960420000002,"Mustang Avenue, Canberra, Australian Capital Territory, 2609, Australia","Item 133, Item 134","Supermarket 'Harris Farm Markets' (2,000 sqm) with no adjacent pharmacy (nearest 353 m) | Shopping centre 'EG Australia' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.39,Chemist Warehouse Majura Park SC,EG Australia,shopping_centre,ACT,2026-02-14T16:49:26.777397,VERIFIED,No pharmacies found in OSM within search radius
-35.4178762,149.0689186,"Aldi, 0, Anketell Street, Greenway, District of Tuggeranong, Australian Capital Territory, 2900, Australia",Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 196 m)",75%,0.2,Capital Chemist Tuggeranong Square,Aldi,supermarket,ACT,2026-02-14T16:49:26.772398,VERIFIED,No pharmacies found in OSM within search radius
-35.22155135,149.01891899999998,"Hardwick Crescent, Holt, District of Belconnen, Australian Capital Territory, 2615, Australia",Item 133,"Supermarket 'Indian Grocery Store' (1,500 sqm) with no adjacent pharmacy (nearest 152 m) | Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 139 m)",75%,0.14,Kippax Pharmacy,Aldi,supermarket,ACT,2026-02-14T16:49:26.775398,VERIFIED,All 2 nearby OSM pharmacies already in DB: Caremore Pharmacy (0m); TerryWhite Chemmart (1m)
-35.4566612,149.0936926,"Aldi, 9, Sidney Nolan Street, Conder, District of Tuggeranong, Australian Capital Territory, 2906, Australia",Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 127 m)",75%,0.13,Lanyon Pharmacy,Aldi,supermarket,ACT,2026-02-14T16:49:26.778398,VERIFIED,All 1 nearby OSM pharmacies already in DB: Lanyon Pharmacy (0m)
-35.4147922,149.1291264,"Aldi, 36, Benham Street, Chisholm, District of Tuggeranong, Australian Capital Territory, 2905, Australia",Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 120 m)",75%,0.12,Capital Chemist Chisholm,Aldi,supermarket,ACT,2026-02-14T16:49:26.773398,VERIFIED,All 1 nearby OSM pharmacies already in DB: Capital Chemist (0m)
-35.278697,149.1339388,"Petrie Street, City, North Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia",Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 118 m) | Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 105 m)",75%,0.12,The Pharmacy on Bunda,Aldi,supermarket,ACT,2026-02-14T16:49:26.774398,VERIFIED,All 5 nearby OSM pharmacies already in DB: Allure Pharmacy (0m); Pharmacy on Bunda (0m); Develin’s City Chemist (0m)
-35.472441,149.0955649,"Supaexpress Banks, 96, Pockett Avenue, Banks, District of Tuggeranong, Australian Capital Territory, 2906, Australia",Item 133,"Supermarket 'Supaexpress Banks' (1,500 sqm) with no adjacent pharmacy (nearest 1.69 km)",65%,1.69,Lanyon Pharmacy,Supaexpress Banks,supermarket,ACT,2026-02-14T16:49:26.791397,VERIFIED,No pharmacies found in OSM within search radius
-35.2083104,149.0485366,"IGA Melba, 4-6, Melba Court, Melba, District of Belconnen, Australian Capital Territory, 2615, Australia",Item 133,"Supermarket 'IGA Melba' (1,200 sqm) with no adjacent pharmacy (nearest 1.42 km)",65%,1.42,Capital Chemist,IGA Melba,supermarket,ACT,2026-02-14T16:49:26.783397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Capital Chemist (1m)
-35.1597876,149.1005341,,Item 133,"Supermarket 'Casey Superstore' (1,500 sqm) with no adjacent pharmacy (nearest 1.37 km)",65%,1.37,Priceline Pharmacy Casey,Casey Superstore,supermarket,ACT,2026-02-14T16:49:26.812397,VERIFIED,No pharmacies found in OSM within search radius
-35.2481506,149.1626862,"Hackett IGA, Hackett Place, Hackett, Canberra, District of Canberra Central, Australian Capital Territory, 2602, Australia",Item 133,"Supermarket 'Hackett IGA' (1,200 sqm) with no adjacent pharmacy (nearest 1.32 km)",65%,1.32,Capital Chemist Watson,Hackett IGA,supermarket,ACT,2026-02-14T16:49:26.785397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Watson Chemist (1m)
-35.37527,149.1015424,"Farrer IGA, Farrer Place, Farrer, District of Woden Valley, Australian Capital Territory, 2607, Australia",Item 133,"Supermarket 'Farrer IGA' (1,200 sqm) with no adjacent pharmacy (nearest 1.32 km)",65%,1.32,Capital Chemist Southlands,Farrer IGA,supermarket,ACT,2026-02-14T16:49:26.790397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Capital Chemist Mawson (1m)
-35.1715677,149.1428595,"Spar, 26, Francis Forde Boulevard, Forde, District of Gungahlin, Australian Capital Territory, 2914, Australia",Item 133,"Supermarket 'Spar' (1,500 sqm) with no adjacent pharmacy (nearest 1.21 km)",65%,1.21,Priceline Pharmacy Amaroo,Spar,supermarket,ACT,2026-02-14T16:49:26.792397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Priceline Pharmacy (1m)
