Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes
-29.4331613,142.0129124,"Tibooburra Health Service, Sturt Street, Tibooburra, Unincorporated Far West Area, New South Wales, 2880, Australia","Item 131, Item 134A","Near 'Tibooburra Health Service' (hospital); straight-line 270.09 km, est. route 351.12 km from nearest pharmacy | Very remote -- 'Tibooburra Health Service' (hospital) is 270.09 km from nearest pharmacy (threshold 90 km)",90%,270.09,St Abram Wilcannia Pharmacy,Tibooburra Health Service,hospital,NSW,2026-02-14T17:00:32.939483,VERIFIED,No pharmacies found in OSM within search radius
-29.4357214,142.0100184,"Tibooburra Post Office, Burgess Street, Tibooburra, Unincorporated Far West Area, New South Wales, 2880, Australia","Item 131, Item 133, Item 134, Item 134A","Near 'TJ's Roadhouse' (supermarket); straight-line 269.98 km, est. route 350.97 km from nearest pharmacy | Supermarket 'TJ's Roadhouse' (1,500 sqm) with no adjacent pharmacy (nearest 269.98 km) | Shopping centre 'TJ's Roadhouse' (GLA 5,000 sqm) with supermarket but no pharmacy | Very remote -- 'TJ's Roadhouse' (supermarket) is 269.98 km from nearest pharmacy (threshold 90 km)",90%,269.98,St Abram Wilcannia Pharmacy,TJ's Roadhouse,supermarket,NSW,2026-02-14T17:00:32.932485,VERIFIED,No pharmacies found in OSM within search radius
-29.7040741,144.123962,"Wanaaring Community Health service, Bourke-Milparinka Road, Wanaaring, Unincorporated New South Wales, New South Wales, Australia","Item 131, Item 134A","Near 'Wanaaring Community Health service' (gp); straight-line 179.89 km, est. route 233.86 km from nearest pharmacy | Very remote -- 'Wanaaring Community Health service' (gp) is 179.89 km from nearest pharmacy (threshold 90 km)",90%,179.89,The Towers Drug Co Pharmacy,Wanaaring Community Health service,gp,NSW,2026-02-14T17:00:32.936484,VERIFIED,No pharmacies found in OSM within search radius
-29.7049195,144.148759,"Wanaaring Health Clinic, Church Street, Wanaaring, Bourke Shire Council, New South Wales, 2840, Australia","Item 131, Item 134A","Near 'Wanaaring Health Clinic' (gp); straight-line 177.55 km, est. route 230.82 km from nearest pharmacy | Very remote -- 'Wanaaring Health Clinic' (gp) is 177.55 km from nearest pharmacy (threshold 90 km)",90%,177.55,The Towers Drug Co Pharmacy,Wanaaring Health Clinic,gp,NSW,2026-02-14T17:00:32.935484,VERIFIED,No pharmacies found in OSM within search radius
-32.894455300000004,144.29532035,"Ivanhoe Hospital, Columbus Street, Ivanhoe, Central Darling Shire Council, New South Wales, 2878, Australia","Item 131, Item 134A","Near 'Ivanhoe Hospital' (hospital); straight-line 132.51 km, est. route 172.26 km from nearest pharmacy | Near 'Ivanhoe Health Service' (hospital); straight-line 132.54 km, est. route 172.30 km from nearest pharmacy | Very remote -- 'Ivanhoe Hospital' (hospital) is 132.51 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Ivanhoe Health Service' (hospital) is 132.54 km from nearest pharmacy (threshold 90 km)",90%,132.51,Hillston Pharmacy,Ivanhoe Hospital,hospital,NSW,2026-02-14T17:00:32.937484,VERIFIED,No pharmacies found in OSM within search radius
-32.9005339,144.3006282,"Star Point Groceries, Columbus Street, Ivanhoe, Central Darling Shire Council, New South Wales, 2878, Australia","Item 131, Item 133, Item 134A","Near 'Star Point Groceries' (supermarket); straight-line 131.76 km, est. route 171.28 km from nearest pharmacy | Supermarket 'Star Point Groceries' (1,500 sqm) with no adjacent pharmacy (nearest 131.76 km) | Very remote -- 'Star Point Groceries' (supermarket) is 131.76 km from nearest pharmacy (threshold 90 km)",90%,131.76,Hillston Pharmacy,Star Point Groceries,supermarket,NSW,2026-02-14T17:00:32.933484,VERIFIED,No pharmacies found in OSM within search radius
-32.3943078,142.4172709,"Darling River Supermarket, Yartla Street, Menindee, Central Darling Shire Council, New South Wales, 2879, Australia","Item 131, Item 133, Item 134A","Near 'Darling River Supermarket' (supermarket); straight-line 101.81 km, est. route 132.36 km from nearest pharmacy | Supermarket 'Darling River Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 101.81 km) | Very remote -- 'Darling River Supermarket' (supermarket) is 101.81 km from nearest pharmacy (threshold 90 km)",90%,101.81,C P Peoples Chemist,Darling River Supermarket,supermarket,NSW,2026-02-14T17:00:32.931484,VERIFIED,No pharmacies found in OSM within search radius
-32.390316,142.4150138,"Menindee Health Service, Perry Street, Menindee, Central Darling Shire Council, New South Wales, 2879, Australia","Item 131, Item 134A","Near 'Menindee Health Service' (hospital); straight-line 101.42 km, est. route 131.84 km from nearest pharmacy | Very remote -- 'Menindee Health Service' (hospital) is 101.42 km from nearest pharmacy (threshold 90 km)",90%,101.42,C P Peoples Chemist,Menindee Health Service,hospital,NSW,2026-02-14T17:00:32.938484,VERIFIED,No pharmacies found in OSM within search radius
-34.3548418,150.4937239,"Hilltop Surgery, 4, Vera Street, Hill Top, Wingecarribee Shire Council, New South Wales, 2575, Australia",Item 131,Near 'Hilltop Surgery' (gp); route distance 22.93 km from nearest pharmacy (verified via OSRM),85%,22.93,Caremore Bargo Pharmacy,Hilltop Surgery,gp,NSW,2026-02-14T17:00:32.944484,VERIFIED,No pharmacies found in OSM within search radius
-33.2939092,151.2373896,"Mangrove Mountain Community Health Centre, Nurses Road, Central Mangrove, Central Coast Council, New South Wales, 2250, Australia",Item 131,Near 'Mangrove Mountain Community Health Centre' (gp); route distance 20.34 km from nearest pharmacy (verified via OSRM),85%,20.34,Advantage Pharmacy,Mangrove Mountain Community Health Centre,gp,NSW,2026-02-14T17:00:32.945483,VERIFIED,No pharmacies found in OSM within search radius
