Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes
-24.873671,129.081225,,"Item 130, Item 131, Item 134A","GP 'Kaltukatjara Health Centre' (1.0 FTE) + Supermarket 'Docker River Community Store' (1500 sqm) within 500 m; 503.15 km from nearest pharmacy | Near 'Kaltukatjara Health Centre' (gp); straight-line 503.15 km, est. route 654.10 km from nearest pharmacy | Very remote -- 'Kaltukatjara Health Centre' (gp) is 503.15 km from nearest pharmacy (threshold 90 km)",90%,503.15,Territory Pharmacy Alice Springs,Kaltukatjara Health Centre,gp,NT,2026-02-14T16:50:31.286152,VERIFIED,No pharmacies found in OSM within search radius
-24.8735525,129.0834813,"Docker River Community Store, Docker River Community Access Road, Kaltukatjara, Macdonnell Region, Northern Territory, Australia","Item 130, Item 131, Item 133, Item 134A","Supermarket 'Docker River Community Store' (1500 sqm) + GP 'Kaltukatjara Health Centre' (1.0 FTE) within 500 m; 502.93 km from nearest pharmacy | Near 'Docker River Community Store' (supermarket); straight-line 502.93 km, est. route 653.81 km from nearest pharmacy | Supermarket 'Docker River Community Store' (1,500 sqm) with no adjacent pharmacy (nearest 502.93 km) | Very remote -- 'Docker River Community Store' (supermarket) is 502.93 km from nearest pharmacy (threshold 90 km)",90%,502.93,Territory Pharmacy Alice Springs,Docker River Community Store,supermarket,NT,2026-02-14T16:50:31.277152,VERIFIED,No pharmacies found in OSM within search radius
-23.275519442857142,129.38785315714287,"Yunytju Street, Kintore, Macdonnell Region, Northern Territory, Australia","Item 130, Item 131, Item 133, Item 134A","Supermarket 'Kintore Community Store' (1500 sqm) + GP 'Kintore Health Centre' (1.0 FTE) within 500 m; 459.65 km from nearest pharmacy | GP 'Kintore Health Centre' (1.0 FTE) + Supermarket 'Kintore Community Store' (1500 sqm) within 500 m; 459.73 km from nearest pharmacy | Near 'Kintore Community Store' (supermarket); straight-line 459.65 km, est. route 597.54 km from nearest pharmacy | Near 'Kintore Health Centre' (gp); straight-line 459.73 km, est. route 597.65 km from nearest pharmacy | Supermarket 'Kintore Community Store' (1,500 sqm) with no adjacent pharmacy (nearest 459.65 km) | Very remote -- 'Kintore Community Store' (supermarket) is 459.65 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Kintore Health Centre' (gp) is 459.73 km from nearest pharmacy (threshold 90 km)",90%,459.65,United Chemists Northside Pharmacy NT,Kintore Community Store,supermarket,NT,2026-02-14T16:50:31.263153,VERIFIED,No pharmacies found in OSM within search radius
-16.0566031,136.3067226,"Redimart, Robinson Road, Borroloola, Roper Gulf Region, Northern Territory, Australia","Item 130, Item 131, Item 133, Item 134A","Supermarket 'Redimart' (1500 sqm) + GP 'Borroloola Health Centre' (1.0 FTE) within 500 m; 433.71 km from nearest pharmacy | Near 'Redimart' (supermarket); straight-line 433.71 km, est. route 563.82 km from nearest pharmacy | Supermarket 'Redimart' (1,500 sqm) with no adjacent pharmacy (nearest 433.71 km) | Very remote -- 'Redimart' (supermarket) is 433.71 km from nearest pharmacy (threshold 90 km)",90%,433.71,Gove Pharmacy,Redimart,supermarket,NT,2026-02-14T16:50:31.274152,VERIFIED,No pharmacies found in OSM within search radius
-16.0545005,136.305245,,"Item 130, Item 131, Item 134A","GP 'Borroloola Health Centre' (1.0 FTE) + Supermarket 'Redimart' (1500 sqm) within 500 m; 433.50 km from nearest pharmacy | Near 'Borroloola Health Centre' (gp); straight-line 433.50 km, est. route 563.54 km from nearest pharmacy | Very remote -- 'Borroloola Health Centre' (gp) is 433.50 km from nearest pharmacy (threshold 90 km)",90%,433.5,Gove Pharmacy,Borroloola Health Centre,gp,NT,2026-02-14T16:50:31.283152,VERIFIED,No pharmacies found in OSM within search radius
-16.7594289,136.980186,,"Item 131, Item 134A","Near 'Robinson River Health Centre' (gp); straight-line 417.79 km, est. route 543.13 km from nearest pharmacy | Very remote -- 'Robinson River Health Centre' (gp) is 417.79 km from nearest pharmacy (threshold 90 km)",90%,417.79,Karumba Pharmacy,Robinson River Health Centre,gp,NT,2026-02-14T16:50:31.310152,VERIFIED,No pharmacies found in OSM within search radius
-22.6484873,130.5530448,,"Item 131, Item 134A","Near 'Nyirripi Health Centre' (gp); straight-line 358.44 km, est. route 465.97 km from nearest pharmacy | Very remote -- 'Nyirripi Health Centre' (gp) is 358.44 km from nearest pharmacy (threshold 90 km)",90%,358.44,United Chemists Northside Pharmacy NT,Nyirripi Health Centre,gp,NT,2026-02-14T16:50:31.323152,VERIFIED,No pharmacies found in OSM within search radius
-25.2414256,130.9831989,"IGA, Yulara Drive, Yulara, Northern Territory, Australia","Item 130, Item 131, Item 133, Item 134A","Supermarket 'IGA' (1200 sqm) + GP 'Yulara Medical Centre' (1.0 FTE) within 500 m; 336.28 km from nearest pharmacy | Near 'IGA' (supermarket); straight-line 336.28 km, est. route 437.17 km from nearest pharmacy | Supermarket 'IGA' (1,200 sqm) with no adjacent pharmacy (nearest 336.28 km) | Very remote -- 'IGA' (supermarket) is 336.28 km from nearest pharmacy (threshold 90 km)",90%,336.28,Territory Pharmacy Alice Springs,IGA,supermarket,NT,2026-02-14T16:50:31.255153,VERIFIED,No pharmacies found in OSM within search radius
-25.2377063,130.98594,"Yulara Medical Centre, Yulara Drive, Yulara, Northern Territory, Australia","Item 130, Item 131, Item 134A","GP 'Yulara Medical Centre' (1.0 FTE) + Supermarket 'IGA' (1200 sqm) within 500 m; 335.85 km from nearest pharmacy | Near 'Yulara Medical Centre' (gp); straight-line 335.85 km, est. route 436.60 km from nearest pharmacy | Very remote -- 'Yulara Medical Centre' (gp) is 335.85 km from nearest pharmacy (threshold 90 km)",90%,335.85,Territory Pharmacy Alice Springs,Yulara Medical Centre,gp,NT,2026-02-14T16:50:31.279155,VERIFIED,No pharmacies found in OSM within search radius
-25.3476433,131.0633555,,"Item 131, Item 134A","Near 'Mutitjulu Health Centre' (gp); straight-line 334.97 km, est. route 435.46 km from nearest pharmacy | Very remote -- 'Mutitjulu Health Centre' (gp) is 334.97 km from nearest pharmacy (threshold 90 km)",90%,334.97,Territory Pharmacy Alice Springs,Mutitjulu Health Centre,gp,NT,2026-02-14T16:50:31.326152,VERIFIED,No pharmacies found in OSM within search radius
-18.337827,130.6401304,,"Item 130, Item 131, Item 134A","GP 'Lajamanu Health Centre' (1.0 FTE) + Supermarket 'Lajamanu Store' (1500 sqm) within 500 m; 313.93 km from nearest pharmacy | Near 'Lajamanu Health Centre' (gp); straight-line 313.93 km, est. route 408.11 km from nearest pharmacy | Very remote -- 'Lajamanu Health Centre' (gp) is 313.93 km from nearest pharmacy (threshold 90 km)",90%,313.93,Halls Creek Pharmacy,Lajamanu Health Centre,gp,NT,2026-02-14T16:50:31.281153,VERIFIED,No pharmacies found in OSM within search radius
-18.3356777,130.6374637,"Lajamanu Store, Lajamanu Road, Lajamanu, Central Desert Region, Northern Territory, Australia","Item 130, Item 131, Item 133, Item 134A","Supermarket 'Lajamanu Store' (1500 sqm) + GP 'Lajamanu Health Centre' (1.0 FTE) within 500 m; 313.64 km from nearest pharmacy | Near 'Lajamanu Store' (supermarket); straight-line 313.64 km, est. route 407.73 km from nearest pharmacy | Supermarket 'Lajamanu Store' (1,500 sqm) with no adjacent pharmacy (nearest 313.64 km) | Very remote -- 'Lajamanu Store' (supermarket) is 313.64 km from nearest pharmacy (threshold 90 km)",90%,313.64,Halls Creek Pharmacy,Lajamanu Store,supermarket,NT,2026-02-14T16:50:31.261153,VERIFIED,No pharmacies found in OSM within search radius
-17.4435665,130.8306822,,"Item 131, Item 134A","Near 'Kalkaringi Health Centre' (gp); straight-line 289.87 km, est. route 376.83 km from nearest pharmacy | Very remote -- 'Kalkaringi Health Centre' (gp) is 289.87 km from nearest pharmacy (threshold 90 km)",90%,289.87,Kununurra Pharmacy,Kalkaringi Health Centre,gp,NT,2026-02-14T16:50:31.294152,VERIFIED,No pharmacies found in OSM within search radius
