Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes
-26.1515307,131.1467555,"Nganampa Health Council Amata Clinic, Ngari Place, Amata, Anangu Pitjantjatjara Yankunytjatjara, South Australia, 0872, Australia","Item 131, Item 134A","Near 'Nganampa Health Council Amata Clinic' (gp); straight-line 381.63 km, est. route 496.12 km from nearest pharmacy | Very remote -- 'Nganampa Health Council Amata Clinic' (gp) is 381.63 km from nearest pharmacy (threshold 90 km)",90%,381.63,Territory Pharmacy Alice Springs,Nganampa Health Council Amata Clinic,gp,SA,2026-02-14T16:51:50.377641,VERIFIED,No pharmacies found in OSM within search radius
-27.7464648,140.7366777,"RFDS Clinic Innamincka, Browne Street, Innamincka, Pastoral Unincorporated Area, South Australia, 5731, Australia","Item 131, Item 134A","Near 'RFDS Clinic Innamincka' (gp); straight-line 371.53 km, est. route 482.98 km from nearest pharmacy | Very remote -- 'RFDS Clinic Innamincka' (gp) is 371.53 km from nearest pharmacy (threshold 90 km)",90%,371.53,Quilpie Pharmacy,RFDS Clinic Innamincka,gp,SA,2026-02-14T16:51:50.375641,VERIFIED,No pharmacies found in OSM within search radius
-29.6495801,138.0621288,"Marree Health Service, 45, First Street, Marree, Pastoral Unincorporated Area, South Australia, 5733, Australia","Item 131, Item 134A","Near 'Marree Health Service' (gp); straight-line 316.44 km, est. route 411.37 km from nearest pharmacy | Very remote -- 'Marree Health Service' (gp) is 316.44 km from nearest pharmacy (threshold 90 km)",90%,316.44,United Chemists Westside,Marree Health Service,gp,SA,2026-02-14T16:51:50.376641,VERIFIED,No pharmacies found in OSM within search radius
-30.5626574,136.8942395,"Roxby Downs Hospital, 16-28, Burgoyne Street, Roxby Downs, Municipal Council of Roxby Downs, South Australia, 5725, Australia","Item 131, Item 134A","Near 'Roxby Downs Hospital' (hospital); straight-line 228.72 km, est. route 297.34 km from nearest pharmacy | Very remote -- 'Roxby Downs Hospital' (hospital) is 228.72 km from nearest pharmacy (threshold 90 km)",90%,228.72,United Chemists Westside,Roxby Downs Hospital,hospital,SA,2026-02-14T16:51:50.378640,VERIFIED,No pharmacies found in OSM within search radius
-27.300916,133.6214568,"Marla Health Services, Cockatoo Crescent, Marla, Pastoral Unincorporated Area, South Australia, 5724, Australia","Item 130, Item 131, Item 134A","GP 'Marla Health Services' (1.0 FTE) + Supermarket 'Marla Roadhouse' (1500 sqm) within 500 m; 220.40 km from nearest pharmacy | Near 'Marla Health Services' (gp); straight-line 220.40 km, est. route 286.52 km from nearest pharmacy | Very remote -- 'Marla Health Services' (gp) is 220.40 km from nearest pharmacy (threshold 90 km)",90%,220.4,Coober Pedy Pharmacy,Marla Health Services,gp,SA,2026-02-14T16:51:50.372128,VERIFIED,No pharmacies found in OSM within search radius
-27.3038059,133.622864,"Marla Roadhouse, Wattle Street, Marla, Pastoral Unincorporated Area, South Australia, 5724, Australia","Item 130, Item 131, Item 133, Item 134A","Supermarket 'Marla Roadhouse' (1500 sqm) + GP 'Marla Health Services' (1.0 FTE) within 500 m; 220.05 km from nearest pharmacy | Near 'Marla Roadhouse' (supermarket); straight-line 220.05 km, est. route 286.07 km from nearest pharmacy | Supermarket 'Marla Roadhouse' (1,500 sqm) with no adjacent pharmacy (nearest 220.05 km) | Very remote -- 'Marla Roadhouse' (supermarket) is 220.05 km from nearest pharmacy (threshold 90 km)",90%,220.05,Coober Pedy Pharmacy,Marla Roadhouse,supermarket,SA,2026-02-14T16:51:50.371063,VERIFIED,No pharmacies found in OSM within search radius
-30.591751379999998,138.39877278,"Leigh Creek Foodland, Black Oak Drive, Leigh Creek, Pastoral Unincorporated Area, South Australia, 5731, Australia","Item 131, Item 133, Item 134A","Near 'Leigh Creek Foodland' (supermarket); straight-line 218.93 km, est. route 284.61 km from nearest pharmacy | Near 'Leigh Creek Foodland' (supermarket); straight-line 218.93 km, est. route 284.61 km from nearest pharmacy | Near 'Leigh Creek Hospital' (hospital); straight-line 218.95 km, est. route 284.63 km from nearest pharmacy | Near 'Leigh Creek Health Service' (hospital); straight-line 218.96 km, est. route 284.65 km from nearest pharmacy | Supermarket 'Leigh Creek Foodland' (1,500 sqm) with no adjacent pharmacy (nearest 218.93 km) | Supermarket 'Leigh Creek Foodland' (1,500 sqm) with no adjacent pharmacy (nearest 218.93 km) | Very remote -- 'Leigh Creek Foodland' (supermarket) is 218.93 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Leigh Creek Foodland' (supermarket) is 218.93 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Leigh Creek Hospital' (hospital) is 218.95 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Leigh Creek Health Service' (hospital) is 218.96 km from nearest pharmacy (threshold 90 km)",90%,218.93,United Chemists Westside,Leigh Creek Foodland,supermarket,SA,2026-02-14T16:51:50.374641,VERIFIED,No pharmacies found in OSM within search radius
-27.5451927,135.4458198,"Oodnadatta Hospital, Oribee Avenue, Oodnadatta, Pastoral Unincorporated Area, South Australia, 5734, Australia","Item 131, Item 134A","Near 'Oodnadatta Hospital' (hospital); straight-line 176.66 km, est. route 229.65 km from nearest pharmacy | Very remote -- 'Oodnadatta Hospital' (hospital) is 176.66 km from nearest pharmacy (threshold 90 km)",90%,176.66,Coober Pedy Pharmacy,Oodnadatta Hospital,hospital,SA,2026-02-14T16:51:50.379641,VERIFIED,No pharmacies found in OSM within search radius
-31.8872166,138.4227367,"Hawker General Store, Wilpena Road, Hawker, The Flinders Ranges Council, South Australia, 5434, Australia","Item 131, Item 133, Item 134A","Near 'Hawker General Store' (supermarket); straight-line 90.54 km, est. route 117.70 km from nearest pharmacy | Supermarket 'Hawker General Store' (1,500 sqm) with no adjacent pharmacy (nearest 90.54 km) | Very remote -- 'Hawker General Store' (supermarket) is 90.54 km from nearest pharmacy (threshold 90 km)",90%,90.54,United Chemist Port Augusta,Hawker General Store,supermarket,SA,2026-02-14T16:51:50.373641,VERIFIED,No pharmacies found in OSM within search radius
-31.8934242,138.42780705,"Hawker Hospital, Cradock Road, Hawker, The Flinders Ranges Council, South Australia, 5434, Australia","Item 131, Item 134A","Near 'Hawker Hospital' (hospital); straight-line 90.35 km, est. route 117.46 km from nearest pharmacy | Near 'Hawker Memorial Hospital' (hospital); straight-line 90.34 km, est. route 117.45 km from nearest pharmacy | Very remote -- 'Hawker Hospital' (hospital) is 90.35 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Hawker Memorial Hospital' (hospital) is 90.34 km from nearest pharmacy (threshold 90 km)",90%,90.35,United Chemist Port Augusta,Hawker Hospital,hospital,SA,2026-02-14T16:51:50.381641,VERIFIED,No pharmacies found in OSM within search radius
